['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
60.0 , 4124.61538462 , 4120.0 , 4132.30769231 , 4123.07692308 , 4127.69230769 , 4125.64102564 , 4129.74358974 , 4208.71794872 , 4132.30769231 , 4138.46153846 , 4183.07692308 , 4909.74358974 , 4115.38461538 , 4128.20512821 , 2043.0 , 2034.0 , 43.071 , 0.0 , 0.0 , 0.0 , 0.0 , 

61.0 , 4128.71794872 , 4128.71794872 , 4132.82051282 , 4123.07692308 , 4128.71794872 , 4128.20512821 , 4134.35897436 , 4207.17948718 , 4130.25641026 , 4138.97435897 , 4181.02564103 , 4909.23076923 , 4118.97435897 , 4132.82051282 , 2043.0 , 2034.0 , 43.079 , 0.0 , 0.0 , 0.0 , 0.0 , 

62.0 , 4132.82051282 , 4130.25641026 , 4134.35897436 , 4127.17948718 , 4127.69230769 , 4126.66666667 , 4129.74358974 , 4201.53846154 , 4128.20512821 , 4135.8974359 , 4182.05128205 , 4913.33333333 , 4112.30769231 , 4130.25641026 , 2041.0 , 2033.0 , 43.087 , 0.0 , 0.0 , 0.0 , 0.0 , 

63.0 , 4133.84615385 , 4134.35897436 , 4133.84615385 , 4134.87179487 , 4127.69230769 , 4128.71794872 , 4129.23076923 , 4194.87179487 , 4122.05128205 , 4137.43589744 , 4184.61538462 , 4911.79487179 , 4121.53846154 , 4131.79487179 , 2042.0 , 2032.0 , 43.095 , 0.0 , 0.0 , 0.0 , 0.0 , 

64.0 , 4130.76923077 , 4132.30769231 , 4132.30769231 , 4135.38461538 , 4126.15384615 , 4127.69230769 , 4123.07692308 , 4185.12820513 , 4117.94871795 , 4136.92307692 , 4182.05128205 , 4909.74358974 , 4132.82051282 , 4135.8974359 , 2042.0 , 2030.0 , 43.104 , 0.0 , 0.0 , 0.0 , 0.0 , 

65.0 , 4134.35897436 , 4134.35897436 , 4129.74358974 , 4133.84615385 , 4128.71794872 , 4125.12820513 , 4121.02564103 , 4177.43589744 , 4118.46153846 , 4132.82051282 , 4183.07692308 , 4909.74358974 , 4134.35897436 , 4138.97435897 , 2043.0 , 2031.0 , 43.112 , 0.0 , 0.0 , 0.0 , 0.0 , 

66.0 , 4130.25641026 , 4134.35897436 , 4127.17948718 , 4131.28205128 , 4128.20512821 , 4124.61538462 , 4124.61538462 , 4189.23076923 , 4121.53846154 , 4131.28205128 , 4191.28205128 , 4909.74358974 , 4136.92307692 , 4140.0 , 2043.0 , 2031.0 , 43.12 , 0.0 , 0.0 , 0.0 , 0.0 , 

67.0 , 4131.79487179 , 4125.64102564 , 4124.1025641 , 4130.76923077 , 4125.64102564 , 4125.64102564 , 4117.94871795 , 4186.15384615 , 4120.0 , 4133.84615385 , 4188.20512821 , 4910.25641026 , 4140.51282051 , 4138.97435897 , 2043.0 , 2031.0 , 43.127 , 0.0 , 0.0 , 0.0 , 0.0 , 

68.0 , 4131.79487179 , 4127.17948718 , 4125.64102564 , 4132.82051282 , 4123.58974359 , 4123.07692308 , 4114.87179487 , 4202.05128205 , 4133.84615385 , 4136.92307692 , 4190.76923077 , 4907.17948718 , 4143.58974359 , 4142.56410256 , 2043.0 , 2030.0 , 43.135 , 0.0 , 0.0 , 0.0 , 0.0 , 

69.0 , 4127.69230769 , 4117.43589744 , 4126.66666667 , 4126.15384615 , 4128.20512821 , 4121.02564103 , 4117.94871795 , 4197.43589744 , 4128.20512821 , 4134.87179487 , 4189.74358974 , 4906.15384615 , 4126.66666667 , 4141.53846154 , 2043.0 , 2031.0 , 43.143 , 0.0 , 0.0 , 0.0 , 0.0 , 

70.0 , 4125.12820513 , 4115.38461538 , 4128.71794872 , 4124.61538462 , 4127.69230769 , 4123.58974359 , 4126.66666667 , 4215.8974359 , 4134.35897436 , 4137.94871795 , 4190.76923077 , 4904.61538462 , 4130.76923077 , 4138.97435897 , 2042.0 , 2031.0 , 43.151 , 0.0 , 0.0 , 0.0 , 0.0 , 

71.0 , 4125.12820513 , 4111.28205128 , 4132.30769231 , 4122.56410256 , 4127.17948718 , 4125.12820513 , 4121.02564103 , 4207.17948718 , 4132.82051282 , 4137.94871795 , 4182.56410256 , 4909.23076923 , 4120.0 , 4128.71794872 , 2044.0 , 2030.0 , 43.159 , 0.0 , 0.0 , 0.0 , 0.0 , 

72.0 , 4124.61538462 , 4124.61538462 , 4135.38461538 , 4126.15384615 , 4128.20512821 , 4125.64102564 , 4131.28205128 , 4220.51282051 , 4141.53846154 , 4140.0 , 4187.17948718 , 4907.17948718 , 4122.56410256 , 4130.76923077 , 2044.0 , 2030.0 , 43.167 , 0.0 , 0.0 , 0.0 , 0.0 , 

73.0 , 4126.66666667 , 4116.41025641 , 4134.87179487 , 4122.05128205 , 4130.25641026 , 4124.61538462 , 4129.74358974 , 4203.07692308 , 4129.74358974 , 4138.46153846 , 4182.05128205 , 4910.76923077 , 4111.79487179 , 4130.25641026 , 2044.0 , 2031.0 , 43.175 , 0.0 , 0.0 , 0.0 , 0.0 , 

74.0 , 4129.23076923 , 4130.76923077 , 4132.82051282 , 4127.69230769 , 4129.74358974 , 4129.74358974 , 4132.82051282 , 4212.82051282 , 4137.43589744 , 4142.05128205 , 4185.12820513 , 4911.28205128 , 4120.0 , 4134.35897436 , 2044.0 , 2031.0 , 43.182 , 0.0 , 0.0 , 0.0 , 0.0 , 

75.0 , 4128.20512821 , 4132.82051282 , 4131.79487179 , 4127.17948718 , 4129.74358974 , 4129.74358974 , 4128.71794872 , 4197.43589744 , 4129.74358974 , 4140.0 , 4182.05128205 , 4914.35897436 , 4112.82051282 , 4131.79487179 , 2044.0 , 2032.0 , 43.19 , 0.0 , 0.0 , 0.0 , 0.0 , 

76.0 , 4132.30769231 , 4142.05128205 , 4132.30769231 , 4135.8974359 , 4127.17948718 , 4128.71794872 , 4133.33333333 , 4197.43589744 , 4130.25641026 , 4138.97435897 , 4184.1025641 , 4909.74358974 , 4129.74358974 , 4135.8974359 , 2043.0 , 2033.0 , 43.197 , 0.0 , 0.0 , 0.0 , 0.0 , 

