['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
117.0 , 3488.20512821 , 2588.20512821 , 2633.33333333 , 2585.64102564 , 2661.53846154 , 2470.25641026 , 2528.71794872 , 2505.64102564 , 2199.48717949 , 2510.25641026 , 2520.0 , 3347.69230769 , 4254.35897436 , 3395.8974359 , 2060.0 , 2091.0 , 76.179 , 0.0 , 0.0 , 0.0 , 0.0 , 

118.0 , 3876.92307692 , 2541.02564103 , 2569.74358974 , 2602.56410256 , 2677.43589744 , 2457.94871795 , 2545.12820513 , 2502.05128205 , 2200.51282051 , 2507.17948718 , 2523.07692308 , 3365.12820513 , 4123.07692308 , 3233.33333333 , 2062.0 , 2066.0 , 76.188 , 0.0 , 0.0 , 0.0 , 0.0 , 

119.0 , 3342.56410256 , 2566.15384615 , 2576.92307692 , 2589.23076923 , 2679.48717949 , 2439.48717949 , 2564.61538462 , 2508.71794872 , 2195.38461538 , 2505.12820513 , 2544.61538462 , 3369.74358974 , 4208.20512821 , 3410.76923077 , 2061.0 , 2059.0 , 76.194 , 0.0 , 0.0 , 0.0 , 0.0 , 

120.0 , 2756.41025641 , 2615.8974359 , 2644.1025641 , 2541.53846154 , 2659.48717949 , 2464.1025641 , 2562.56410256 , 2538.97435897 , 2194.35897436 , 2511.28205128 , 2566.15384615 , 3371.79487179 , 4294.87179487 , 3694.35897436 , 2057.0 , 2054.0 , 76.213 , 0.0 , 0.0 , 0.0 , 0.0 , 

121.0 , 2745.64102564 , 2650.25641026 , 2627.17948718 , 2522.56410256 , 2649.23076923 , 2496.92307692 , 2550.76923077 , 2552.30769231 , 2196.92307692 , 2521.53846154 , 2569.74358974 , 3377.94871795 , 4305.12820513 , 3661.53846154 , 2055.0 , 2049.0 , 76.219 , 0.0 , 0.0 , 0.0 , 0.0 , 

122.0 , 2774.35897436 , 2596.41025641 , 2589.74358974 , 2557.94871795 , 2658.97435897 , 2494.87179487 , 2560.0 , 2525.64102564 , 2191.28205128 , 2522.05128205 , 2562.56410256 , 3391.79487179 , 4283.07692308 , 3666.15384615 , 2056.0 , 2050.0 , 76.22 , 0.0 , 0.0 , 0.0 , 0.0 , 

123.0 , 2671.28205128 , 2573.84615385 , 2629.74358974 , 2592.82051282 , 2664.61538462 , 2477.94871795 , 2564.61538462 , 2503.07692308 , 2187.69230769 , 2515.8974359 , 2560.0 , 3397.43589744 , 4238.97435897 , 3821.02564103 , 2057.0 , 2048.0 , 76.228 , 0.0 , 0.0 , 0.0 , 0.0 , 

124.0 , 2693.84615385 , 2576.92307692 , 2660.51282051 , 2590.25641026 , 2663.07692308 , 2475.8974359 , 2550.76923077 , 2506.66666667 , 2185.12820513 , 2516.41025641 , 2562.56410256 , 3400.51282051 , 4212.82051282 , 3935.8974359 , 2061.0 , 2049.0 , 76.234 , 0.0 , 0.0 , 0.0 , 0.0 , 

125.0 , 2737.94871795 , 2550.25641026 , 2653.33333333 , 2585.64102564 , 2666.66666667 , 2483.07692308 , 2544.61538462 , 2521.53846154 , 2181.02564103 , 2523.58974359 , 2567.69230769 , 3406.15384615 , 4191.28205128 , 3987.17948718 , 2069.0 , 2050.0 , 76.243 , 0.0 , 0.0 , 0.0 , 0.0 , 

126.0 , 2744.1025641 , 2537.43589744 , 2646.15384615 , 2587.17948718 , 2668.20512821 , 2478.97435897 , 2537.94871795 , 2530.25641026 , 2179.48717949 , 2525.12820513 , 2569.74358974 , 3413.84615385 , 4175.8974359 , 4063.07692308 , 2072.0 , 2048.0 , 76.249 , 0.0 , 0.0 , 0.0 , 0.0 , 

127.0 , 2764.1025641 , 2553.33333333 , 2637.94871795 , 2592.82051282 , 2670.76923077 , 2481.02564103 , 2535.8974359 , 2527.69230769 , 2179.48717949 , 2520.0 , 2569.74358974 , 3415.8974359 , 4176.92307692 , 3947.17948718 , 2074.0 , 2044.0 , 76.261 , 0.0 , 0.0 , 0.0 , 0.0 , 

128.0 , 2829.74358974 , 2546.15384615 , 2637.94871795 , 2589.23076923 , 2669.74358974 , 2491.79487179 , 2539.48717949 , 2520.51282051 , 2181.02564103 , 2522.56410256 , 2570.76923077 , 3422.05128205 , 4189.74358974 , 3925.64102564 , 2075.0 , 2040.0 , 76.302 , 0.0 , 0.0 , 0.0 , 0.0 , 

0.0 , 2872.82051282 , 2515.8974359 , 2651.79487179 , 2590.76923077 , 2671.79487179 , 2503.58974359 , 2543.07692308 , 2522.56410256 , 2180.0 , 2528.20512821 , 2570.76923077 , 3434.87179487 , 4149.74358974 , 4003.58974359 , 2075.0 , 2043.0 , 76.304 , 0.0 , 0.0 , 0.0 , 0.0 , 

1.0 , 2773.33333333 , 2548.20512821 , 2646.66666667 , 2593.33333333 , 2666.66666667 , 2497.43589744 , 2527.69230769 , 2521.02564103 , 2176.41025641 , 2531.79487179 , 2570.76923077 , 3443.07692308 , 4177.94871795 , 4038.97435897 , 2077.0 , 2046.0 , 76.304 , 0.0 , 0.0 , 0.0 , 0.0 , 

2.0 , 2662.56410256 , 2531.28205128 , 2647.17948718 , 2603.07692308 , 2667.17948718 , 2501.53846154 , 2530.76923077 , 2518.46153846 , 2175.8974359 , 2530.76923077 , 2578.97435897 , 3453.33333333 , 4133.33333333 , 4105.64102564 , 2078.0 , 2047.0 , 76.304 , 0.0 , 0.0 , 0.0 , 0.0 , 

3.0 , 2624.61538462 , 2520.51282051 , 2650.76923077 , 2603.07692308 , 2668.71794872 , 2502.05128205 , 2533.33333333 , 2520.0 , 2174.35897436 , 2532.82051282 , 2584.61538462 , 3465.12820513 , 4071.79487179 , 4270.25641026 , 2077.0 , 2057.0 , 76.304 , 0.0 , 0.0 , 0.0 , 0.0 , 

4.0 , 2603.07692308 , 2523.07692308 , 2673.33333333 , 2608.20512821 , 2672.82051282 , 2503.58974359 , 2532.30769231 , 2525.64102564 , 2167.17948718 , 2540.0 , 2586.66666667 , 3486.66666667 , 4033.84615385 , 4291.28205128 , 2078.0 , 2062.0 , 76.31 , 0.0 , 0.0 , 0.0 , 0.0 , 

5.0 , 2541.53846154 , 2531.79487179 , 2695.38461538 , 2605.12820513 , 2670.76923077 , 2502.05128205 , 2528.20512821 , 2524.1025641 , 2162.56410256 , 2540.51282051 , 2592.82051282 , 3504.61538462 , 4055.8974359 , 4213.33333333 , 2079.0 , 2068.0 , 76.321 , 0.0 , 0.0 , 0.0 , 0.0 , 

6.0 , 2510.25641026 , 2527.17948718 , 2714.87179487 , 2607.17948718 , 2673.84615385 , 2505.12820513 , 2538.46153846 , 2530.25641026 , 2167.17948718 , 2539.48717949 , 2600.51282051 , 3527.69230769 , 4049.23076923 , 4177.94871795 , 2080.0 , 2070.0 , 76.328 , 0.0 , 0.0 , 0.0 , 0.0 , 

7.0 , 2564.61538462 , 2525.12820513 , 2718.46153846 , 2608.20512821 , 2672.82051282 , 2500.51282051 , 2540.0 , 2535.38461538 , 2164.61538462 , 2543.07692308 , 2602.05128205 , 3549.74358974 , 4004.61538462 , 4224.1025641 , 2079.0 , 2069.0 , 76.333 , 0.0 , 0.0 , 0.0 , 0.0 , 

