['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
128.0 , 4129.23076923 , 4133.84615385 , 4126.15384615 , 4129.23076923 , 4132.30769231 , 4128.71794872 , 4128.20512821 , 4132.30769231 , 4133.84615385 , 4143.07692308 , 4176.41025641 , 4715.38461538 , 4130.76923077 , 4141.02564103 , 2046.0 , 2050.0 , 6.044 , 0.0 , 0.0 , 0.0 , 0.0 , 

0.0 , 4129.23076923 , 4133.84615385 , 4123.58974359 , 4130.76923077 , 4130.76923077 , 4129.23076923 , 4128.20512821 , 4136.41025641 , 4135.38461538 , 4142.05128205 , 4175.38461538 , 4717.43589744 , 4132.82051282 , 4137.94871795 , 2045.0 , 2049.0 , 6.051 , 0.0 , 0.0 , 0.0 , 0.0 , 

1.0 , 4129.74358974 , 4130.25641026 , 4124.61538462 , 4130.76923077 , 4129.23076923 , 4127.69230769 , 4127.17948718 , 4135.38461538 , 4135.8974359 , 4140.0 , 4172.30769231 , 4715.8974359 , 4129.74358974 , 4133.33333333 , 2045.0 , 2044.0 , 6.059 , 0.0 , 0.0 , 0.0 , 0.0 , 

2.0 , 4132.30769231 , 4128.20512821 , 4137.94871795 , 4129.74358974 , 4131.28205128 , 4129.74358974 , 4126.66666667 , 4133.84615385 , 4135.38461538 , 4142.05128205 , 4173.84615385 , 4712.82051282 , 4130.25641026 , 4134.87179487 , 2047.0 , 2043.0 , 6.066 , 0.0 , 0.0 , 0.0 , 0.0 , 

3.0 , 4132.82051282 , 4131.79487179 , 4126.15384615 , 4130.76923077 , 4131.28205128 , 4129.74358974 , 4127.69230769 , 4131.28205128 , 4133.33333333 , 4141.02564103 , 4174.87179487 , 4713.33333333 , 4131.79487179 , 4135.38461538 , 2046.0 , 2043.0 , 6.076 , 0.0 , 0.0 , 0.0 , 0.0 , 

4.0 , 4131.79487179 , 4134.87179487 , 4116.41025641 , 4133.84615385 , 4130.25641026 , 4126.15384615 , 4128.20512821 , 4131.28205128 , 4132.82051282 , 4137.94871795 , 4174.87179487 , 4715.8974359 , 4129.74358974 , 4133.84615385 , 2047.0 , 2045.0 , 6.083 , 0.0 , 0.0 , 0.0 , 0.0 , 

5.0 , 4130.76923077 , 4131.28205128 , 4110.25641026 , 4134.87179487 , 4128.71794872 , 4126.66666667 , 4128.71794872 , 4129.23076923 , 4135.38461538 , 4137.94871795 , 4174.87179487 , 4712.30769231 , 4127.69230769 , 4134.87179487 , 2047.0 , 2045.0 , 6.092 , 0.0 , 0.0 , 0.0 , 0.0 , 

6.0 , 4128.71794872 , 4127.69230769 , 4130.76923077 , 4132.82051282 , 4128.20512821 , 4129.74358974 , 4128.71794872 , 4130.25641026 , 4137.94871795 , 4142.56410256 , 4175.38461538 , 4713.33333333 , 4131.79487179 , 4135.38461538 , 2047.0 , 2050.0 , 6.099 , 0.0 , 0.0 , 0.0 , 0.0 , 

7.0 , 4128.71794872 , 4131.79487179 , 4118.46153846 , 4131.28205128 , 4129.74358974 , 4130.76923077 , 4129.23076923 , 4131.28205128 , 4133.84615385 , 4142.05128205 , 4174.35897436 , 4716.92307692 , 4129.74358974 , 4133.33333333 , 2046.0 , 2053.0 , 6.108 , 0.0 , 0.0 , 0.0 , 0.0 , 

8.0 , 4130.25641026 , 4134.35897436 , 4106.66666667 , 4131.79487179 , 4129.74358974 , 4128.20512821 , 4128.71794872 , 4131.79487179 , 4131.79487179 , 4140.51282051 , 4174.87179487 , 4711.79487179 , 4126.66666667 , 4133.33333333 , 2047.0 , 2055.0 , 6.115 , 0.0 , 0.0 , 0.0 , 0.0 , 

9.0 , 4132.82051282 , 4130.76923077 , 4105.12820513 , 4132.82051282 , 4128.71794872 , 4127.69230769 , 4128.20512821 , 4132.30769231 , 4135.8974359 , 4141.02564103 , 4175.8974359 , 4706.15384615 , 4129.74358974 , 4134.87179487 , 2047.0 , 2058.0 , 6.122 , 0.0 , 0.0 , 0.0 , 0.0 , 

10.0 , 4132.30769231 , 4127.69230769 , 4110.76923077 , 4130.76923077 , 4130.25641026 , 4129.23076923 , 4128.20512821 , 4131.79487179 , 4137.43589744 , 4140.0 , 4174.87179487 , 4707.17948718 , 4130.76923077 , 4134.87179487 , 2048.0 , 2059.0 , 6.13 , 0.0 , 0.0 , 0.0 , 0.0 , 

11.0 , 4131.28205128 , 4129.74358974 , 4103.58974359 , 4129.74358974 , 4132.30769231 , 4128.20512821 , 4128.20512821 , 4134.35897436 , 4134.87179487 , 4140.0 , 4173.33333333 , 4711.79487179 , 4128.71794872 , 4137.94871795 , 2048.0 , 2058.0 , 6.138 , 0.0 , 0.0 , 0.0 , 0.0 , 

12.0 , 4130.76923077 , 4132.30769231 , 4110.76923077 , 4130.76923077 , 4129.23076923 , 4127.17948718 , 4127.17948718 , 4133.33333333 , 4134.87179487 , 4141.53846154 , 4172.82051282 , 4711.79487179 , 4130.76923077 , 4138.97435897 , 2050.0 , 2057.0 , 6.146 , 0.0 , 0.0 , 0.0 , 0.0 , 

13.0 , 4131.28205128 , 4132.30769231 , 4115.38461538 , 4131.28205128 , 4128.71794872 , 4129.74358974 , 4126.66666667 , 4134.35897436 , 4136.92307692 , 4141.53846154 , 4176.92307692 , 4709.74358974 , 4131.28205128 , 4137.43589744 , 2050.0 , 2053.0 , 6.154 , 0.0 , 0.0 , 0.0 , 0.0 , 

14.0 , 4129.74358974 , 4129.23076923 , 4124.1025641 , 4128.71794872 , 4131.28205128 , 4129.23076923 , 4128.20512821 , 4138.46153846 , 4137.43589744 , 4141.53846154 , 4178.46153846 , 4708.20512821 , 4128.71794872 , 4133.84615385 , 2050.0 , 2050.0 , 6.162 , 0.0 , 0.0 , 0.0 , 0.0 , 

15.0 , 4132.30769231 , 4130.25641026 , 4118.46153846 , 4128.71794872 , 4131.28205128 , 4127.69230769 , 4128.20512821 , 4137.94871795 , 4136.92307692 , 4144.1025641 , 4174.35897436 , 4711.79487179 , 4131.79487179 , 4134.87179487 , 2051.0 , 2047.0 , 6.17 , 0.0 , 0.0 , 0.0 , 0.0 , 

16.0 , 4130.76923077 , 4132.30769231 , 4111.79487179 , 4130.25641026 , 4130.25641026 , 4132.30769231 , 4126.66666667 , 4134.35897436 , 4136.92307692 , 4141.53846154 , 4174.35897436 , 4710.76923077 , 4132.82051282 , 4135.8974359 , 2051.0 , 2046.0 , 6.177 , 0.0 , 0.0 , 0.0 , 0.0 , 

17.0 , 4128.71794872 , 4131.79487179 , 4125.12820513 , 4130.25641026 , 4130.25641026 , 4132.82051282 , 4127.69230769 , 4134.87179487 , 4136.92307692 , 4140.51282051 , 4177.94871795 , 4709.23076923 , 4130.25641026 , 4136.41025641 , 2050.0 , 2047.0 , 6.185 , 0.0 , 0.0 , 0.0 , 0.0 , 

18.0 , 4130.25641026 , 4130.76923077 , 4132.82051282 , 4131.28205128 , 4128.20512821 , 4127.69230769 , 4127.69230769 , 4133.33333333 , 4134.35897436 , 4142.56410256 , 4175.38461538 , 4710.25641026 , 4130.25641026 , 4134.35897436 , 2050.0 , 2049.0 , 6.193 , 0.0 , 0.0 , 0.0 , 0.0 , 

19.0 , 4132.30769231 , 4131.28205128 , 4111.79487179 , 4134.35897436 , 4127.69230769 , 4126.66666667 , 4127.17948718 , 4129.74358974 , 4132.82051282 , 4141.02564103 , 4170.76923077 , 4711.28205128 , 4133.33333333 , 4136.41025641 , 2049.0 , 2050.0 , 6.201 , 0.0 , 0.0 , 0.0 , 0.0 , 

20.0 , 4130.25641026 , 4132.30769231 , 4096.92307692 , 4133.84615385 , 4130.25641026 , 4128.71794872 , 4129.23076923 , 4128.20512821 , 4132.82051282 , 4137.43589744 , 4172.30769231 , 4708.71794872 , 4129.23076923 , 4136.92307692 , 2048.0 , 2053.0 , 6.209 , 0.0 , 0.0 , 0.0 , 0.0 , 

21.0 , 4128.71794872 , 4130.76923077 , 4128.71794872 , 4131.79487179 , 4131.28205128 , 4127.17948718 , 4129.74358974 , 4132.30769231 , 4136.92307692 , 4140.51282051 , 4176.41025641 , 4706.66666667 , 4126.15384615 , 4134.87179487 , 2048.0 , 2056.0 , 6.217 , 0.0 , 0.0 , 0.0 , 0.0 , 

22.0 , 4131.28205128 , 4130.25641026 , 4126.15384615 , 4132.30769231 , 4129.74358974 , 4126.66666667 , 4127.69230769 , 4135.8974359 , 4138.46153846 , 4141.53846154 , 4176.41025641 , 4705.12820513 , 4127.17948718 , 4135.8974359 , 2047.0 , 2058.0 , 6.225 , 0.0 , 0.0 , 0.0 , 0.0 , 

23.0 , 4132.82051282 , 4131.79487179 , 4114.35897436 , 4131.28205128 , 4129.23076923 , 4130.25641026 , 4127.69230769 , 4137.94871795 , 4135.8974359 , 4142.56410256 , 4174.35897436 , 4707.17948718 , 4130.76923077 , 4138.46153846 , 2046.0 , 2060.0 , 6.233 , 0.0 , 0.0 , 0.0 , 0.0 , 

24.0 , 4132.82051282 , 4131.28205128 , 4107.17948718 , 4132.30769231 , 4131.28205128 , 4129.23076923 , 4128.71794872 , 4133.33333333 , 4134.87179487 , 4141.02564103 , 4172.82051282 , 4707.17948718 , 4127.69230769 , 4136.92307692 , 2044.0 , 2060.0 , 6.241 , 0.0 , 0.0 , 0.0 , 0.0 , 

25.0 , 4131.28205128 , 4128.71794872 , 4125.12820513 , 4132.30769231 , 4132.82051282 , 4126.66666667 , 4128.71794872 , 4131.28205128 , 4137.94871795 , 4141.53846154 , 4175.38461538 , 4705.12820513 , 4127.69230769 , 4132.82051282 , 2043.0 , 2060.0 , 6.249 , 0.0 , 0.0 , 0.0 , 0.0 , 

26.0 , 4130.76923077 , 4130.25641026 , 4115.8974359 , 4130.76923077 , 4132.30769231 , 4126.15384615 , 4127.69230769 , 4131.79487179 , 4136.92307692 , 4143.58974359 , 4175.8974359 , 4705.64102564 , 4130.25641026 , 4132.30769231 , 2042.0 , 2059.0 , 6.256 , 0.0 , 0.0 , 0.0 , 0.0 , 

27.0 , 4130.25641026 , 4132.30769231 , 4125.64102564 , 4131.28205128 , 4130.76923077 , 4124.1025641 , 4127.17948718 , 4133.33333333 , 4134.87179487 , 4143.07692308 , 4173.84615385 , 4707.17948718 , 4131.28205128 , 4136.41025641 , 2044.0 , 2055.0 , 6.264 , 0.0 , 0.0 , 0.0 , 0.0 , 

28.0 , 4132.30769231 , 4131.79487179 , 4127.69230769 , 4133.84615385 , 4130.25641026 , 4123.58974359 , 4126.66666667 , 4134.35897436 , 4135.38461538 , 4140.0 , 4173.33333333 , 4705.12820513 , 4129.74358974 , 4137.43589744 , 2042.0 , 2053.0 , 6.272 , 0.0 , 0.0 , 0.0 , 0.0 , 

29.0 , 4132.82051282 , 4129.74358974 , 4126.15384615 , 4131.79487179 , 4129.23076923 , 4127.69230769 , 4124.61538462 , 4132.30769231 , 4135.8974359 , 4141.53846154 , 4175.8974359 , 4702.56410256 , 4130.76923077 , 4133.84615385 , 2042.0 , 2048.0 , 6.28 , 0.0 , 0.0 , 0.0 , 0.0 , 

30.0 , 4131.28205128 , 4129.74358974 , 4117.43589744 , 4130.76923077 , 4128.71794872 , 4130.25641026 , 4125.12820513 , 4129.74358974 , 4134.87179487 , 4141.53846154 , 4178.46153846 , 4704.1025641 , 4133.84615385 , 4133.84615385 , 2042.0 , 2045.0 , 6.288 , 0.0 , 0.0 , 0.0 , 0.0 , 

31.0 , 4130.25641026 , 4129.74358974 , 4149.23076923 , 4131.28205128 , 4129.23076923 , 4129.23076923 , 4127.17948718 , 4135.8974359 , 4135.8974359 , 4140.51282051 , 4179.48717949 , 4708.71794872 , 4134.87179487 , 4138.46153846 , 2043.0 , 2042.0 , 6.296 , 0.0 , 0.0 , 0.0 , 0.0 , 

32.0 , 4133.33333333 , 4131.28205128 , 4149.23076923 , 4131.28205128 , 4130.25641026 , 4127.69230769 , 4128.20512821 , 4138.46153846 , 4135.38461538 , 4141.53846154 , 4177.43589744 , 4708.71794872 , 4131.79487179 , 4137.94871795 , 2046.0 , 2043.0 , 6.304 , 0.0 , 0.0 , 0.0 , 0.0 , 

