['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
79.0 , 4121.53846154 , 4127.17948718 , 4125.64102564 , 4125.12820513 , 4125.12820513 , 4124.61538462 , 4120.0 , 4128.71794872 , 4125.64102564 , 4135.8974359 , 4185.64102564 , 4904.61538462 , 4130.25641026 , 4134.87179487 , 2042.0 , 2036.0 , 8.164 , 0.0 , 0.0 , 0.0 , 0.0 , 

80.0 , 4125.64102564 , 4128.20512821 , 4123.58974359 , 4125.64102564 , 4126.15384615 , 4126.15384615 , 4121.53846154 , 4129.23076923 , 4124.1025641 , 4135.8974359 , 4182.05128205 , 4904.61538462 , 4128.20512821 , 4131.28205128 , 2041.0 , 2037.0 , 8.172 , 0.0 , 0.0 , 0.0 , 0.0 , 

81.0 , 4126.15384615 , 4124.1025641 , 4126.66666667 , 4125.64102564 , 4129.23076923 , 4124.61538462 , 4124.1025641 , 4128.20512821 , 4124.61538462 , 4135.8974359 , 4183.07692308 , 4906.66666667 , 4129.74358974 , 4130.76923077 , 2042.0 , 2036.0 , 8.182 , 0.0 , 0.0 , 0.0 , 0.0 , 

82.0 , 4128.20512821 , 4122.56410256 , 4128.20512821 , 4126.66666667 , 4128.20512821 , 4124.1025641 , 4123.58974359 , 4125.12820513 , 4128.20512821 , 4135.8974359 , 4185.64102564 , 4906.66666667 , 4129.23076923 , 4132.82051282 , 2043.0 , 2035.0 , 8.189 , 0.0 , 0.0 , 0.0 , 0.0 , 

83.0 , 4128.71794872 , 4124.61538462 , 4125.64102564 , 4126.66666667 , 4125.12820513 , 4126.15384615 , 4122.56410256 , 4124.1025641 , 4128.71794872 , 4135.8974359 , 4183.58974359 , 4904.61538462 , 4127.17948718 , 4131.79487179 , 2044.0 , 2035.0 , 8.203 , 0.0 , 0.0 , 0.0 , 0.0 , 

84.0 , 4127.17948718 , 4125.12820513 , 4126.66666667 , 4126.66666667 , 4124.61538462 , 4125.12820513 , 4123.58974359 , 4127.17948718 , 4126.66666667 , 4135.8974359 , 4183.07692308 , 4905.12820513 , 4127.17948718 , 4131.28205128 , 2041.0 , 2034.0 , 8.208 , 0.0 , 0.0 , 0.0 , 0.0 , 

85.0 , 4126.66666667 , 4124.1025641 , 4125.12820513 , 4128.20512821 , 4126.66666667 , 4123.58974359 , 4122.56410256 , 4129.74358974 , 4126.15384615 , 4135.8974359 , 4185.12820513 , 4905.64102564 , 4127.17948718 , 4133.84615385 , 2041.0 , 2034.0 , 8.214 , 0.0 , 0.0 , 0.0 , 0.0 , 

86.0 , 4126.66666667 , 4124.61538462 , 4124.61538462 , 4129.23076923 , 4125.64102564 , 4124.61538462 , 4122.56410256 , 4124.61538462 , 4126.66666667 , 4135.8974359 , 4186.66666667 , 4907.17948718 , 4128.20512821 , 4135.8974359 , 2042.0 , 2035.0 , 8.22 , 0.0 , 0.0 , 0.0 , 0.0 , 

87.0 , 4125.64102564 , 4123.58974359 , 4125.12820513 , 4126.66666667 , 4124.1025641 , 4123.58974359 , 4125.12820513 , 4121.53846154 , 4128.71794872 , 4135.8974359 , 4184.1025641 , 4905.64102564 , 4128.71794872 , 4132.82051282 , 2041.0 , 2036.0 , 8.228 , 0.0 , 0.0 , 0.0 , 0.0 , 

88.0 , 4127.69230769 , 4127.69230769 , 4128.20512821 , 4126.66666667 , 4126.15384615 , 4123.07692308 , 4123.58974359 , 4125.12820513 , 4127.69230769 , 4135.8974359 , 4183.58974359 , 4906.15384615 , 4128.20512821 , 4131.79487179 , 2042.0 , 2036.0 , 8.239 , 0.0 , 0.0 , 0.0 , 0.0 , 

89.0 , 4126.15384615 , 4126.66666667 , 4124.61538462 , 4127.17948718 , 4128.20512821 , 4125.12820513 , 4119.48717949 , 4131.28205128 , 4125.64102564 , 4135.8974359 , 4184.1025641 , 4905.12820513 , 4128.20512821 , 4132.82051282 , 2042.0 , 2035.0 , 8.245 , 0.0 , 0.0 , 0.0 , 0.0 , 

90.0 , 4126.15384615 , 4125.12820513 , 4127.17948718 , 4124.61538462 , 4126.15384615 , 4124.61538462 , 4120.0 , 4129.23076923 , 4126.15384615 , 4135.8974359 , 4185.64102564 , 4907.17948718 , 4127.69230769 , 4133.33333333 , 2041.0 , 2034.0 , 8.251 , 0.0 , 0.0 , 0.0 , 0.0 , 

91.0 , 4124.1025641 , 4126.66666667 , 4127.69230769 , 4124.61538462 , 4126.15384615 , 4122.56410256 , 4123.58974359 , 4126.15384615 , 4129.23076923 , 4135.8974359 , 4186.15384615 , 4904.1025641 , 4126.66666667 , 4131.79487179 , 2042.0 , 2036.0 , 8.26 , 0.0 , 0.0 , 0.0 , 0.0 , 

92.0 , 4123.58974359 , 4129.23076923 , 4128.20512821 , 4126.15384615 , 4126.15384615 , 4123.07692308 , 4124.61538462 , 4127.69230769 , 4127.69230769 , 4135.8974359 , 4184.1025641 , 4906.66666667 , 4130.25641026 , 4132.82051282 , 2042.0 , 2036.0 , 8.268 , 0.0 , 0.0 , 0.0 , 0.0 , 

93.0 , 4125.12820513 , 4126.15384615 , 4122.05128205 , 4127.17948718 , 4126.66666667 , 4124.61538462 , 4123.58974359 , 4130.76923077 , 4128.71794872 , 4135.8974359 , 4182.56410256 , 4907.17948718 , 4130.76923077 , 4132.82051282 , 2043.0 , 2036.0 , 8.277 , 0.0 , 0.0 , 0.0 , 0.0 , 

94.0 , 4127.17948718 , 4126.66666667 , 4124.1025641 , 4129.23076923 , 4128.20512821 , 4124.61538462 , 4122.05128205 , 4126.66666667 , 4130.76923077 , 4135.8974359 , 4184.1025641 , 4907.17948718 , 4127.69230769 , 4134.87179487 , 2042.0 , 2034.0 , 8.283 , 0.0 , 0.0 , 0.0 , 0.0 , 

95.0 , 4126.66666667 , 4127.69230769 , 4126.15384615 , 4128.20512821 , 4126.66666667 , 4125.12820513 , 4120.51282051 , 4125.64102564 , 4129.74358974 , 4135.8974359 , 4184.61538462 , 4904.61538462 , 4127.17948718 , 4134.35897436 , 2042.0 , 2036.0 , 8.292 , 0.0 , 0.0 , 0.0 , 0.0 , 

96.0 , 4128.20512821 , 4127.69230769 , 4126.66666667 , 4125.12820513 , 4125.64102564 , 4126.15384615 , 4121.02564103 , 4127.69230769 , 4127.17948718 , 4135.8974359 , 4184.1025641 , 4907.17948718 , 4130.76923077 , 4133.33333333 , 2041.0 , 2035.0 , 8.299 , 0.0 , 0.0 , 0.0 , 0.0 , 

97.0 , 4125.12820513 , 4125.64102564 , 4124.61538462 , 4127.17948718 , 4127.69230769 , 4126.66666667 , 4123.07692308 , 4127.69230769 , 4126.66666667 , 4135.8974359 , 4182.56410256 , 4904.61538462 , 4130.76923077 , 4131.79487179 , 2042.0 , 2034.0 , 8.307 , 0.0 , 0.0 , 0.0 , 0.0 , 

98.0 , 4122.56410256 , 4124.61538462 , 4126.15384615 , 4130.25641026 , 4128.20512821 , 4124.61538462 , 4124.1025641 , 4124.1025641 , 4125.12820513 , 4135.8974359 , 4184.61538462 , 4905.12820513 , 4130.25641026 , 4134.35897436 , 2041.0 , 2036.0 , 8.316 , 0.0 , 0.0 , 0.0 , 0.0 , 

99.0 , 4128.20512821 , 4125.64102564 , 4127.69230769 , 4128.20512821 , 4127.69230769 , 4121.02564103 , 4123.58974359 , 4125.12820513 , 4123.58974359 , 4135.8974359 , 4186.66666667 , 4907.17948718 , 4131.79487179 , 4133.84615385 , 2041.0 , 2037.0 , 8.324 , 0.0 , 0.0 , 0.0 , 0.0 , 

100.0 , 4131.28205128 , 4126.15384615 , 4126.66666667 , 4127.17948718 , 4126.66666667 , 4122.56410256 , 4122.56410256 , 4128.71794872 , 4128.20512821 , 4135.8974359 , 4186.15384615 , 4904.61538462 , 4131.79487179 , 4130.76923077 , 2042.0 , 2035.0 , 8.33 , 0.0 , 0.0 , 0.0 , 0.0 , 

101.0 , 4124.61538462 , 4125.64102564 , 4128.71794872 , 4127.17948718 , 4123.07692308 , 4126.66666667 , 4123.07692308 , 4128.71794872 , 4131.79487179 , 4135.8974359 , 4184.1025641 , 4903.07692308 , 4133.33333333 , 4133.33333333 , 2042.0 , 2034.0 , 8.338 , 0.0 , 0.0 , 0.0 , 0.0 , 

102.0 , 4121.53846154 , 4128.71794872 , 4128.71794872 , 4126.15384615 , 4122.56410256 , 4123.07692308 , 4125.12820513 , 4129.23076923 , 4127.17948718 , 4135.8974359 , 4184.61538462 , 4905.12820513 , 4133.84615385 , 4136.92307692 , 2042.0 , 2034.0 , 8.355 , 0.0 , 0.0 , 0.0 , 0.0 , 

103.0 , 4127.17948718 , 4129.74358974 , 4127.17948718 , 4125.64102564 , 4125.64102564 , 4118.97435897 , 4123.07692308 , 4128.20512821 , 4123.07692308 , 4135.8974359 , 4185.64102564 , 4907.69230769 , 4129.74358974 , 4135.8974359 , 2042.0 , 2036.0 , 8.442 , 0.0 , 0.0 , 0.0 , 0.0 , 

104.0 , 4126.66666667 , 4125.64102564 , 4124.1025641 , 4125.64102564 , 4125.12820513 , 4123.07692308 , 4120.0 , 4124.61538462 , 4126.66666667 , 4135.8974359 , 4184.1025641 , 4906.15384615 , 4128.20512821 , 4131.28205128 , 2042.0 , 2037.0 , 8.443 , 0.0 , 0.0 , 0.0 , 0.0 , 

105.0 , 4126.66666667 , 4125.64102564 , 4127.17948718 , 4127.17948718 , 4124.1025641 , 4127.69230769 , 4121.53846154 , 4123.58974359 , 4129.23076923 , 4135.8974359 , 4184.61538462 , 4907.69230769 , 4131.28205128 , 4132.30769231 , 2042.0 , 2035.0 , 8.443 , 0.0 , 0.0 , 0.0 , 0.0 , 

106.0 , 4128.20512821 , 4127.17948718 , 4124.61538462 , 4127.17948718 , 4127.17948718 , 4124.61538462 , 4124.1025641 , 4128.71794872 , 4128.20512821 , 4135.8974359 , 4182.56410256 , 4904.61538462 , 4130.25641026 , 4133.33333333 , 2042.0 , 2036.0 , 8.443 , 0.0 , 0.0 , 0.0 , 0.0 , 

107.0 , 4128.20512821 , 4127.69230769 , 4123.58974359 , 4129.23076923 , 4126.66666667 , 4122.56410256 , 4122.56410256 , 4127.17948718 , 4127.17948718 , 4135.8974359 , 4183.07692308 , 4904.1025641 , 4127.17948718 , 4131.28205128 , 2042.0 , 2033.0 , 8.443 , 0.0 , 0.0 , 0.0 , 0.0 , 

108.0 , 4125.64102564 , 4127.17948718 , 4125.12820513 , 4131.28205128 , 4126.15384615 , 4124.1025641 , 4121.53846154 , 4124.1025641 , 4128.20512821 , 4135.8974359 , 4185.12820513 , 4905.12820513 , 4126.15384615 , 4130.76923077 , 2042.0 , 2033.0 , 8.443 , 0.0 , 0.0 , 0.0 , 0.0 , 

109.0 , 4128.20512821 , 4129.23076923 , 4129.23076923 , 4129.23076923 , 4127.69230769 , 4125.64102564 , 4121.53846154 , 4125.64102564 , 4126.15384615 , 4135.8974359 , 4185.64102564 , 4907.17948718 , 4127.17948718 , 4134.35897436 , 2042.0 , 2033.0 , 8.443 , 0.0 , 0.0 , 0.0 , 0.0 , 

110.0 , 4124.1025641 , 4127.17948718 , 4124.61538462 , 4126.15384615 , 4126.15384615 , 4124.61538462 , 4121.53846154 , 4129.74358974 , 4127.17948718 , 4135.8974359 , 4183.07692308 , 4904.1025641 , 4128.71794872 , 4134.87179487 , 2042.0 , 2035.0 , 8.443 , 0.0 , 0.0 , 0.0 , 0.0 , 

111.0 , 4123.07692308 , 4126.66666667 , 4126.66666667 , 4126.66666667 , 4124.61538462 , 4123.58974359 , 4123.07692308 , 4127.69230769 , 4131.28205128 , 4135.8974359 , 4184.61538462 , 4908.71794872 , 4131.79487179 , 4134.87179487 , 2042.0 , 2034.0 , 8.443 , 0.0 , 0.0 , 0.0 , 0.0 , 

112.0 , 4125.64102564 , 4126.66666667 , 4129.23076923 , 4125.12820513 , 4126.66666667 , 4124.61538462 , 4123.58974359 , 4126.15384615 , 4131.28205128 , 4135.8974359 , 4185.12820513 , 4907.69230769 , 4132.82051282 , 4134.35897436 , 2042.0 , 2035.0 , 8.443 , 0.0 , 0.0 , 0.0 , 0.0 , 

