['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
20.0 , 4135.38461538 , 4133.84615385 , 4246.15384615 , 4134.35897436 , 4134.87179487 , 4134.35897436 , 4134.35897436 , 4141.02564103 , 4140.51282051 , 4148.71794872 , 4178.97435897 , 4709.23076923 , 4136.41025641 , 4144.61538462 , 2026.0 , 2032.0 , 6.042 , 0.0 , 0.0 , 0.0 , 0.0 , 

21.0 , 4135.38461538 , 4135.38461538 , 4230.25641026 , 4134.35897436 , 4134.87179487 , 4134.35897436 , 4134.35897436 , 4140.51282051 , 4141.02564103 , 4145.64102564 , 4176.92307692 , 4709.23076923 , 4137.43589744 , 4137.43589744 , 2027.0 , 2032.0 , 6.05 , 0.0 , 0.0 , 0.0 , 0.0 , 

22.0 , 4133.33333333 , 4135.8974359 , 4216.92307692 , 4134.87179487 , 4134.87179487 , 4134.35897436 , 4134.35897436 , 4138.46153846 , 4141.53846154 , 4142.56410256 , 4177.94871795 , 4708.71794872 , 4135.8974359 , 4134.87179487 , 2026.0 , 2029.0 , 6.058 , 0.0 , 0.0 , 0.0 , 0.0 , 

23.0 , 4134.87179487 , 4133.33333333 , 4205.64102564 , 4134.35897436 , 4134.87179487 , 4134.35897436 , 4134.35897436 , 4135.8974359 , 4140.0 , 4140.51282051 , 4177.94871795 , 4707.17948718 , 4130.76923077 , 4138.46153846 , 2026.0 , 2028.0 , 6.066 , 0.0 , 0.0 , 0.0 , 0.0 , 

24.0 , 4138.46153846 , 4131.79487179 , 4211.79487179 , 4133.84615385 , 4134.87179487 , 4134.35897436 , 4134.35897436 , 4138.97435897 , 4138.97435897 , 4142.56410256 , 4178.46153846 , 4712.30769231 , 4133.84615385 , 4139.48717949 , 2026.0 , 2027.0 , 6.074 , 0.0 , 0.0 , 0.0 , 0.0 , 

25.0 , 4134.35897436 , 4133.33333333 , 4207.69230769 , 4134.35897436 , 4134.87179487 , 4134.35897436 , 4134.87179487 , 4137.43589744 , 4137.43589744 , 4144.1025641 , 4178.97435897 , 4714.35897436 , 4135.8974359 , 4138.46153846 , 2023.0 , 2027.0 , 6.082 , 0.0 , 0.0 , 0.0 , 0.0 , 

26.0 , 4130.25641026 , 4133.84615385 , 4206.66666667 , 4134.35897436 , 4134.87179487 , 4134.35897436 , 4134.35897436 , 4136.41025641 , 4137.43589744 , 4144.61538462 , 4178.46153846 , 4710.25641026 , 4135.38461538 , 4138.97435897 , 2023.0 , 2028.0 , 6.09 , 0.0 , 0.0 , 0.0 , 0.0 , 

27.0 , 4134.35897436 , 4132.30769231 , 4204.61538462 , 4134.35897436 , 4134.87179487 , 4133.84615385 , 4134.35897436 , 4136.41025641 , 4135.8974359 , 4144.61538462 , 4180.0 , 4710.25641026 , 4134.87179487 , 4138.46153846 , 2021.0 , 2029.0 , 6.097 , 0.0 , 0.0 , 0.0 , 0.0 , 

