['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
112.0 , 4115.8974359 , 4111.28205128 , 4119.48717949 , 4113.33333333 , 4112.82051282 , 4107.17948718 , 4106.15384615 , 4116.92307692 , 4116.41025641 , 4119.48717949 , 4172.30769231 , 4898.46153846 , 4116.41025641 , 4120.51282051 , 2056.0 , 2028.0 , 38.449 , 0.0 , 0.0 , 0.0 , 0.0 , 

113.0 , 4117.94871795 , 4110.76923077 , 4114.87179487 , 4112.30769231 , 4112.82051282 , 4109.23076923 , 4108.20512821 , 4115.38461538 , 4114.35897436 , 4118.97435897 , 4171.28205128 , 4895.8974359 , 4112.82051282 , 4118.46153846 , 2059.0 , 2028.0 , 38.457 , 0.0 , 0.0 , 0.0 , 0.0 , 

114.0 , 4113.33333333 , 4112.30769231 , 4113.84615385 , 4114.35897436 , 4110.25641026 , 4109.74358974 , 4107.17948718 , 4107.17948718 , 4111.28205128 , 4119.48717949 , 4168.20512821 , 4893.84615385 , 4110.76923077 , 4122.05128205 , 2059.0 , 2030.0 , 38.466 , 0.0 , 0.0 , 0.0 , 0.0 , 

115.0 , 4114.87179487 , 4113.33333333 , 4119.48717949 , 4116.41025641 , 4112.82051282 , 4110.25641026 , 4106.66666667 , 4108.20512821 , 4111.79487179 , 4121.02564103 , 4170.25641026 , 4894.87179487 , 4113.33333333 , 4121.02564103 , 2059.0 , 2033.0 , 38.473 , 0.0 , 0.0 , 0.0 , 0.0 , 

116.0 , 4115.8974359 , 4111.28205128 , 4118.46153846 , 4114.87179487 , 4116.41025641 , 4111.28205128 , 4106.66666667 , 4113.84615385 , 4115.38461538 , 4122.05128205 , 4173.33333333 , 4893.33333333 , 4115.8974359 , 4117.43589744 , 2058.0 , 2033.0 , 38.481 , 0.0 , 0.0 , 0.0 , 0.0 , 

117.0 , 4115.38461538 , 4110.25641026 , 4113.84615385 , 4113.84615385 , 4113.84615385 , 4111.28205128 , 4105.12820513 , 4109.23076923 , 4111.79487179 , 4122.05128205 , 4172.30769231 , 4889.74358974 , 4113.84615385 , 4123.58974359 , 2056.0 , 2031.0 , 38.489 , 0.0 , 0.0 , 0.0 , 0.0 , 

118.0 , 4113.33333333 , 4112.30769231 , 4113.33333333 , 4117.43589744 , 4110.25641026 , 4113.33333333 , 4110.25641026 , 4111.28205128 , 4115.38461538 , 4123.07692308 , 4170.76923077 , 4891.79487179 , 4117.94871795 , 4125.64102564 , 2054.0 , 2030.0 , 38.497 , 0.0 , 0.0 , 0.0 , 0.0 , 

119.0 , 4117.43589744 , 4114.87179487 , 4117.94871795 , 4116.92307692 , 4113.33333333 , 4110.76923077 , 4110.25641026 , 4109.74358974 , 4110.76923077 , 4123.07692308 , 4171.28205128 , 4896.41025641 , 4114.87179487 , 4122.56410256 , 2054.0 , 2028.0 , 38.504 , 0.0 , 0.0 , 0.0 , 0.0 , 

120.0 , 4114.35897436 , 4115.8974359 , 4112.30769231 , 4116.41025641 , 4113.84615385 , 4110.76923077 , 4110.76923077 , 4115.8974359 , 4114.35897436 , 4121.53846154 , 4175.38461538 , 4895.38461538 , 4120.0 , 4121.53846154 , 2051.0 , 2026.0 , 38.513 , 0.0 , 0.0 , 0.0 , 0.0 , 

