['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
54.0 , 4132.30769231 , 4131.79487179 , 4148.20512821 , 4133.84615385 , 4129.23076923 , 4129.23076923 , 4127.17948718 , 4137.94871795 , 4134.87179487 , 4141.02564103 , 4169.74358974 , 4674.35897436 , 4136.41025641 , 4138.46153846 , 2024.0 , 2039.0 , 6.03 , 0.0 , 0.0 , 0.0 , 0.0 , 

55.0 , 4131.79487179 , 4128.20512821 , 4131.79487179 , 4133.33333333 , 4130.25641026 , 4131.28205128 , 4129.23076923 , 4138.46153846 , 4136.41025641 , 4143.07692308 , 4172.30769231 , 4674.87179487 , 4134.35897436 , 4135.8974359 , 2023.0 , 2047.0 , 6.037 , 0.0 , 0.0 , 0.0 , 0.0 , 

56.0 , 4130.25641026 , 4128.20512821 , 4121.02564103 , 4133.33333333 , 4131.28205128 , 4126.15384615 , 4130.76923077 , 4133.84615385 , 4135.38461538 , 4142.56410256 , 4172.30769231 , 4673.33333333 , 4129.74358974 , 4136.41025641 , 2022.0 , 2049.0 , 6.045 , 0.0 , 0.0 , 0.0 , 0.0 , 

57.0 , 4131.28205128 , 4130.25641026 , 4117.94871795 , 4132.82051282 , 4132.30769231 , 4131.28205128 , 4131.28205128 , 4131.79487179 , 4134.35897436 , 4141.53846154 , 4171.28205128 , 4674.87179487 , 4129.23076923 , 4137.43589744 , 2024.0 , 2048.0 , 6.054 , 0.0 , 0.0 , 0.0 , 0.0 , 

58.0 , 4132.82051282 , 4129.23076923 , 4102.05128205 , 4133.84615385 , 4131.79487179 , 4140.51282051 , 4129.23076923 , 4132.30769231 , 4133.84615385 , 4138.97435897 , 4169.74358974 , 4673.33333333 , 4127.69230769 , 4135.38461538 , 2025.0 , 2045.0 , 6.062 , 0.0 , 0.0 , 0.0 , 0.0 , 

59.0 , 4130.76923077 , 4127.69230769 , 4104.61538462 , 4137.43589744 , 4129.23076923 , 4131.79487179 , 4128.71794872 , 4134.35897436 , 4131.79487179 , 4139.48717949 , 4169.23076923 , 4667.69230769 , 4128.71794872 , 4135.38461538 , 2026.0 , 2042.0 , 6.07 , 0.0 , 0.0 , 0.0 , 0.0 , 

60.0 , 4129.74358974 , 4129.23076923 , 4095.8974359 , 4135.8974359 , 4128.20512821 , 4123.58974359 , 4130.25641026 , 4132.82051282 , 4131.79487179 , 4138.97435897 , 4169.23076923 , 4665.12820513 , 4129.23076923 , 4135.38461538 , 2031.0 , 2035.0 , 6.077 , 0.0 , 0.0 , 0.0 , 0.0 , 

61.0 , 4132.82051282 , 4130.25641026 , 4124.61538462 , 4129.74358974 , 4129.23076923 , 4130.25641026 , 4131.28205128 , 4135.38461538 , 4136.41025641 , 4142.56410256 , 4170.76923077 , 4671.28205128 , 4132.30769231 , 4137.94871795 , 2031.0 , 2033.0 , 6.085 , 0.0 , 0.0 , 0.0 , 0.0 , 

62.0 , 4134.35897436 , 4130.25641026 , 4127.69230769 , 4132.30769231 , 4128.71794872 , 4130.76923077 , 4129.74358974 , 4135.38461538 , 4133.84615385 , 4142.56410256 , 4169.74358974 , 4672.82051282 , 4131.28205128 , 4139.48717949 , 2033.0 , 2031.0 , 6.093 , 0.0 , 0.0 , 0.0 , 0.0 , 

63.0 , 4133.84615385 , 4130.76923077 , 4136.92307692 , 4136.41025641 , 4127.69230769 , 4125.12820513 , 4128.71794872 , 4135.8974359 , 4132.30769231 , 4144.1025641 , 4169.74358974 , 4670.76923077 , 4131.79487179 , 4138.46153846 , 2034.0 , 2034.0 , 6.101 , 0.0 , 0.0 , 0.0 , 0.0 , 

64.0 , 4132.82051282 , 4130.76923077 , 4135.38461538 , 4132.82051282 , 4128.20512821 , 4127.69230769 , 4131.28205128 , 4133.84615385 , 4134.35897436 , 4144.1025641 , 4171.28205128 , 4670.25641026 , 4133.84615385 , 4136.41025641 , 2033.0 , 2034.0 , 6.108 , 0.0 , 0.0 , 0.0 , 0.0 , 

65.0 , 4132.82051282 , 4129.74358974 , 4140.51282051 , 4129.23076923 , 4130.25641026 , 4128.71794872 , 4133.84615385 , 4134.87179487 , 4137.94871795 , 4144.61538462 , 4172.82051282 , 4670.25641026 , 4135.38461538 , 4137.43589744 , 2032.0 , 2036.0 , 6.117 , 0.0 , 0.0 , 0.0 , 0.0 , 

66.0 , 4134.35897436 , 4131.28205128 , 4123.58974359 , 4131.79487179 , 4133.33333333 , 4127.17948718 , 4131.79487179 , 4137.94871795 , 4136.41025641 , 4143.58974359 , 4172.82051282 , 4669.74358974 , 4133.33333333 , 4141.02564103 , 2032.0 , 2038.0 , 6.125 , 0.0 , 0.0 , 0.0 , 0.0 , 

67.0 , 4131.28205128 , 4131.79487179 , 4131.79487179 , 4131.79487179 , 4131.79487179 , 4128.20512821 , 4130.25641026 , 4137.94871795 , 4134.87179487 , 4142.56410256 , 4174.35897436 , 4670.76923077 , 4132.30769231 , 4138.97435897 , 2034.0 , 2042.0 , 6.133 , 0.0 , 0.0 , 0.0 , 0.0 , 

68.0 , 4129.23076923 , 4132.30769231 , 4132.82051282 , 4131.79487179 , 4128.71794872 , 4128.71794872 , 4131.28205128 , 4133.84615385 , 4136.41025641 , 4141.02564103 , 4174.35897436 , 4669.74358974 , 4132.30769231 , 4136.41025641 , 2034.0 , 2043.0 , 6.141 , 0.0 , 0.0 , 0.0 , 0.0 , 

69.0 , 4131.79487179 , 4133.33333333 , 4135.8974359 , 4134.87179487 , 4129.23076923 , 4129.74358974 , 4130.76923077 , 4134.35897436 , 4138.97435897 , 4143.58974359 , 4172.30769231 , 4667.69230769 , 4132.82051282 , 4136.92307692 , 2037.0 , 2043.0 , 6.149 , 0.0 , 0.0 , 0.0 , 0.0 , 

70.0 , 4134.87179487 , 4134.35897436 , 4117.43589744 , 4135.8974359 , 4130.76923077 , 4135.8974359 , 4129.23076923 , 4136.41025641 , 4134.87179487 , 4144.1025641 , 4171.79487179 , 4668.71794872 , 4130.25641026 , 4136.41025641 , 2040.0 , 2042.0 , 6.155 , 0.0 , 0.0 , 0.0 , 0.0 , 

71.0 , 4131.28205128 , 4131.79487179 , 4098.97435897 , 4131.79487179 , 4129.23076923 , 4133.84615385 , 4128.20512821 , 4133.84615385 , 4130.25641026 , 4138.46153846 , 4171.28205128 , 4666.15384615 , 4127.17948718 , 4134.35897436 , 2040.0 , 2041.0 , 6.163 , 0.0 , 0.0 , 0.0 , 0.0 , 

72.0 , 4131.28205128 , 4131.79487179 , 4111.28205128 , 4129.23076923 , 4129.74358974 , 4125.12820513 , 4129.23076923 , 4134.87179487 , 4132.82051282 , 4140.0 , 4170.25641026 , 4665.64102564 , 4128.20512821 , 4135.38461538 , 2042.0 , 2043.0 , 6.172 , 0.0 , 0.0 , 0.0 , 0.0 , 

73.0 , 4133.84615385 , 4132.30769231 , 4122.05128205 , 4129.23076923 , 4131.79487179 , 4126.66666667 , 4130.76923077 , 4135.8974359 , 4134.35897436 , 4145.64102564 , 4169.23076923 , 4667.17948718 , 4129.74358974 , 4136.92307692 , 2043.0 , 2042.0 , 6.179 , 0.0 , 0.0 , 0.0 , 0.0 , 

74.0 , 4132.30769231 , 4131.28205128 , 4126.15384615 , 4132.82051282 , 4133.33333333 , 4131.79487179 , 4129.74358974 , 4135.8974359 , 4134.87179487 , 4146.66666667 , 4171.79487179 , 4671.28205128 , 4131.28205128 , 4136.92307692 , 2043.0 , 2040.0 , 6.188 , 0.0 , 0.0 , 0.0 , 0.0 , 

75.0 , 4129.23076923 , 4129.74358974 , 4121.02564103 , 4134.35897436 , 4132.82051282 , 4127.17948718 , 4128.20512821 , 4132.82051282 , 4132.82051282 , 4140.51282051 , 4171.28205128 , 4667.69230769 , 4130.76923077 , 4135.8974359 , 2043.0 , 2040.0 , 6.195 , 0.0 , 0.0 , 0.0 , 0.0 , 

76.0 , 4131.79487179 , 4130.76923077 , 4120.51282051 , 4130.25641026 , 4131.28205128 , 4129.74358974 , 4130.25641026 , 4132.82051282 , 4133.33333333 , 4142.56410256 , 4171.28205128 , 4666.66666667 , 4133.33333333 , 4138.97435897 , 2045.0 , 2039.0 , 6.204 , 0.0 , 0.0 , 0.0 , 0.0 , 

77.0 , 4134.87179487 , 4132.30769231 , 4117.94871795 , 4131.79487179 , 4131.79487179 , 4140.0 , 4130.25641026 , 4133.33333333 , 4135.8974359 , 4145.64102564 , 4172.82051282 , 4671.28205128 , 4134.35897436 , 4139.48717949 , 2044.0 , 2038.0 , 6.212 , 0.0 , 0.0 , 0.0 , 0.0 , 

78.0 , 4132.82051282 , 4132.30769231 , 4143.07692308 , 4137.94871795 , 4132.82051282 , 4135.38461538 , 4127.69230769 , 4137.43589744 , 4136.92307692 , 4144.1025641 , 4174.35897436 , 4672.82051282 , 4134.87179487 , 4140.0 , 2046.0 , 2037.0 , 6.218 , 0.0 , 0.0 , 0.0 , 0.0 , 

79.0 , 4129.23076923 , 4131.79487179 , 4133.84615385 , 4134.87179487 , 4130.76923077 , 4126.15384615 , 4130.25641026 , 4137.94871795 , 4133.84615385 , 4140.0 , 4172.82051282 , 4665.64102564 , 4133.33333333 , 4140.0 , 2048.0 , 2039.0 , 6.231 , 0.0 , 0.0 , 0.0 , 0.0 , 

80.0 , 4128.71794872 , 4130.76923077 , 4124.1025641 , 4129.23076923 , 4130.25641026 , 4129.74358974 , 4132.30769231 , 4137.94871795 , 4133.84615385 , 4141.53846154 , 4172.82051282 , 4663.58974359 , 4133.84615385 , 4138.46153846 , 2048.0 , 2038.0 , 6.234 , 0.0 , 0.0 , 0.0 , 0.0 , 

81.0 , 4130.76923077 , 4131.28205128 , 4118.46153846 , 4132.30769231 , 4130.25641026 , 4136.92307692 , 4129.23076923 , 4134.87179487 , 4134.87179487 , 4142.05128205 , 4172.30769231 , 4665.64102564 , 4132.30769231 , 4135.8974359 , 2047.0 , 2039.0 , 6.243 , 0.0 , 0.0 , 0.0 , 0.0 , 

82.0 , 4130.76923077 , 4131.79487179 , 4133.84615385 , 4134.87179487 , 4129.74358974 , 4133.84615385 , 4128.20512821 , 4133.84615385 , 4135.38461538 , 4142.05128205 , 4171.79487179 , 4663.07692308 , 4129.74358974 , 4136.92307692 , 2046.0 , 2039.0 , 6.251 , 0.0 , 0.0 , 0.0 , 0.0 , 

83.0 , 4131.28205128 , 4133.33333333 , 4125.64102564 , 4134.87179487 , 4130.76923077 , 4129.74358974 , 4130.25641026 , 4133.33333333 , 4135.8974359 , 4143.07692308 , 4172.82051282 , 4661.02564103 , 4129.74358974 , 4137.94871795 , 2046.0 , 2037.0 , 6.259 , 0.0 , 0.0 , 0.0 , 0.0 , 

84.0 , 4129.74358974 , 4131.28205128 , 4135.38461538 , 4135.8974359 , 4131.28205128 , 4130.25641026 , 4131.28205128 , 4134.35897436 , 4136.41025641 , 4143.58974359 , 4174.35897436 , 4664.61538462 , 4132.30769231 , 4135.8974359 , 2048.0 , 2037.0 , 6.266 , 0.0 , 0.0 , 0.0 , 0.0 , 

85.0 , 4129.23076923 , 4129.74358974 , 4122.05128205 , 4134.87179487 , 4130.76923077 , 4130.76923077 , 4130.25641026 , 4134.35897436 , 4134.35897436 , 4141.02564103 , 4171.79487179 , 4664.1025641 , 4131.79487179 , 4137.43589744 , 2050.0 , 2038.0 , 6.274 , 0.0 , 0.0 , 0.0 , 0.0 , 

86.0 , 4129.74358974 , 4131.79487179 , 4137.94871795 , 4129.74358974 , 4130.25641026 , 4130.25641026 , 4128.20512821 , 4136.41025641 , 4137.43589744 , 4144.1025641 , 4172.30769231 , 4662.05128205 , 4132.30769231 , 4140.0 , 2050.0 , 2037.0 , 6.282 , 0.0 , 0.0 , 0.0 , 0.0 , 

87.0 , 4133.33333333 , 4133.33333333 , 4152.82051282 , 4131.79487179 , 4129.23076923 , 4130.76923077 , 4127.69230769 , 4135.8974359 , 4137.94871795 , 4145.64102564 , 4176.41025641 , 4665.64102564 , 4132.82051282 , 4138.46153846 , 2051.0 , 2036.0 , 6.29 , 0.0 , 0.0 , 0.0 , 0.0 , 

88.0 , 4131.79487179 , 4129.74358974 , 4134.87179487 , 4135.8974359 , 4129.74358974 , 4131.28205128 , 4128.20512821 , 4131.79487179 , 4134.35897436 , 4141.02564103 , 4173.84615385 , 4665.64102564 , 4131.79487179 , 4136.41025641 , 2053.0 , 2033.0 , 6.297 , 0.0 , 0.0 , 0.0 , 0.0 , 

89.0 , 4130.25641026 , 4129.23076923 , 4114.87179487 , 4136.41025641 , 4130.76923077 , 4133.33333333 , 4128.71794872 , 4134.35897436 , 4133.84615385 , 4141.53846154 , 4170.25641026 , 4665.12820513 , 4130.25641026 , 4139.48717949 , 2053.0 , 2030.0 , 6.306 , 0.0 , 0.0 , 0.0 , 0.0 , 

90.0 , 4130.76923077 , 4132.82051282 , 4121.53846154 , 4135.38461538 , 4129.74358974 , 4134.87179487 , 4128.71794872 , 4136.41025641 , 4135.38461538 , 4143.07692308 , 4171.28205128 , 4664.61538462 , 4130.25641026 , 4139.48717949 , 2058.0 , 2029.0 , 6.314 , 0.0 , 0.0 , 0.0 , 0.0 , 

91.0 , 4131.79487179 , 4133.33333333 , 4123.58974359 , 4135.8974359 , 4130.25641026 , 4134.35897436 , 4129.23076923 , 4134.35897436 , 4134.35897436 , 4141.53846154 , 4173.33333333 , 4665.64102564 , 4133.84615385 , 4135.8974359 , 2058.0 , 2028.0 , 6.322 , 0.0 , 0.0 , 0.0 , 0.0 , 

92.0 , 4131.28205128 , 4130.25641026 , 4122.05128205 , 4133.33333333 , 4130.76923077 , 4132.30769231 , 4129.23076923 , 4131.79487179 , 4135.8974359 , 4141.53846154 , 4171.79487179 , 4665.12820513 , 4134.35897436 , 4136.92307692 , 2059.0 , 2030.0 , 6.333 , 0.0 , 0.0 , 0.0 , 0.0 , 

93.0 , 4132.82051282 , 4129.74358974 , 4137.43589744 , 4132.82051282 , 4129.74358974 , 4130.25641026 , 4130.25641026 , 4135.38461538 , 4138.97435897 , 4145.12820513 , 4172.82051282 , 4664.1025641 , 4133.84615385 , 4139.48717949 , 2060.0 , 2030.0 , 6.338 , 0.0 , 0.0 , 0.0 , 0.0 , 

94.0 , 4130.76923077 , 4131.79487179 , 4133.84615385 , 4135.38461538 , 4130.25641026 , 4130.76923077 , 4131.28205128 , 4136.41025641 , 4134.87179487 , 4142.56410256 , 4171.79487179 , 4662.05128205 , 4134.35897436 , 4136.41025641 , 2060.0 , 2028.0 , 6.346 , 0.0 , 0.0 , 0.0 , 0.0 , 

95.0 , 4129.23076923 , 4132.30769231 , 4142.05128205 , 4134.87179487 , 4130.25641026 , 4131.79487179 , 4128.71794872 , 4136.41025641 , 4133.84615385 , 4141.53846154 , 4170.76923077 , 4664.61538462 , 4136.41025641 , 4135.38461538 , 2057.0 , 2027.0 , 6.354 , 0.0 , 0.0 , 0.0 , 0.0 , 

96.0 , 4132.82051282 , 4131.28205128 , 4124.61538462 , 4131.28205128 , 4129.74358974 , 4129.74358974 , 4128.71794872 , 4134.35897436 , 4134.35897436 , 4138.97435897 , 4171.28205128 , 4665.12820513 , 4130.25641026 , 4136.92307692 , 2056.0 , 2027.0 , 6.361 , 0.0 , 0.0 , 0.0 , 0.0 , 

97.0 , 4134.35897436 , 4130.76923077 , 4121.53846154 , 4131.79487179 , 4129.74358974 , 4128.71794872 , 4129.74358974 , 4135.38461538 , 4134.87179487 , 4138.46153846 , 4172.82051282 , 4665.12820513 , 4128.71794872 , 4137.43589744 , 2057.0 , 2027.0 , 6.369 , 0.0 , 0.0 , 0.0 , 0.0 , 

98.0 , 4131.79487179 , 4131.28205128 , 4125.64102564 , 4132.30769231 , 4129.23076923 , 4131.79487179 , 4129.23076923 , 4135.38461538 , 4134.35897436 , 4141.02564103 , 4170.25641026 , 4665.64102564 , 4131.79487179 , 4136.92307692 , 2056.0 , 2026.0 , 6.377 , 0.0 , 0.0 , 0.0 , 0.0 , 

99.0 , 4132.30769231 , 4131.28205128 , 4138.97435897 , 4130.25641026 , 4129.74358974 , 4132.30769231 , 4129.74358974 , 4133.33333333 , 4136.41025641 , 4143.58974359 , 4170.25641026 , 4667.69230769 , 4133.84615385 , 4138.46153846 , 2056.0 , 2028.0 , 6.385 , 0.0 , 0.0 , 0.0 , 0.0 , 

100.0 , 4134.87179487 , 4131.79487179 , 4123.07692308 , 4129.74358974 , 4130.76923077 , 4131.28205128 , 4130.25641026 , 4131.28205128 , 4135.8974359 , 4141.02564103 , 4174.87179487 , 4667.69230769 , 4131.28205128 , 4138.46153846 , 2055.0 , 2028.0 , 6.393 , 0.0 , 0.0 , 0.0 , 0.0 , 

101.0 , 4133.33333333 , 4132.30769231 , 4145.12820513 , 4131.79487179 , 4129.23076923 , 4132.82051282 , 4127.69230769 , 4135.38461538 , 4135.8974359 , 4142.05128205 , 4175.38461538 , 4666.66666667 , 4133.33333333 , 4138.46153846 , 2056.0 , 2025.0 , 6.401 , 0.0 , 0.0 , 0.0 , 0.0 , 

102.0 , 4134.35897436 , 4132.82051282 , 4142.56410256 , 4131.79487179 , 4129.23076923 , 4130.76923077 , 4128.20512821 , 4134.35897436 , 4135.8974359 , 4141.53846154 , 4170.76923077 , 4664.1025641 , 4132.30769231 , 4139.48717949 , 2059.0 , 2025.0 , 6.408 , 0.0 , 0.0 , 0.0 , 0.0 , 

103.0 , 4134.87179487 , 4129.74358974 , 4128.20512821 , 4130.76923077 , 4130.25641026 , 4128.71794872 , 4131.28205128 , 4132.82051282 , 4135.8974359 , 4140.0 , 4170.25641026 , 4663.58974359 , 4130.25641026 , 4138.97435897 , 2060.0 , 2024.0 , 6.416 , 0.0 , 0.0 , 0.0 , 0.0 , 

104.0 , 4134.35897436 , 4130.25641026 , 4120.0 , 4132.30769231 , 4130.76923077 , 4134.87179487 , 4131.28205128 , 4132.30769231 , 4133.84615385 , 4142.05128205 , 4171.79487179 , 4664.1025641 , 4130.76923077 , 4137.94871795 , 2061.0 , 2023.0 , 6.424 , 0.0 , 0.0 , 0.0 , 0.0 , 

105.0 , 4131.79487179 , 4133.33333333 , 4134.87179487 , 4132.30769231 , 4131.79487179 , 4135.8974359 , 4130.76923077 , 4131.28205128 , 4135.38461538 , 4144.1025641 , 4171.28205128 , 4662.56410256 , 4131.79487179 , 4139.48717949 , 2064.0 , 2022.0 , 6.436 , 0.0 , 0.0 , 0.0 , 0.0 , 

106.0 , 4132.30769231 , 4133.33333333 , 4136.41025641 , 4130.25641026 , 4131.28205128 , 4129.23076923 , 4131.79487179 , 4132.82051282 , 4136.92307692 , 4142.56410256 , 4171.28205128 , 4664.1025641 , 4130.76923077 , 4137.43589744 , 2066.0 , 2024.0 , 6.44 , 0.0 , 0.0 , 0.0 , 0.0 , 

107.0 , 4131.79487179 , 4131.28205128 , 4139.48717949 , 4129.74358974 , 4128.71794872 , 4129.23076923 , 4130.25641026 , 4136.41025641 , 4133.84615385 , 4142.56410256 , 4173.33333333 , 4662.56410256 , 4130.25641026 , 4132.82051282 , 2066.0 , 2024.0 , 6.448 , 0.0 , 0.0 , 0.0 , 0.0 , 

108.0 , 4132.82051282 , 4131.79487179 , 4136.41025641 , 4131.28205128 , 4131.79487179 , 4133.33333333 , 4130.76923077 , 4132.82051282 , 4133.33333333 , 4143.07692308 , 4172.82051282 , 4661.53846154 , 4130.25641026 , 4134.87179487 , 2067.0 , 2025.0 , 6.456 , 0.0 , 0.0 , 0.0 , 0.0 , 

109.0 , 4132.82051282 , 4129.74358974 , 4124.61538462 , 4132.30769231 , 4132.30769231 , 4130.25641026 , 4130.25641026 , 4128.71794872 , 4134.87179487 , 4138.97435897 , 4169.74358974 , 4661.02564103 , 4128.20512821 , 4136.92307692 , 2069.0 , 2025.0 , 6.464 , 0.0 , 0.0 , 0.0 , 0.0 , 

110.0 , 4134.35897436 , 4129.74358974 , 4124.61538462 , 4133.33333333 , 4129.74358974 , 4129.23076923 , 4127.69230769 , 4134.35897436 , 4134.87179487 , 4140.0 , 4170.25641026 , 4662.56410256 , 4130.76923077 , 4134.87179487 , 2070.0 , 2024.0 , 6.472 , 0.0 , 0.0 , 0.0 , 0.0 , 

111.0 , 4134.87179487 , 4131.79487179 , 4125.64102564 , 4132.82051282 , 4129.74358974 , 4133.84615385 , 4129.23076923 , 4134.35897436 , 4133.33333333 , 4141.02564103 , 4171.28205128 , 4661.02564103 , 4129.74358974 , 4133.84615385 , 2072.0 , 2023.0 , 6.48 , 0.0 , 0.0 , 0.0 , 0.0 , 

112.0 , 4134.87179487 , 4130.25641026 , 4114.87179487 , 4130.25641026 , 4131.79487179 , 4131.79487179 , 4131.79487179 , 4132.30769231 , 4133.33333333 , 4138.46153846 , 4171.79487179 , 4662.05128205 , 4127.17948718 , 4135.38461538 , 2072.0 , 2023.0 , 6.486 , 0.0 , 0.0 , 0.0 , 0.0 , 

113.0 , 4133.33333333 , 4130.25641026 , 4114.35897436 , 4131.28205128 , 4131.28205128 , 4127.17948718 , 4130.25641026 , 4134.35897436 , 4132.82051282 , 4137.94871795 , 4170.25641026 , 4662.56410256 , 4127.69230769 , 4134.87179487 , 2069.0 , 2026.0 , 6.495 , 0.0 , 0.0 , 0.0 , 0.0 , 

114.0 , 4131.79487179 , 4133.84615385 , 4156.41025641 , 4133.33333333 , 4129.74358974 , 4131.79487179 , 4128.71794872 , 4137.43589744 , 4135.8974359 , 4142.56410256 , 4172.30769231 , 4661.02564103 , 4132.30769231 , 4137.43589744 , 2068.0 , 2025.0 , 6.502 , 0.0 , 0.0 , 0.0 , 0.0 , 

115.0 , 4130.76923077 , 4131.79487179 , 4150.25641026 , 4131.79487179 , 4129.74358974 , 4137.43589744 , 4129.74358974 , 4133.33333333 , 4136.92307692 , 4140.51282051 , 4172.30769231 , 4661.02564103 , 4132.30769231 , 4137.94871795 , 2066.0 , 2026.0 , 6.51 , 0.0 , 0.0 , 0.0 , 0.0 , 

116.0 , 4129.23076923 , 4128.71794872 , 4123.58974359 , 4131.28205128 , 4130.25641026 , 4131.79487179 , 4129.23076923 , 4133.33333333 , 4133.84615385 , 4136.92307692 , 4171.28205128 , 4664.1025641 , 4131.28205128 , 4136.41025641 , 2066.0 , 2026.0 , 6.519 , 0.0 , 0.0 , 0.0 , 0.0 , 

117.0 , 4128.20512821 , 4129.74358974 , 4119.48717949 , 4132.30769231 , 4130.25641026 , 4125.64102564 , 4130.76923077 , 4134.87179487 , 4133.33333333 , 4137.94871795 , 4170.76923077 , 4662.56410256 , 4129.74358974 , 4135.38461538 , 2066.0 , 2027.0 , 6.527 , 0.0 , 0.0 , 0.0 , 0.0 , 

118.0 , 4131.28205128 , 4130.25641026 , 4149.74358974 , 4130.76923077 , 4128.71794872 , 4128.20512821 , 4129.74358974 , 4134.87179487 , 4136.41025641 , 4142.05128205 , 4172.82051282 , 4661.02564103 , 4131.28205128 , 4134.87179487 , 2064.0 , 2028.0 , 6.538 , 0.0 , 0.0 , 0.0 , 0.0 , 

119.0 , 4136.41025641 , 4131.79487179 , 4132.30769231 , 4129.74358974 , 4130.25641026 , 4131.28205128 , 4128.71794872 , 4133.33333333 , 4134.87179487 , 4141.02564103 , 4173.33333333 , 4661.53846154 , 4132.30769231 , 4134.87179487 , 2065.0 , 2029.0 , 6.542 , 0.0 , 0.0 , 0.0 , 0.0 , 

120.0 , 4131.79487179 , 4130.76923077 , 4136.41025641 , 4130.76923077 , 4131.79487179 , 4128.71794872 , 4129.74358974 , 4136.41025641 , 4135.38461538 , 4140.51282051 , 4171.28205128 , 4664.1025641 , 4132.82051282 , 4137.43589744 , 2066.0 , 2030.0 , 6.549 , 0.0 , 0.0 , 0.0 , 0.0 , 

121.0 , 4130.25641026 , 4129.23076923 , 4142.05128205 , 4131.79487179 , 4129.23076923 , 4128.71794872 , 4131.79487179 , 4136.92307692 , 4135.38461538 , 4140.51282051 , 4170.76923077 , 4664.1025641 , 4131.79487179 , 4139.48717949 , 2066.0 , 2031.0 , 6.558 , 0.0 , 0.0 , 0.0 , 0.0 , 

122.0 , 4133.33333333 , 4130.76923077 , 4145.64102564 , 4131.28205128 , 4128.20512821 , 4130.25641026 , 4132.30769231 , 4133.84615385 , 4135.38461538 , 4141.02564103 , 4172.82051282 , 4660.0 , 4132.30769231 , 4137.43589744 , 2066.0 , 2031.0 , 6.566 , 0.0 , 0.0 , 0.0 , 0.0 , 

123.0 , 4132.82051282 , 4133.33333333 , 4131.79487179 , 4130.76923077 , 4130.25641026 , 4131.28205128 , 4132.30769231 , 4133.84615385 , 4135.8974359 , 4141.02564103 , 4172.82051282 , 4656.92307692 , 4132.30769231 , 4134.35897436 , 2066.0 , 2030.0 , 6.574 , 0.0 , 0.0 , 0.0 , 0.0 , 

124.0 , 4131.28205128 , 4130.25641026 , 4141.53846154 , 4130.25641026 , 4130.25641026 , 4131.28205128 , 4130.76923077 , 4138.46153846 , 4138.46153846 , 4142.05128205 , 4171.79487179 , 4661.02564103 , 4130.76923077 , 4134.35897436 , 2065.0 , 2031.0 , 6.582 , 0.0 , 0.0 , 0.0 , 0.0 , 

