['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
56.0 , 4126.15384615 , 4121.53846154 , 4128.71794872 , 4126.15384615 , 4129.74358974 , 4121.53846154 , 4115.8974359 , 4132.30769231 , 4131.79487179 , 4133.84615385 , 4191.79487179 , 4908.71794872 , 4135.8974359 , 4136.41025641 , 2043.0 , 2034.0 , 210.83 , 0.0 , 0.0 , 0.0 , 0.0 , 

57.0 , 4123.58974359 , 4123.58974359 , 4131.28205128 , 4126.15384615 , 4126.66666667 , 4124.1025641 , 4121.53846154 , 4131.79487179 , 4135.38461538 , 4138.46153846 , 4187.17948718 , 4907.17948718 , 4134.87179487 , 4136.41025641 , 2046.0 , 2033.0 , 210.842 , 0.0 , 0.0 , 0.0 , 0.0 , 

58.0 , 4128.71794872 , 4128.20512821 , 4132.30769231 , 4126.66666667 , 4130.25641026 , 4127.17948718 , 4125.12820513 , 4129.23076923 , 4135.8974359 , 4139.48717949 , 4186.66666667 , 4907.69230769 , 4127.69230769 , 4139.48717949 , 2044.0 , 2033.0 , 210.847 , 0.0 , 0.0 , 0.0 , 0.0 , 

59.0 , 4131.28205128 , 4129.74358974 , 4131.28205128 , 4130.76923077 , 4130.76923077 , 4129.74358974 , 4125.64102564 , 4132.82051282 , 4136.41025641 , 4136.92307692 , 4191.28205128 , 4906.66666667 , 4130.25641026 , 4137.43589744 , 2043.0 , 2033.0 , 210.854 , 0.0 , 0.0 , 0.0 , 0.0 , 

60.0 , 4132.82051282 , 4128.71794872 , 4134.87179487 , 4131.28205128 , 4126.15384615 , 4128.71794872 , 4123.07692308 , 4123.58974359 , 4126.15384615 , 4135.38461538 , 4187.69230769 , 4909.23076923 , 4128.71794872 , 4134.87179487 , 2045.0 , 2033.0 , 210.862 , 0.0 , 0.0 , 0.0 , 0.0 , 

61.0 , 4130.76923077 , 4132.82051282 , 4130.76923077 , 4132.82051282 , 4126.66666667 , 4132.30769231 , 4127.17948718 , 4131.28205128 , 4131.28205128 , 4136.92307692 , 4185.64102564 , 4910.76923077 , 4130.76923077 , 4135.8974359 , 2045.0 , 2036.0 , 210.874 , 0.0 , 0.0 , 0.0 , 0.0 , 

62.0 , 4130.76923077 , 4130.25641026 , 4132.30769231 , 4127.69230769 , 4130.76923077 , 4128.71794872 , 4123.07692308 , 4126.15384615 , 4130.76923077 , 4136.41025641 , 4185.64102564 , 4911.28205128 , 4123.58974359 , 4138.97435897 , 2045.0 , 2038.0 , 210.878 , 0.0 , 0.0 , 0.0 , 0.0 , 

63.0 , 4129.74358974 , 4128.20512821 , 4129.23076923 , 4132.82051282 , 4127.17948718 , 4128.71794872 , 4125.12820513 , 4127.17948718 , 4133.84615385 , 4136.41025641 , 4187.69230769 , 4907.69230769 , 4131.79487179 , 4135.8974359 , 2043.0 , 2036.0 , 210.885 , 0.0 , 0.0 , 0.0 , 0.0 , 

64.0 , 4132.82051282 , 4125.12820513 , 4131.79487179 , 4132.82051282 , 4125.12820513 , 4125.12820513 , 4118.46153846 , 4116.41025641 , 4124.1025641 , 4134.35897436 , 4184.1025641 , 4909.74358974 , 4130.25641026 , 4136.92307692 , 2044.0 , 2038.0 , 210.893 , 0.0 , 0.0 , 0.0 , 0.0 , 

65.0 , 4129.23076923 , 4130.76923077 , 4128.20512821 , 4136.41025641 , 4130.76923077 , 4129.74358974 , 4122.56410256 , 4125.12820513 , 4129.74358974 , 4136.41025641 , 4189.74358974 , 4908.20512821 , 4136.41025641 , 4138.97435897 , 2043.0 , 2036.0 , 210.905 , 0.0 , 0.0 , 0.0 , 0.0 , 

66.0 , 4128.20512821 , 4125.12820513 , 4133.84615385 , 4130.25641026 , 4131.79487179 , 4126.15384615 , 4119.48717949 , 4118.46153846 , 4125.12820513 , 4133.84615385 , 4188.20512821 , 4912.82051282 , 4129.23076923 , 4138.97435897 , 2044.0 , 2035.0 , 210.909 , 0.0 , 0.0 , 0.0 , 0.0 , 

67.0 , 4129.23076923 , 4130.25641026 , 4129.74358974 , 4134.87179487 , 4128.71794872 , 4127.17948718 , 4124.61538462 , 4130.25641026 , 4133.33333333 , 4134.35897436 , 4187.69230769 , 4907.69230769 , 4135.8974359 , 4135.8974359 , 2044.0 , 2034.0 , 210.917 , 0.0 , 0.0 , 0.0 , 0.0 , 

68.0 , 4130.76923077 , 4130.25641026 , 4129.23076923 , 4132.82051282 , 4127.69230769 , 4122.56410256 , 4115.38461538 , 4126.15384615 , 4131.28205128 , 4137.94871795 , 4186.15384615 , 4905.64102564 , 4132.30769231 , 4137.43589744 , 2043.0 , 2033.0 , 210.925 , 0.0 , 0.0 , 0.0 , 0.0 , 

69.0 , 4128.71794872 , 4131.28205128 , 4126.15384615 , 4132.82051282 , 4129.74358974 , 4127.69230769 , 4120.0 , 4132.82051282 , 4136.41025641 , 4140.0 , 4192.30769231 , 4905.64102564 , 4137.43589744 , 4137.94871795 , 2041.0 , 2032.0 , 210.937 , 0.0 , 0.0 , 0.0 , 0.0 , 

70.0 , 4128.20512821 , 4125.64102564 , 4129.74358974 , 4124.61538462 , 4128.20512821 , 4126.15384615 , 4120.51282051 , 4129.23076923 , 4135.38461538 , 4135.8974359 , 4188.20512821 , 4910.25641026 , 4132.30769231 , 4137.43589744 , 2041.0 , 2033.0 , 210.941 , 0.0 , 0.0 , 0.0 , 0.0 , 

71.0 , 4129.74358974 , 4127.69230769 , 4129.23076923 , 4128.20512821 , 4127.17948718 , 4128.20512821 , 4127.17948718 , 4132.82051282 , 4140.0 , 4136.92307692 , 4186.66666667 , 4906.15384615 , 4134.35897436 , 4135.8974359 , 2041.0 , 2033.0 , 210.948 , 0.0 , 0.0 , 0.0 , 0.0 , 

72.0 , 4130.25641026 , 4126.15384615 , 4134.87179487 , 4127.69230769 , 4125.64102564 , 4128.71794872 , 4127.69230769 , 4128.71794872 , 4133.84615385 , 4140.0 , 4185.12820513 , 4908.20512821 , 4129.74358974 , 4136.41025641 , 2042.0 , 2034.0 , 210.957 , 0.0 , 0.0 , 0.0 , 0.0 , 

73.0 , 4130.25641026 , 4127.69230769 , 4135.38461538 , 4128.71794872 , 4128.71794872 , 4130.76923077 , 4128.71794872 , 4130.25641026 , 4129.74358974 , 4141.02564103 , 4185.12820513 , 4912.82051282 , 4126.66666667 , 4136.92307692 , 2043.0 , 2033.0 , 210.968 , 0.0 , 0.0 , 0.0 , 0.0 , 

74.0 , 4131.28205128 , 4126.66666667 , 4130.76923077 , 4128.20512821 , 4130.25641026 , 4126.15384615 , 4123.07692308 , 4125.64102564 , 4129.74358974 , 4137.43589744 , 4183.58974359 , 4912.30769231 , 4126.15384615 , 4136.41025641 , 2044.0 , 2034.0 , 210.972 , 0.0 , 0.0 , 0.0 , 0.0 , 

75.0 , 4132.82051282 , 4130.25641026 , 4128.71794872 , 4130.76923077 , 4129.74358974 , 4127.17948718 , 4124.61538462 , 4122.05128205 , 4128.20512821 , 4135.8974359 , 4188.20512821 , 4906.66666667 , 4128.71794872 , 4136.41025641 , 2044.0 , 2035.0 , 210.981 , 0.0 , 0.0 , 0.0 , 0.0 , 

76.0 , 4128.20512821 , 4133.33333333 , 4130.25641026 , 4133.84615385 , 4128.20512821 , 4128.71794872 , 4126.15384615 , 4126.15384615 , 4129.23076923 , 4135.38461538 , 4191.79487179 , 4910.25641026 , 4132.82051282 , 4134.35897436 , 2045.0 , 2034.0 , 210.988 , 0.0 , 0.0 , 0.0 , 0.0 , 

77.0 , 4129.23076923 , 4133.84615385 , 4130.76923077 , 4134.87179487 , 4129.74358974 , 4129.74358974 , 4121.02564103 , 4120.51282051 , 4127.17948718 , 4132.82051282 , 4186.66666667 , 4914.87179487 , 4131.28205128 , 4133.84615385 , 2045.0 , 2034.0 , 211.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

78.0 , 4130.25641026 , 4132.30769231 , 4128.20512821 , 4137.43589744 , 4129.74358974 , 4133.33333333 , 4121.53846154 , 4126.66666667 , 4130.76923077 , 4134.35897436 , 4186.66666667 , 4910.25641026 , 4138.97435897 , 4136.92307692 , 2043.0 , 2036.0 , 211.004 , 0.0 , 0.0 , 0.0 , 0.0 , 

79.0 , 4131.79487179 , 4129.74358974 , 4132.30769231 , 4134.87179487 , 4129.23076923 , 4128.20512821 , 4118.46153846 , 4127.17948718 , 4126.66666667 , 4138.46153846 , 4186.66666667 , 4908.20512821 , 4138.97435897 , 4138.46153846 , 2043.0 , 2034.0 , 211.013 , 0.0 , 0.0 , 0.0 , 0.0 , 

80.0 , 4128.20512821 , 4128.71794872 , 4128.71794872 , 4134.35897436 , 4127.69230769 , 4127.69230769 , 4121.53846154 , 4134.87179487 , 4134.35897436 , 4138.97435897 , 4187.69230769 , 4907.17948718 , 4139.48717949 , 4135.8974359 , 2043.0 , 2033.0 , 211.021 , 0.0 , 0.0 , 0.0 , 0.0 , 

81.0 , 4127.17948718 , 4124.1025641 , 4131.79487179 , 4127.69230769 , 4126.15384615 , 4126.15384615 , 4121.02564103 , 4125.12820513 , 4131.28205128 , 4136.92307692 , 4186.66666667 , 4907.69230769 , 4127.69230769 , 4137.94871795 , 2041.0 , 2033.0 , 211.033 , 0.0 , 0.0 , 0.0 , 0.0 , 

82.0 , 4126.15384615 , 4126.66666667 , 4131.79487179 , 4132.30769231 , 4127.69230769 , 4126.66666667 , 4127.17948718 , 4135.8974359 , 4136.41025641 , 4140.51282051 , 4190.76923077 , 4903.58974359 , 4129.74358974 , 4136.92307692 , 2041.0 , 2033.0 , 211.036 , 0.0 , 0.0 , 0.0 , 0.0 , 

