['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
4.0 , 4122.05128205 , 4120.51282051 , 4120.0 , 4136.92307692 , 4125.64102564 , 4130.25641026 , 4127.69230769 , 4137.43589744 , 4136.92307692 , 4137.94871795 , 4187.69230769 , 4913.33333333 , 4133.84615385 , 4142.05128205 , 2162.0 , 2017.0 , 28.753 , 0.0 , 0.0 , 0.0 , 0.0 , 

5.0 , 4122.05128205 , 4120.0 , 4116.41025641 , 4134.35897436 , 4125.64102564 , 4127.69230769 , 4137.94871795 , 4135.8974359 , 4137.94871795 , 4137.43589744 , 4191.79487179 , 4915.38461538 , 4135.38461538 , 4145.64102564 , 2158.0 , 2017.0 , 28.76 , 0.0 , 0.0 , 0.0 , 0.0 , 

6.0 , 4121.02564103 , 4121.53846154 , 4115.8974359 , 4133.33333333 , 4130.76923077 , 4121.53846154 , 4131.79487179 , 4134.35897436 , 4137.43589744 , 4137.94871795 , 4191.79487179 , 4917.94871795 , 4134.87179487 , 4147.17948718 , 2152.0 , 2020.0 , 28.768 , 0.0 , 0.0 , 0.0 , 0.0 , 

7.0 , 4121.02564103 , 4121.53846154 , 4118.97435897 , 4133.33333333 , 4129.23076923 , 4131.28205128 , 4119.48717949 , 4136.41025641 , 4137.43589744 , 4137.94871795 , 4189.23076923 , 4918.97435897 , 4135.38461538 , 4144.61538462 , 2147.0 , 2022.0 , 28.775 , 0.0 , 0.0 , 0.0 , 0.0 , 

8.0 , 4117.94871795 , 4120.0 , 4118.97435897 , 4135.38461538 , 4125.64102564 , 4139.48717949 , 4121.02564103 , 4137.94871795 , 4137.94871795 , 4137.43589744 , 4191.28205128 , 4917.94871795 , 4138.97435897 , 4147.69230769 , 2136.0 , 2022.0 , 28.784 , 0.0 , 0.0 , 0.0 , 0.0 , 

9.0 , 4117.43589744 , 4121.53846154 , 4117.43589744 , 4135.8974359 , 4128.20512821 , 4129.74358974 , 4121.02564103 , 4136.92307692 , 4137.94871795 , 4137.94871795 , 4195.8974359 , 4918.97435897 , 4137.94871795 , 4154.35897436 , 2131.0 , 2022.0 , 28.79 , 0.0 , 0.0 , 0.0 , 0.0 , 

10.0 , 4121.53846154 , 4124.61538462 , 4118.97435897 , 4135.38461538 , 4128.71794872 , 4121.02564103 , 4122.56410256 , 4136.41025641 , 4138.46153846 , 4137.94871795 , 4194.35897436 , 4919.48717949 , 4137.94871795 , 4154.87179487 , 2124.0 , 2019.0 , 28.798 , 0.0 , 0.0 , 0.0 , 0.0 , 

11.0 , 4123.07692308 , 4121.53846154 , 4118.97435897 , 4135.8974359 , 4124.61538462 , 4122.05128205 , 4132.30769231 , 4137.43589744 , 4138.46153846 , 4136.92307692 , 4191.28205128 , 4918.97435897 , 4137.94871795 , 4151.79487179 , 2123.0 , 2017.0 , 28.806 , 0.0 , 0.0 , 0.0 , 0.0 , 

12.0 , 4119.48717949 , 4117.43589744 , 4120.51282051 , 4133.84615385 , 4125.64102564 , 4122.05128205 , 4132.30769231 , 4137.43589744 , 4136.41025641 , 4136.92307692 , 4195.38461538 , 4919.48717949 , 4137.43589744 , 4154.87179487 , 2122.0 , 2015.0 , 28.815 , 0.0 , 0.0 , 0.0 , 0.0 , 

13.0 , 4122.56410256 , 4118.97435897 , 4129.74358974 , 4133.84615385 , 4125.64102564 , 4118.97435897 , 4120.51282051 , 4135.8974359 , 4136.41025641 , 4137.43589744 , 4200.0 , 4924.1025641 , 4139.48717949 , 4155.38461538 , 2126.0 , 2008.0 , 28.823 , 0.0 , 0.0 , 0.0 , 0.0 , 

