['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
89.0 , 4136.41025641 , 4130.76923077 , 4137.43589744 , 4131.79487179 , 4130.25641026 , 4133.84615385 , 4128.20512821 , 4135.38461538 , 4137.43589744 , 4140.0 , 4194.35897436 , 4914.87179487 , 4136.92307692 , 4142.56410256 , 2044.0 , 2036.0 , 261.702 , 0.0 , 0.0 , 0.0 , 0.0 , 

90.0 , 4134.87179487 , 4132.30769231 , 4136.41025641 , 4133.33333333 , 4131.28205128 , 4130.76923077 , 4126.66666667 , 4135.38461538 , 4138.46153846 , 4139.48717949 , 4192.82051282 , 4915.38461538 , 4137.43589744 , 4140.51282051 , 2043.0 , 2035.0 , 261.706 , 0.0 , 0.0 , 0.0 , 0.0 , 

91.0 , 4130.76923077 , 4132.82051282 , 4135.8974359 , 4138.97435897 , 4134.35897436 , 4128.20512821 , 4126.15384615 , 4136.41025641 , 4138.46153846 , 4138.46153846 , 4193.84615385 , 4914.35897436 , 4138.97435897 , 4140.51282051 , 2041.0 , 2035.0 , 261.711 , 0.0 , 0.0 , 0.0 , 0.0 , 

92.0 , 4129.74358974 , 4131.79487179 , 4136.41025641 , 4138.97435897 , 4132.82051282 , 4129.23076923 , 4127.17948718 , 4138.46153846 , 4139.48717949 , 4140.0 , 4195.38461538 , 4915.38461538 , 4138.46153846 , 4142.05128205 , 2044.0 , 2037.0 , 261.717 , 0.0 , 0.0 , 0.0 , 0.0 , 

93.0 , 4134.35897436 , 4130.76923077 , 4139.48717949 , 4133.33333333 , 4129.74358974 , 4130.76923077 , 4128.20512821 , 4136.41025641 , 4140.0 , 4140.51282051 , 4195.38461538 , 4917.43589744 , 4134.35897436 , 4144.61538462 , 2043.0 , 2035.0 , 261.73 , 0.0 , 0.0 , 0.0 , 0.0 , 

94.0 , 4134.35897436 , 4132.82051282 , 4139.48717949 , 4131.79487179 , 4131.28205128 , 4131.79487179 , 4129.23076923 , 4134.35897436 , 4139.48717949 , 4138.46153846 , 4193.33333333 , 4913.84615385 , 4133.33333333 , 4141.02564103 , 2043.0 , 2036.0 , 261.735 , 0.0 , 0.0 , 0.0 , 0.0 , 

95.0 , 4135.38461538 , 4134.35897436 , 4137.94871795 , 4132.82051282 , 4133.33333333 , 4129.74358974 , 4126.15384615 , 4132.82051282 , 4138.46153846 , 4138.46153846 , 4190.76923077 , 4913.33333333 , 4137.43589744 , 4142.05128205 , 2043.0 , 2036.0 , 261.742 , 0.0 , 0.0 , 0.0 , 0.0 , 

96.0 , 4133.84615385 , 4133.84615385 , 4137.94871795 , 4136.41025641 , 4131.79487179 , 4127.69230769 , 4127.69230769 , 4134.35897436 , 4140.0 , 4139.48717949 , 4192.30769231 , 4913.33333333 , 4140.0 , 4138.97435897 , 2043.0 , 2035.0 , 261.749 , 0.0 , 0.0 , 0.0 , 0.0 , 

97.0 , 4134.35897436 , 4131.79487179 , 4139.48717949 , 4137.43589744 , 4130.25641026 , 4128.20512821 , 4128.20512821 , 4134.35897436 , 4139.48717949 , 4138.46153846 , 4193.84615385 , 4913.84615385 , 4134.87179487 , 4138.97435897 , 2041.0 , 2036.0 , 261.763 , 0.0 , 0.0 , 0.0 , 0.0 , 

98.0 , 4135.8974359 , 4132.30769231 , 4138.46153846 , 4136.92307692 , 4132.30769231 , 4132.30769231 , 4127.17948718 , 4134.87179487 , 4136.92307692 , 4138.46153846 , 4192.82051282 , 4911.28205128 , 4133.33333333 , 4137.94871795 , 2042.0 , 2036.0 , 261.767 , 0.0 , 0.0 , 0.0 , 0.0 , 

99.0 , 4135.8974359 , 4133.84615385 , 4138.97435897 , 4133.84615385 , 4130.76923077 , 4131.28205128 , 4126.15384615 , 4134.35897436 , 4134.87179487 , 4139.48717949 , 4193.84615385 , 4913.84615385 , 4138.97435897 , 4143.07692308 , 2041.0 , 2035.0 , 261.776 , 0.0 , 0.0 , 0.0 , 0.0 , 

100.0 , 4130.25641026 , 4133.33333333 , 4138.46153846 , 4133.84615385 , 4129.74358974 , 4129.74358974 , 4128.20512821 , 4134.87179487 , 4138.97435897 , 4141.53846154 , 4193.84615385 , 4915.38461538 , 4140.0 , 4140.51282051 , 2040.0 , 2036.0 , 261.781 , 0.0 , 0.0 , 0.0 , 0.0 , 

101.0 , 4133.84615385 , 4133.84615385 , 4138.46153846 , 4133.33333333 , 4132.30769231 , 4129.23076923 , 4126.66666667 , 4133.84615385 , 4138.46153846 , 4142.56410256 , 4192.30769231 , 4916.41025641 , 4135.8974359 , 4142.05128205 , 2041.0 , 2037.0 , 261.794 , 0.0 , 0.0 , 0.0 , 0.0 , 

102.0 , 4135.8974359 , 4135.38461538 , 4137.94871795 , 4134.87179487 , 4134.35897436 , 4131.79487179 , 4125.12820513 , 4135.38461538 , 4134.87179487 , 4140.51282051 , 4192.82051282 , 4914.87179487 , 4135.8974359 , 4141.02564103 , 2040.0 , 2037.0 , 261.799 , 0.0 , 0.0 , 0.0 , 0.0 , 

103.0 , 4132.82051282 , 4133.33333333 , 4136.92307692 , 4134.35897436 , 4129.74358974 , 4130.76923077 , 4126.15384615 , 4136.92307692 , 4137.94871795 , 4141.02564103 , 4195.38461538 , 4916.92307692 , 4137.43589744 , 4143.58974359 , 2041.0 , 2038.0 , 261.804 , 0.0 , 0.0 , 0.0 , 0.0 , 

104.0 , 4130.76923077 , 4132.82051282 , 4139.48717949 , 4133.84615385 , 4130.76923077 , 4129.74358974 , 4128.20512821 , 4135.8974359 , 4143.07692308 , 4141.53846154 , 4193.84615385 , 4915.8974359 , 4135.8974359 , 4142.05128205 , 2040.0 , 2038.0 , 261.812 , 0.0 , 0.0 , 0.0 , 0.0 , 

105.0 , 4133.33333333 , 4133.84615385 , 4138.97435897 , 4135.8974359 , 4135.8974359 , 4129.74358974 , 4127.17948718 , 4134.35897436 , 4138.46153846 , 4138.46153846 , 4191.28205128 , 4913.84615385 , 4135.8974359 , 4142.05128205 , 2042.0 , 2039.0 , 261.823 , 0.0 , 0.0 , 0.0 , 0.0 , 

106.0 , 4132.30769231 , 4131.28205128 , 4133.84615385 , 4134.87179487 , 4134.87179487 , 4132.30769231 , 4127.17948718 , 4135.38461538 , 4135.38461538 , 4137.43589744 , 4192.30769231 , 4911.79487179 , 4135.8974359 , 4144.61538462 , 2041.0 , 2039.0 , 261.831 , 0.0 , 0.0 , 0.0 , 0.0 , 

107.0 , 4133.33333333 , 4130.76923077 , 4135.38461538 , 4131.28205128 , 4133.33333333 , 4132.82051282 , 4127.69230769 , 4135.38461538 , 4140.0 , 4139.48717949 , 4194.35897436 , 4911.79487179 , 4136.41025641 , 4145.12820513 , 2041.0 , 2039.0 , 261.836 , 0.0 , 0.0 , 0.0 , 0.0 , 

108.0 , 4135.38461538 , 4133.84615385 , 4140.51282051 , 4133.84615385 , 4135.38461538 , 4130.76923077 , 4127.17948718 , 4134.35897436 , 4138.97435897 , 4137.94871795 , 4193.84615385 , 4913.84615385 , 4137.43589744 , 4142.05128205 , 2043.0 , 2038.0 , 261.845 , 0.0 , 0.0 , 0.0 , 0.0 , 

109.0 , 4133.33333333 , 4135.38461538 , 4138.97435897 , 4138.97435897 , 4134.35897436 , 4129.74358974 , 4127.69230769 , 4135.38461538 , 4136.92307692 , 4136.41025641 , 4192.30769231 , 4914.87179487 , 4138.46153846 , 4138.97435897 , 2043.0 , 2037.0 , 261.859 , 0.0 , 0.0 , 0.0 , 0.0 , 

110.0 , 4135.38461538 , 4134.87179487 , 4137.43589744 , 4136.41025641 , 4132.82051282 , 4130.25641026 , 4128.20512821 , 4135.38461538 , 4138.46153846 , 4138.46153846 , 4191.79487179 , 4913.84615385 , 4135.8974359 , 4142.05128205 , 2043.0 , 2036.0 , 261.863 , 0.0 , 0.0 , 0.0 , 0.0 , 

111.0 , 4136.92307692 , 4134.35897436 , 4138.46153846 , 4134.35897436 , 4133.84615385 , 4130.76923077 , 4127.69230769 , 4135.38461538 , 4139.48717949 , 4140.51282051 , 4191.28205128 , 4913.33333333 , 4136.41025641 , 4141.53846154 , 2043.0 , 2037.0 , 261.867 , 0.0 , 0.0 , 0.0 , 0.0 , 

112.0 , 4137.43589744 , 4132.30769231 , 4136.92307692 , 4137.43589744 , 4132.30769231 , 4129.74358974 , 4128.20512821 , 4134.87179487 , 4137.94871795 , 4141.02564103 , 4192.30769231 , 4916.41025641 , 4136.92307692 , 4141.02564103 , 2043.0 , 2039.0 , 261.877 , 0.0 , 0.0 , 0.0 , 0.0 , 

113.0 , 4134.87179487 , 4133.33333333 , 4134.35897436 , 4141.02564103 , 4130.76923077 , 4130.25641026 , 4129.74358974 , 4135.38461538 , 4139.48717949 , 4137.94871795 , 4194.35897436 , 4915.38461538 , 4136.92307692 , 4140.51282051 , 2043.0 , 2038.0 , 261.894 , 0.0 , 0.0 , 0.0 , 0.0 , 

114.0 , 4134.35897436 , 4133.33333333 , 4135.8974359 , 4137.94871795 , 4130.25641026 , 4129.74358974 , 4126.66666667 , 4135.8974359 , 4139.48717949 , 4136.92307692 , 4193.84615385 , 4916.92307692 , 4136.41025641 , 4143.58974359 , 2044.0 , 2038.0 , 261.894 , 0.0 , 0.0 , 0.0 , 0.0 , 

115.0 , 4132.30769231 , 4133.84615385 , 4137.43589744 , 4136.92307692 , 4130.76923077 , 4131.28205128 , 4126.15384615 , 4137.94871795 , 4140.0 , 4139.48717949 , 4192.30769231 , 4916.41025641 , 4135.38461538 , 4140.0 , 2043.0 , 2038.0 , 261.899 , 0.0 , 0.0 , 0.0 , 0.0 , 

116.0 , 4133.84615385 , 4134.35897436 , 4136.41025641 , 4137.94871795 , 4132.30769231 , 4131.79487179 , 4129.23076923 , 4135.38461538 , 4140.0 , 4139.48717949 , 4191.79487179 , 4914.87179487 , 4137.43589744 , 4142.56410256 , 2044.0 , 2038.0 , 261.908 , 0.0 , 0.0 , 0.0 , 0.0 , 

117.0 , 4134.87179487 , 4132.82051282 , 4135.8974359 , 4135.8974359 , 4134.35897436 , 4132.30769231 , 4132.30769231 , 4135.8974359 , 4136.92307692 , 4137.94871795 , 4192.82051282 , 4912.82051282 , 4139.48717949 , 4141.02564103 , 2042.0 , 2036.0 , 261.922 , 0.0 , 0.0 , 0.0 , 0.0 , 

118.0 , 4135.38461538 , 4131.28205128 , 4136.41025641 , 4131.28205128 , 4132.82051282 , 4128.71794872 , 4128.71794872 , 4135.38461538 , 4134.87179487 , 4137.43589744 , 4194.35897436 , 4915.8974359 , 4136.92307692 , 4140.51282051 , 2042.0 , 2036.0 , 261.928 , 0.0 , 0.0 , 0.0 , 0.0 , 

119.0 , 4132.82051282 , 4133.84615385 , 4134.87179487 , 4134.35897436 , 4133.33333333 , 4129.23076923 , 4127.69230769 , 4130.76923077 , 4138.97435897 , 4138.46153846 , 4193.33333333 , 4914.87179487 , 4133.84615385 , 4138.97435897 , 2043.0 , 2037.0 , 261.931 , 0.0 , 0.0 , 0.0 , 0.0 , 

