['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
79.0 , 4132.30769231 , 4130.25641026 , 4132.30769231 , 4133.84615385 , 4132.30769231 , 4128.20512821 , 4126.66666667 , 4131.79487179 , 4135.38461538 , 4137.43589744 , 4191.79487179 , 4912.30769231 , 4135.38461538 , 4134.87179487 , 2043.0 , 2038.0 , 109.133 , 0.0 , 0.0 , 0.0 , 0.0 , 

80.0 , 4132.30769231 , 4130.76923077 , 4133.84615385 , 4132.82051282 , 4132.30769231 , 4128.20512821 , 4125.64102564 , 4134.87179487 , 4133.84615385 , 4137.94871795 , 4190.76923077 , 4913.84615385 , 4133.33333333 , 4134.87179487 , 2044.0 , 2037.0 , 109.141 , 0.0 , 0.0 , 0.0 , 0.0 , 

81.0 , 4133.33333333 , 4133.33333333 , 4134.35897436 , 4131.79487179 , 4131.28205128 , 4128.71794872 , 4124.1025641 , 4134.35897436 , 4130.76923077 , 4138.97435897 , 4192.30769231 , 4911.79487179 , 4132.82051282 , 4137.43589744 , 2043.0 , 2037.0 , 109.148 , 0.0 , 0.0 , 0.0 , 0.0 , 

82.0 , 4133.84615385 , 4131.28205128 , 4134.35897436 , 4131.79487179 , 4131.79487179 , 4128.20512821 , 4125.64102564 , 4133.33333333 , 4132.82051282 , 4137.94871795 , 4191.79487179 , 4911.79487179 , 4133.84615385 , 4141.53846154 , 2043.0 , 2037.0 , 109.156 , 0.0 , 0.0 , 0.0 , 0.0 , 

83.0 , 4132.82051282 , 4130.76923077 , 4135.38461538 , 4132.30769231 , 4130.76923077 , 4128.20512821 , 4127.17948718 , 4134.87179487 , 4136.41025641 , 4138.97435897 , 4192.30769231 , 4914.35897436 , 4136.41025641 , 4140.0 , 2042.0 , 2036.0 , 109.164 , 0.0 , 0.0 , 0.0 , 0.0 , 

84.0 , 4134.87179487 , 4132.82051282 , 4136.41025641 , 4133.33333333 , 4128.20512821 , 4129.23076923 , 4125.64102564 , 4132.82051282 , 4135.8974359 , 4140.0 , 4193.33333333 , 4914.35897436 , 4133.84615385 , 4140.0 , 2042.0 , 2036.0 , 109.172 , 0.0 , 0.0 , 0.0 , 0.0 , 

