['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
36.0 , 5316.92307692 , 6609.74358974 , 6815.8974359 , 4271.28205128 , 4318.46153846 , 4031.28205128 , 4024.61538462 , 4230.25641026 , 3947.17948718 , 3927.69230769 , 4355.8974359 , 6058.97435897 , 6433.33333333 , 5666.66666667 , 2042.0 , 2036.0 , 197.679 , 0.0 , 0.0 , 0.0 , 0.0 , 

37.0 , 4688.20512821 , 6643.07692308 , 6800.0 , 3565.12820513 , 3834.35897436 , 3588.71794872 , 3581.53846154 , 3584.1025641 , 3165.64102564 , 3026.66666667 , 3743.58974359 , 6003.58974359 , 6489.23076923 , 5539.48717949 , 2041.0 , 2036.0 , 197.687 , 0.0 , 0.0 , 0.0 , 0.0 , 

38.0 , 4473.84615385 , 6644.61538462 , 6811.28205128 , 3314.35897436 , 3528.71794872 , 3270.25641026 , 3253.33333333 , 3353.33333333 , 2830.25641026 , 2600.0 , 3487.17948718 , 6042.05128205 , 6493.33333333 , 5575.38461538 , 2041.0 , 2036.0 , 197.696 , 0.0 , 0.0 , 0.0 , 0.0 , 

39.0 , 4733.33333333 , 6629.23076923 , 6783.58974359 , 3608.20512821 , 3630.76923077 , 3336.41025641 , 3312.82051282 , 3607.69230769 , 3122.56410256 , 2925.12820513 , 3704.61538462 , 6131.79487179 , 6469.74358974 , 5707.69230769 , 2040.0 , 2036.0 , 197.703 , 0.0 , 0.0 , 0.0 , 0.0 , 

40.0 , 4747.69230769 , 6550.76923077 , 6711.28205128 , 3646.66666667 , 3688.71794872 , 3399.48717949 , 3376.92307692 , 3627.17948718 , 3182.05128205 , 3012.82051282 , 3736.41025641 , 6058.46153846 , 6387.69230769 , 5663.58974359 , 2040.0 , 2036.0 , 197.71 , 0.0 , 0.0 , 0.0 , 0.0 , 

41.0 , 4617.43589744 , 6535.38461538 , 6720.51282051 , 3511.28205128 , 3614.87179487 , 3335.8974359 , 3313.33333333 , 3501.53846154 , 3034.35897436 , 2844.61538462 , 3620.0 , 6001.53846154 , 6350.76923077 , 5610.76923077 , 2040.0 , 2034.0 , 197.719 , 0.0 , 0.0 , 0.0 , 0.0 , 

42.0 , 4670.76923077 , 6479.48717949 , 6700.0 , 3588.71794872 , 3643.07692308 , 3352.30769231 , 3328.71794872 , 3568.20512821 , 3113.84615385 , 2927.17948718 , 3675.8974359 , 5956.92307692 , 6290.76923077 , 5596.41025641 , 2041.0 , 2032.0 , 197.871 , 0.0 , 0.0 , 0.0 , 0.0 , 

43.0 , 4692.82051282 , 6429.23076923 , 6676.92307692 , 3621.02564103 , 3673.84615385 , 3383.58974359 , 3362.56410256 , 3593.84615385 , 3157.43589744 , 2982.05128205 , 3703.07692308 , 5902.05128205 , 6258.97435897 , 5574.87179487 , 2042.0 , 2030.0 , 197.875 , 0.0 , 0.0 , 0.0 , 0.0 , 

44.0 , 4647.69230769 , 6377.94871795 , 6658.46153846 , 3585.12820513 , 3658.97435897 , 3374.35897436 , 3354.87179487 , 3560.51282051 , 3119.48717949 , 2939.48717949 , 3674.35897436 , 5840.51282051 , 6205.64102564 , 5518.46153846 , 2041.0 , 2030.0 , 197.875 , 0.0 , 0.0 , 0.0 , 0.0 , 

45.0 , 4656.92307692 , 6353.84615385 , 6638.97435897 , 3605.64102564 , 3668.20512821 , 3378.97435897 , 3357.94871795 , 3581.02564103 , 3142.56410256 , 2965.12820513 , 3691.28205128 , 5818.97435897 , 6160.0 , 5506.66666667 , 2042.0 , 2032.0 , 197.875 , 0.0 , 0.0 , 0.0 , 0.0 , 

46.0 , 4634.87179487 , 6309.74358974 , 6622.05128205 , 3597.94871795 , 3663.58974359 , 3375.38461538 , 3354.35897436 , 3568.71794872 , 3135.8974359 , 2961.53846154 , 3679.48717949 , 5786.66666667 , 6131.28205128 , 5473.84615385 , 2042.0 , 2033.0 , 197.875 , 0.0 , 0.0 , 0.0 , 0.0 , 

47.0 , 4636.92307692 , 6247.69230769 , 6602.56410256 , 3599.48717949 , 3662.56410256 , 3380.51282051 , 3358.97435897 , 3574.35897436 , 3140.0 , 2968.20512821 , 3685.12820513 , 5749.74358974 , 6107.17948718 , 5446.15384615 , 2043.0 , 2032.0 , 197.875 , 0.0 , 0.0 , 0.0 , 0.0 , 

48.0 , 4631.28205128 , 6277.43589744 , 6614.35897436 , 3603.07692308 , 3665.64102564 , 3382.56410256 , 3360.51282051 , 3573.84615385 , 3144.61538462 , 2974.35897436 , 3687.17948718 , 5764.61538462 , 6133.84615385 , 5459.48717949 , 2042.0 , 2033.0 , 197.875 , 0.0 , 0.0 , 0.0 , 0.0 , 

49.0 , 4639.48717949 , 6294.87179487 , 6631.28205128 , 3609.74358974 , 3668.71794872 , 3381.02564103 , 3357.94871795 , 3581.02564103 , 3151.28205128 , 2978.46153846 , 3695.8974359 , 5795.38461538 , 6147.69230769 , 5480.51282051 , 2044.0 , 2033.0 , 197.875 , 0.0 , 0.0 , 0.0 , 0.0 , 

50.0 , 4662.05128205 , 6365.12820513 , 6661.02564103 , 3614.35897436 , 3672.30769231 , 3384.1025641 , 3363.07692308 , 3592.30769231 , 3157.43589744 , 2984.61538462 , 3709.23076923 , 5850.25641026 , 6219.48717949 , 5507.17948718 , 2044.0 , 2034.0 , 197.875 , 0.0 , 0.0 , 0.0 , 0.0 , 

50.0 , 4662.05128205 , 6365.12820513 , 6661.02564103 , 3614.35897436 , 3672.30769231 , 3384.1025641 , 3363.07692308 , 3592.30769231 , 3157.43589744 , 2984.61538462 , 3709.23076923 , 5850.25641026 , 6219.48717949 , 5507.17948718 , 2044.0 , 2034.0 , 197.875 , 0.0 , 0.0 , 0.0 , 0.0 , 

51.0 , 4701.53846154 , 6536.41025641 , 6746.15384615 , 3619.48717949 , 3677.94871795 , 3391.28205128 , 3371.79487179 , 3606.66666667 , 3161.53846154 , 2990.25641026 , 3721.53846154 , 5993.33333333 , 6385.64102564 , 5655.8974359 , 2043.0 , 2037.0 , 197.875 , 0.0 , 0.0 , 0.0 , 0.0 , 

52.0 , 4740.51282051 , 6634.35897436 , 6794.35897436 , 3625.64102564 , 3684.1025641 , 3395.38461538 , 3375.8974359 , 3622.05128205 , 3163.58974359 , 2995.38461538 , 3730.76923077 , 6081.02564103 , 6473.33333333 , 5755.38461538 , 2043.0 , 2037.0 , 197.875 , 0.0 , 0.0 , 0.0 , 0.0 , 

53.0 , 4773.84615385 , 6754.87179487 , 6843.07692308 , 3627.17948718 , 3688.20512821 , 3397.43589744 , 3375.38461538 , 3642.56410256 , 3167.69230769 , 3002.05128205 , 3748.71794872 , 6194.87179487 , 6591.28205128 , 5874.35897436 , 2043.0 , 2037.0 , 197.875 , 0.0 , 0.0 , 0.0 , 0.0 , 

54.0 , 4797.43589744 , 6810.76923077 , 6860.51282051 , 3629.74358974 , 3694.35897436 , 3403.07692308 , 3377.94871795 , 3653.84615385 , 3175.38461538 , 3010.76923077 , 3756.41025641 , 6251.79487179 , 6643.58974359 , 5949.23076923 , 2043.0 , 2037.0 , 197.875 , 0.0 , 0.0 , 0.0 , 0.0 , 

55.0 , 4809.23076923 , 6799.48717949 , 6869.23076923 , 3640.0 , 3699.48717949 , 3411.79487179 , 3387.69230769 , 3654.87179487 , 3183.07692308 , 3016.41025641 , 3757.94871795 , 6281.53846154 , 6652.82051282 , 5977.94871795 , 2045.0 , 2037.0 , 197.875 , 0.0 , 0.0 , 0.0 , 0.0 , 

56.0 , 4810.25641026 , 6708.71794872 , 6840.51282051 , 3646.66666667 , 3702.05128205 , 3411.79487179 , 3395.8974359 , 3653.84615385 , 3186.66666667 , 3021.02564103 , 3759.48717949 , 6235.38461538 , 6583.58974359 , 5941.53846154 , 2043.0 , 2035.0 , 197.875 , 0.0 , 0.0 , 0.0 , 0.0 , 

57.0 , 4791.28205128 , 6674.87179487 , 6825.64102564 , 3645.64102564 , 3706.15384615 , 3411.28205128 , 3400.0 , 3647.69230769 , 3191.28205128 , 3028.20512821 , 3760.0 , 6185.64102564 , 6530.25641026 , 5881.53846154 , 2042.0 , 2035.0 , 197.875 , 0.0 , 0.0 , 0.0 , 0.0 , 

