['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
32.0 , 2925.12820513 , 4613.84615385 , 3405.64102564 , 2902.56410256 , 3074.87179487 , 2786.15384615 , 2738.46153846 , 2355.8974359 , 2154.87179487 , 2031.28205128 , 2817.94871795 , 4511.79487179 , 5189.74358974 , 4127.69230769 , 2043.0 , 2038.0 , 159.01 , 0.0 , 0.0 , 0.0 , 0.0 , 

33.0 , 2949.23076923 , 4645.64102564 , 3429.23076923 , 2905.64102564 , 3075.8974359 , 2792.82051282 , 2742.05128205 , 2377.94871795 , 2168.71794872 , 2044.61538462 , 2834.35897436 , 4549.74358974 , 5250.76923077 , 4150.76923077 , 2045.0 , 2040.0 , 159.018 , 0.0 , 0.0 , 0.0 , 0.0 , 

34.0 , 2961.53846154 , 4635.38461538 , 3442.56410256 , 2903.58974359 , 3072.82051282 , 2789.23076923 , 2739.48717949 , 2387.69230769 , 2171.79487179 , 2047.17948718 , 2835.8974359 , 4552.30769231 , 5278.46153846 , 4115.38461538 , 2043.0 , 2041.0 , 159.026 , 0.0 , 0.0 , 0.0 , 0.0 , 

35.0 , 2971.79487179 , 4648.20512821 , 3438.97435897 , 2907.69230769 , 3076.41025641 , 2789.23076923 , 2743.58974359 , 2395.8974359 , 2178.46153846 , 2052.30769231 , 2836.92307692 , 4575.38461538 , 5282.56410256 , 4118.97435897 , 2044.0 , 2042.0 , 159.033 , 0.0 , 0.0 , 0.0 , 0.0 , 

36.0 , 2963.07692308 , 4617.43589744 , 3421.53846154 , 2908.20512821 , 3076.41025641 , 2792.30769231 , 2743.07692308 , 2391.28205128 , 2182.56410256 , 2060.51282051 , 2835.38461538 , 4570.76923077 , 5241.53846154 , 4076.92307692 , 2045.0 , 2041.0 , 159.042 , 0.0 , 0.0 , 0.0 , 0.0 , 

37.0 , 2960.0 , 4621.02564103 , 3429.74358974 , 2908.20512821 , 3076.92307692 , 2795.8974359 , 2745.64102564 , 2395.38461538 , 2186.66666667 , 2067.69230769 , 2841.02564103 , 4576.92307692 , 5268.71794872 , 4042.56410256 , 2045.0 , 2040.0 , 159.05 , 0.0 , 0.0 , 0.0 , 0.0 , 

38.0 , 2959.48717949 , 4602.05128205 , 3418.46153846 , 2907.17948718 , 3078.46153846 , 2795.38461538 , 2750.76923077 , 2401.53846154 , 2188.71794872 , 2070.76923077 , 2840.51282051 , 4569.23076923 , 5267.17948718 , 4060.0 , 2043.0 , 2038.0 , 159.058 , 0.0 , 0.0 , 0.0 , 0.0 , 

39.0 , 2954.35897436 , 4578.46153846 , 3414.87179487 , 2908.20512821 , 3080.0 , 2799.48717949 , 2754.35897436 , 2406.66666667 , 2191.79487179 , 2076.92307692 , 2841.02564103 , 4548.20512821 , 5258.97435897 , 4058.97435897 , 2042.0 , 2038.0 , 159.065 , 0.0 , 0.0 , 0.0 , 0.0 , 

40.0 , 2949.74358974 , 4587.17948718 , 3415.8974359 , 2912.82051282 , 3081.53846154 , 2804.61538462 , 2757.43589744 , 2409.74358974 , 2197.94871795 , 2088.71794872 , 2845.12820513 , 4550.76923077 , 5266.15384615 , 4057.94871795 , 2043.0 , 2036.0 , 159.074 , 0.0 , 0.0 , 0.0 , 0.0 , 

41.0 , 2939.48717949 , 4561.53846154 , 3402.56410256 , 2918.46153846 , 3080.0 , 2805.64102564 , 2760.51282051 , 2407.69230769 , 2207.17948718 , 2094.87179487 , 2846.66666667 , 4557.94871795 , 5224.61538462 , 4081.02564103 , 2043.0 , 2037.0 , 159.081 , 0.0 , 0.0 , 0.0 , 0.0 , 

42.0 , 2933.33333333 , 4534.35897436 , 3397.43589744 , 2920.0 , 3079.48717949 , 2809.23076923 , 2761.02564103 , 2408.20512821 , 2212.30769231 , 2098.46153846 , 2845.64102564 , 4563.58974359 , 5200.0 , 4120.51282051 , 2042.0 , 2035.0 , 159.089 , 0.0 , 0.0 , 0.0 , 0.0 , 

43.0 , 2916.41025641 , 4520.0 , 3377.43589744 , 2920.51282051 , 3085.12820513 , 2813.84615385 , 2762.05128205 , 2407.17948718 , 2215.8974359 , 2108.20512821 , 2845.12820513 , 4496.92307692 , 5171.28205128 , 4091.79487179 , 2041.0 , 2034.0 , 159.097 , 0.0 , 0.0 , 0.0 , 0.0 , 

44.0 , 2914.35897436 , 4556.41025641 , 3375.38461538 , 2922.05128205 , 3090.76923077 , 2813.33333333 , 2769.74358974 , 2411.28205128 , 2223.07692308 , 2114.87179487 , 2848.20512821 , 4506.66666667 , 5165.12820513 , 4097.43589744 , 2041.0 , 2036.0 , 159.105 , 0.0 , 0.0 , 0.0 , 0.0 , 

45.0 , 2911.28205128 , 4526.66666667 , 3365.12820513 , 2924.1025641 , 3090.76923077 , 2815.8974359 , 2775.38461538 , 2413.33333333 , 2228.20512821 , 2114.35897436 , 2849.74358974 , 4500.0 , 5130.25641026 , 4065.64102564 , 2040.0 , 2032.0 , 159.112 , 0.0 , 0.0 , 0.0 , 0.0 , 

46.0 , 2919.48717949 , 4531.79487179 , 3372.30769231 , 2930.25641026 , 3091.79487179 , 2821.02564103 , 2775.38461538 , 2422.56410256 , 2230.76923077 , 2122.05128205 , 2854.87179487 , 4494.35897436 , 5146.15384615 , 4088.20512821 , 2041.0 , 2033.0 , 159.12 , 0.0 , 0.0 , 0.0 , 0.0 , 

47.0 , 2909.74358974 , 4512.82051282 , 3354.35897436 , 2933.84615385 , 3092.82051282 , 2822.56410256 , 2775.8974359 , 2424.1025641 , 2238.46153846 , 2135.8974359 , 2854.87179487 , 4443.07692308 , 5117.43589744 , 4058.97435897 , 2041.0 , 2029.0 , 159.129 , 0.0 , 0.0 , 0.0 , 0.0 , 

48.0 , 2907.17948718 , 4506.15384615 , 3353.84615385 , 2935.38461538 , 3091.28205128 , 2824.1025641 , 2777.43589744 , 2428.71794872 , 2248.20512821 , 2143.58974359 , 2860.0 , 4431.79487179 , 5106.15384615 , 4038.97435897 , 2044.0 , 2030.0 , 159.139 , 0.0 , 0.0 , 0.0 , 0.0 , 

49.0 , 2893.33333333 , 4457.94871795 , 3343.07692308 , 2938.46153846 , 3094.87179487 , 2830.25641026 , 2782.56410256 , 2422.56410256 , 2251.79487179 , 2149.23076923 , 2857.94871795 , 4407.17948718 , 5084.61538462 , 4000.0 , 2043.0 , 2030.0 , 159.146 , 0.0 , 0.0 , 0.0 , 0.0 , 

50.0 , 2885.12820513 , 4432.82051282 , 3318.97435897 , 2940.51282051 , 3101.53846154 , 2835.38461538 , 2791.28205128 , 2426.66666667 , 2260.0 , 2159.48717949 , 2860.51282051 , 4408.71794872 , 5053.84615385 , 3999.48717949 , 2043.0 , 2030.0 , 159.153 , 0.0 , 0.0 , 0.0 , 0.0 , 

51.0 , 2870.25641026 , 4402.56410256 , 3318.97435897 , 2938.46153846 , 3103.58974359 , 2836.92307692 , 2797.94871795 , 2429.23076923 , 2268.20512821 , 2169.23076923 , 2864.1025641 , 4380.0 , 5025.64102564 , 3973.84615385 , 2042.0 , 2031.0 , 159.162 , 0.0 , 0.0 , 0.0 , 0.0 , 

52.0 , 2883.07692308 , 4437.43589744 , 3338.46153846 , 2944.61538462 , 3106.15384615 , 2839.48717949 , 2800.51282051 , 2445.64102564 , 2274.35897436 , 2175.8974359 , 2875.38461538 , 4415.8974359 , 5061.53846154 , 4021.02564103 , 2043.0 , 2032.0 , 159.169 , 0.0 , 0.0 , 0.0 , 0.0 , 

53.0 , 2916.41025641 , 4442.05128205 , 3364.1025641 , 2955.38461538 , 3108.20512821 , 2845.12820513 , 2803.58974359 , 2467.17948718 , 2278.97435897 , 2182.05128205 , 2886.66666667 , 4471.79487179 , 5098.46153846 , 4044.1025641 , 2043.0 , 2033.0 , 159.177 , 0.0 , 0.0 , 0.0 , 0.0 , 

54.0 , 2978.46153846 , 4546.66666667 , 3440.0 , 2958.46153846 , 3110.25641026 , 2851.79487179 , 2807.69230769 , 2503.07692308 , 2290.25641026 , 2191.28205128 , 2910.25641026 , 4563.58974359 , 5230.76923077 , 4078.97435897 , 2042.0 , 2035.0 , 159.184 , 0.0 , 0.0 , 0.0 , 0.0 , 

