['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
50.0 , 4131.79487179 , 4131.28205128 , 4133.33333333 , 4136.41025641 , 4135.38461538 , 4130.76923077 , 4130.76923077 , 4137.43589744 , 4138.46153846 , 4142.56410256 , 4183.07692308 , 4914.35897436 , 4134.35897436 , 4141.02564103 , 2043.0 , 2035.0 , 382.515 , 0.0 , 0.0 , 0.0 , 0.0 , 

51.0 , 4132.30769231 , 4130.76923077 , 4134.35897436 , 4137.43589744 , 4135.38461538 , 4128.71794872 , 4128.20512821 , 4137.94871795 , 4136.92307692 , 4136.41025641 , 4189.23076923 , 4912.30769231 , 4133.33333333 , 4138.46153846 , 2043.0 , 2036.0 , 382.52 , 0.0 , 0.0 , 0.0 , 0.0 , 

52.0 , 4133.33333333 , 4130.25641026 , 4135.38461538 , 4137.43589744 , 4135.38461538 , 4131.28205128 , 4129.74358974 , 4136.41025641 , 4137.43589744 , 4136.41025641 , 4193.33333333 , 4908.20512821 , 4136.41025641 , 4140.0 , 2044.0 , 2036.0 , 382.527 , 0.0 , 0.0 , 0.0 , 0.0 , 

53.0 , 4134.35897436 , 4131.28205128 , 4135.8974359 , 4134.87179487 , 4135.38461538 , 4134.35897436 , 4132.30769231 , 4137.94871795 , 4138.97435897 , 4138.97435897 , 4191.79487179 , 4909.23076923 , 4136.92307692 , 4144.61538462 , 2045.0 , 2036.0 , 382.54 , 0.0 , 0.0 , 0.0 , 0.0 , 

54.0 , 4133.84615385 , 4132.30769231 , 4135.38461538 , 4135.38461538 , 4135.38461538 , 4132.30769231 , 4130.76923077 , 4136.41025641 , 4137.43589744 , 4139.48717949 , 4193.33333333 , 4911.79487179 , 4135.8974359 , 4143.58974359 , 2043.0 , 2033.0 , 382.547 , 0.0 , 0.0 , 0.0 , 0.0 , 

55.0 , 4132.82051282 , 4130.25641026 , 4133.33333333 , 4137.43589744 , 4135.38461538 , 4128.20512821 , 4128.20512821 , 4131.79487179 , 4136.41025641 , 4139.48717949 , 4195.38461538 , 4910.25641026 , 4138.46153846 , 4140.0 , 2043.0 , 2031.0 , 382.551 , 0.0 , 0.0 , 0.0 , 0.0 , 

56.0 , 4134.87179487 , 4131.28205128 , 4134.87179487 , 4137.43589744 , 4135.38461538 , 4130.76923077 , 4129.23076923 , 4135.38461538 , 4137.43589744 , 4140.51282051 , 4190.25641026 , 4910.76923077 , 4138.97435897 , 4138.97435897 , 2043.0 , 2031.0 , 382.559 , 0.0 , 0.0 , 0.0 , 0.0 , 

57.0 , 4135.8974359 , 4132.82051282 , 4135.8974359 , 4135.38461538 , 4135.38461538 , 4134.87179487 , 4132.30769231 , 4140.0 , 4136.92307692 , 4137.94871795 , 4190.25641026 , 4914.87179487 , 4138.46153846 , 4141.53846154 , 2044.0 , 2030.0 , 382.57 , 0.0 , 0.0 , 0.0 , 0.0 , 

58.0 , 4134.35897436 , 4130.25641026 , 4134.87179487 , 4135.38461538 , 4135.38461538 , 4133.33333333 , 4133.84615385 , 4137.94871795 , 4134.35897436 , 4136.92307692 , 4193.84615385 , 4915.38461538 , 4137.43589744 , 4143.07692308 , 2045.0 , 2031.0 , 382.578 , 0.0 , 0.0 , 0.0 , 0.0 , 

59.0 , 4132.30769231 , 4127.17948718 , 4133.84615385 , 4137.43589744 , 4135.38461538 , 4132.82051282 , 4131.79487179 , 4138.46153846 , 4136.41025641 , 4136.92307692 , 4193.33333333 , 4911.79487179 , 4137.94871795 , 4140.0 , 2045.0 , 2033.0 , 382.584 , 0.0 , 0.0 , 0.0 , 0.0 , 

60.0 , 4133.33333333 , 4131.28205128 , 4134.87179487 , 4137.43589744 , 4135.38461538 , 4135.38461538 , 4129.23076923 , 4137.94871795 , 4138.97435897 , 4139.48717949 , 4193.33333333 , 4911.28205128 , 4137.94871795 , 4138.46153846 , 2046.0 , 2033.0 , 382.591 , 0.0 , 0.0 , 0.0 , 0.0 , 

61.0 , 4134.35897436 , 4135.8974359 , 4135.38461538 , 4135.8974359 , 4135.38461538 , 4134.35897436 , 4128.20512821 , 4133.84615385 , 4137.43589744 , 4140.0 , 4193.84615385 , 4910.76923077 , 4134.87179487 , 4137.94871795 , 2047.0 , 2033.0 , 382.604 , 0.0 , 0.0 , 0.0 , 0.0 , 

62.0 , 4135.8974359 , 4132.30769231 , 4135.38461538 , 4132.82051282 , 4135.38461538 , 4134.87179487 , 4127.69230769 , 4133.33333333 , 4136.92307692 , 4137.94871795 , 4190.25641026 , 4908.71794872 , 4133.84615385 , 4136.41025641 , 2046.0 , 2034.0 , 382.609 , 0.0 , 0.0 , 0.0 , 0.0 , 

63.0 , 4135.38461538 , 4129.23076923 , 4137.43589744 , 4134.35897436 , 4135.38461538 , 4135.38461538 , 4129.23076923 , 4134.35897436 , 4137.94871795 , 4137.94871795 , 4190.25641026 , 4911.28205128 , 4136.41025641 , 4140.51282051 , 2045.0 , 2034.0 , 382.614 , 0.0 , 0.0 , 0.0 , 0.0 , 

64.0 , 4133.84615385 , 4131.28205128 , 4140.0 , 4134.87179487 , 4135.38461538 , 4134.35897436 , 4129.74358974 , 4133.84615385 , 4136.41025641 , 4138.97435897 , 4192.82051282 , 4914.87179487 , 4138.46153846 , 4145.12820513 , 2043.0 , 2033.0 , 382.622 , 0.0 , 0.0 , 0.0 , 0.0 , 

65.0 , 4132.30769231 , 4131.79487179 , 4136.92307692 , 4132.82051282 , 4135.38461538 , 4136.41025641 , 4130.25641026 , 4138.46153846 , 4135.8974359 , 4139.48717949 , 4192.82051282 , 4910.76923077 , 4138.46153846 , 4142.05128205 , 2043.0 , 2033.0 , 382.635 , 0.0 , 0.0 , 0.0 , 0.0 , 

66.0 , 4131.79487179 , 4131.28205128 , 4133.33333333 , 4134.35897436 , 4135.38461538 , 4135.38461538 , 4130.76923077 , 4139.48717949 , 4137.43589744 , 4140.51282051 , 4191.28205128 , 4909.74358974 , 4137.94871795 , 4138.46153846 , 2042.0 , 2032.0 , 382.643 , 0.0 , 0.0 , 0.0 , 0.0 , 

67.0 , 4133.33333333 , 4133.33333333 , 4135.38461538 , 4137.43589744 , 4135.38461538 , 4132.82051282 , 4130.76923077 , 4134.87179487 , 4135.38461538 , 4139.48717949 , 4190.25641026 , 4913.84615385 , 4135.38461538 , 4138.46153846 , 2041.0 , 2032.0 , 382.646 , 0.0 , 0.0 , 0.0 , 0.0 , 

68.0 , 4132.82051282 , 4131.79487179 , 4135.38461538 , 4136.92307692 , 4135.38461538 , 4131.79487179 , 4128.71794872 , 4136.41025641 , 4134.35897436 , 4138.46153846 , 4189.74358974 , 4914.87179487 , 4133.33333333 , 4137.43589744 , 2041.0 , 2032.0 , 382.655 , 0.0 , 0.0 , 0.0 , 0.0 , 

69.0 , 4132.82051282 , 4130.76923077 , 4132.82051282 , 4137.43589744 , 4135.38461538 , 4134.87179487 , 4129.23076923 , 4136.92307692 , 4136.92307692 , 4139.48717949 , 4189.23076923 , 4912.82051282 , 4134.87179487 , 4139.48717949 , 2041.0 , 2034.0 , 382.667 , 0.0 , 0.0 , 0.0 , 0.0 , 

70.0 , 4134.87179487 , 4131.79487179 , 4135.38461538 , 4137.43589744 , 4135.38461538 , 4134.87179487 , 4130.25641026 , 4133.33333333 , 4136.41025641 , 4138.46153846 , 4188.71794872 , 4911.79487179 , 4134.35897436 , 4140.0 , 2042.0 , 2033.0 , 382.672 , 0.0 , 0.0 , 0.0 , 0.0 , 

71.0 , 4135.8974359 , 4130.25641026 , 4136.41025641 , 4133.84615385 , 4135.38461538 , 4132.30769231 , 4128.71794872 , 4131.79487179 , 4136.92307692 , 4135.38461538 , 4192.30769231 , 4910.25641026 , 4135.38461538 , 4138.97435897 , 2044.0 , 2035.0 , 382.677 , 0.0 , 0.0 , 0.0 , 0.0 , 

72.0 , 4132.82051282 , 4128.71794872 , 4131.79487179 , 4133.84615385 , 4135.38461538 , 4131.79487179 , 4128.20512821 , 4133.33333333 , 4138.97435897 , 4139.48717949 , 4190.76923077 , 4910.25641026 , 4136.92307692 , 4142.05128205 , 2045.0 , 2035.0 , 382.686 , 0.0 , 0.0 , 0.0 , 0.0 , 

73.0 , 4132.82051282 , 4130.76923077 , 4134.87179487 , 4136.92307692 , 4135.38461538 , 4134.87179487 , 4130.76923077 , 4134.35897436 , 4139.48717949 , 4143.07692308 , 4184.1025641 , 4910.25641026 , 4136.92307692 , 4143.07692308 , 2043.0 , 2037.0 , 382.698 , 0.0 , 0.0 , 0.0 , 0.0 , 

74.0 , 4132.82051282 , 4131.28205128 , 4140.0 , 4134.87179487 , 4135.38461538 , 4135.8974359 , 4131.28205128 , 4133.33333333 , 4136.92307692 , 4138.46153846 , 4187.17948718 , 4909.74358974 , 4135.8974359 , 4138.97435897 , 2044.0 , 2034.0 , 382.704 , 0.0 , 0.0 , 0.0 , 0.0 , 

75.0 , 4130.76923077 , 4131.28205128 , 4135.8974359 , 4130.76923077 , 4135.38461538 , 4132.82051282 , 4128.20512821 , 4133.33333333 , 4134.87179487 , 4136.41025641 , 4194.87179487 , 4911.28205128 , 4135.38461538 , 4136.92307692 , 2044.0 , 2033.0 , 382.71 , 0.0 , 0.0 , 0.0 , 0.0 , 

76.0 , 4131.79487179 , 4132.30769231 , 4133.33333333 , 4131.28205128 , 4135.38461538 , 4132.82051282 , 4127.69230769 , 4135.8974359 , 4135.8974359 , 4138.46153846 , 4195.8974359 , 4910.76923077 , 4136.41025641 , 4137.94871795 , 2043.0 , 2034.0 , 382.717 , 0.0 , 0.0 , 0.0 , 0.0 , 

77.0 , 4133.84615385 , 4131.28205128 , 4137.43589744 , 4136.41025641 , 4135.38461538 , 4136.41025641 , 4129.74358974 , 4136.92307692 , 4138.97435897 , 4137.94871795 , 4195.38461538 , 4909.74358974 , 4137.43589744 , 4138.46153846 , 2043.0 , 2032.0 , 382.729 , 0.0 , 0.0 , 0.0 , 0.0 , 

78.0 , 4131.79487179 , 4128.20512821 , 4135.38461538 , 4138.46153846 , 4135.38461538 , 4135.38461538 , 4128.71794872 , 4133.84615385 , 4137.43589744 , 4138.97435897 , 4194.87179487 , 4913.33333333 , 4136.41025641 , 4136.92307692 , 2044.0 , 2028.0 , 382.734 , 0.0 , 0.0 , 0.0 , 0.0 , 

79.0 , 4131.28205128 , 4128.20512821 , 4131.79487179 , 4134.87179487 , 4135.38461538 , 4130.76923077 , 4127.17948718 , 4133.84615385 , 4134.87179487 , 4141.02564103 , 4191.28205128 , 4914.87179487 , 4135.38461538 , 4137.94871795 , 2044.0 , 2028.0 , 382.739 , 0.0 , 0.0 , 0.0 , 0.0 , 

80.0 , 4133.33333333 , 4130.25641026 , 4131.28205128 , 4133.33333333 , 4135.38461538 , 4129.23076923 , 4128.71794872 , 4137.94871795 , 4137.43589744 , 4140.0 , 4190.76923077 , 4909.23076923 , 4135.38461538 , 4138.46153846 , 2043.0 , 2028.0 , 382.748 , 0.0 , 0.0 , 0.0 , 0.0 , 

81.0 , 4132.82051282 , 4129.74358974 , 4132.82051282 , 4137.43589744 , 4135.38461538 , 4129.23076923 , 4128.20512821 , 4136.41025641 , 4138.97435897 , 4138.97435897 , 4191.79487179 , 4908.71794872 , 4134.35897436 , 4135.8974359 , 2043.0 , 2030.0 , 382.761 , 0.0 , 0.0 , 0.0 , 0.0 , 

82.0 , 4131.79487179 , 4129.23076923 , 4134.35897436 , 4136.92307692 , 4135.38461538 , 4130.76923077 , 4127.17948718 , 4134.35897436 , 4136.41025641 , 4140.51282051 , 4190.25641026 , 4913.33333333 , 4135.8974359 , 4136.41025641 , 2043.0 , 2031.0 , 382.769 , 0.0 , 0.0 , 0.0 , 0.0 , 

83.0 , 4131.79487179 , 4129.74358974 , 4135.38461538 , 4135.38461538 , 4135.38461538 , 4129.74358974 , 4128.20512821 , 4134.35897436 , 4135.38461538 , 4138.46153846 , 4188.20512821 , 4914.35897436 , 4137.43589744 , 4141.53846154 , 2043.0 , 2035.0 , 382.774 , 0.0 , 0.0 , 0.0 , 0.0 , 

84.0 , 4133.84615385 , 4130.76923077 , 4131.79487179 , 4135.38461538 , 4135.38461538 , 4128.20512821 , 4127.17948718 , 4131.79487179 , 4136.92307692 , 4137.94871795 , 4190.76923077 , 4910.76923077 , 4136.92307692 , 4141.02564103 , 2044.0 , 2035.0 , 382.781 , 0.0 , 0.0 , 0.0 , 0.0 , 

85.0 , 4134.35897436 , 4130.76923077 , 4131.28205128 , 4135.8974359 , 4135.38461538 , 4128.20512821 , 4127.17948718 , 4130.76923077 , 4137.43589744 , 4138.97435897 , 4194.87179487 , 4909.23076923 , 4136.41025641 , 4138.46153846 , 2043.0 , 2037.0 , 382.793 , 0.0 , 0.0 , 0.0 , 0.0 , 

86.0 , 4133.84615385 , 4131.79487179 , 4133.84615385 , 4135.8974359 , 4135.38461538 , 4128.20512821 , 4130.76923077 , 4131.79487179 , 4136.92307692 , 4138.46153846 , 4195.38461538 , 4910.76923077 , 4136.92307692 , 4141.02564103 , 2043.0 , 2037.0 , 382.799 , 0.0 , 0.0 , 0.0 , 0.0 , 

87.0 , 4134.35897436 , 4131.28205128 , 4133.33333333 , 4136.41025641 , 4135.38461538 , 4129.74358974 , 4131.79487179 , 4133.33333333 , 4136.92307692 , 4140.51282051 , 4193.84615385 , 4912.82051282 , 4137.43589744 , 4140.51282051 , 2041.0 , 2035.0 , 382.803 , 0.0 , 0.0 , 0.0 , 0.0 , 

88.0 , 4137.43589744 , 4131.79487179 , 4131.28205128 , 4136.41025641 , 4135.38461538 , 4134.87179487 , 4129.74358974 , 4135.38461538 , 4137.43589744 , 4141.53846154 , 4193.84615385 , 4911.79487179 , 4137.94871795 , 4138.46153846 , 2042.0 , 2035.0 , 382.81 , 0.0 , 0.0 , 0.0 , 0.0 , 

89.0 , 4135.8974359 , 4131.79487179 , 4130.76923077 , 4134.87179487 , 4135.38461538 , 4136.41025641 , 4130.76923077 , 4137.43589744 , 4137.43589744 , 4138.97435897 , 4191.79487179 , 4909.74358974 , 4137.43589744 , 4138.97435897 , 2043.0 , 2035.0 , 382.827 , 0.0 , 0.0 , 0.0 , 0.0 , 

90.0 , 4133.84615385 , 4131.79487179 , 4130.76923077 , 4136.92307692 , 4135.38461538 , 4129.74358974 , 4130.76923077 , 4137.94871795 , 4137.94871795 , 4137.94871795 , 4189.23076923 , 4910.76923077 , 4136.92307692 , 4138.97435897 , 2044.0 , 2031.0 , 382.827 , 0.0 , 0.0 , 0.0 , 0.0 , 

91.0 , 4134.35897436 , 4130.25641026 , 4130.25641026 , 4136.41025641 , 4135.38461538 , 4128.20512821 , 4127.69230769 , 4138.46153846 , 4138.97435897 , 4138.46153846 , 4190.25641026 , 4912.82051282 , 4137.94871795 , 4140.51282051 , 2042.0 , 2031.0 , 382.835 , 0.0 , 0.0 , 0.0 , 0.0 , 

92.0 , 4133.84615385 , 4128.71794872 , 4133.84615385 , 4135.38461538 , 4135.38461538 , 4132.30769231 , 4130.76923077 , 4138.97435897 , 4138.46153846 , 4137.94871795 , 4194.35897436 , 4914.35897436 , 4137.94871795 , 4141.53846154 , 2042.0 , 2032.0 , 382.843 , 0.0 , 0.0 , 0.0 , 0.0 , 

93.0 , 4131.28205128 , 4129.23076923 , 4133.84615385 , 4138.46153846 , 4135.38461538 , 4132.30769231 , 4134.87179487 , 4135.8974359 , 4138.46153846 , 4136.92307692 , 4193.84615385 , 4913.84615385 , 4137.94871795 , 4138.97435897 , 2042.0 , 2032.0 , 382.856 , 0.0 , 0.0 , 0.0 , 0.0 , 

94.0 , 4131.79487179 , 4132.82051282 , 4130.76923077 , 4137.43589744 , 4135.38461538 , 4133.33333333 , 4131.79487179 , 4137.43589744 , 4138.97435897 , 4136.92307692 , 4189.74358974 , 4909.74358974 , 4138.46153846 , 4138.46153846 , 2042.0 , 2032.0 , 382.862 , 0.0 , 0.0 , 0.0 , 0.0 , 

95.0 , 4133.84615385 , 4133.33333333 , 4131.28205128 , 4133.84615385 , 4135.38461538 , 4134.35897436 , 4129.74358974 , 4139.48717949 , 4138.97435897 , 4138.97435897 , 4188.71794872 , 4908.20512821 , 4138.46153846 , 4139.48717949 , 2040.0 , 2033.0 , 382.866 , 0.0 , 0.0 , 0.0 , 0.0 , 

96.0 , 4133.33333333 , 4131.79487179 , 4133.84615385 , 4134.87179487 , 4135.38461538 , 4132.30769231 , 4132.30769231 , 4138.46153846 , 4138.46153846 , 4140.51282051 , 4191.28205128 , 4909.23076923 , 4138.46153846 , 4138.97435897 , 2040.0 , 2034.0 , 382.874 , 0.0 , 0.0 , 0.0 , 0.0 , 

97.0 , 4130.76923077 , 4129.74358974 , 4132.30769231 , 4137.43589744 , 4135.38461538 , 4130.76923077 , 4132.30769231 , 4137.43589744 , 4139.48717949 , 4140.0 , 4194.35897436 , 4909.74358974 , 4138.97435897 , 4140.51282051 , 2040.0 , 2035.0 , 382.886 , 0.0 , 0.0 , 0.0 , 0.0 , 

98.0 , 4130.76923077 , 4128.71794872 , 4131.28205128 , 4135.38461538 , 4135.38461538 , 4130.76923077 , 4131.79487179 , 4139.48717949 , 4138.97435897 , 4140.51282051 , 4193.84615385 , 4910.76923077 , 4138.46153846 , 4141.53846154 , 2041.0 , 2034.0 , 382.893 , 0.0 , 0.0 , 0.0 , 0.0 , 

