['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
94.0 , 4123.58974359 , 4125.12820513 , 4128.71794872 , 4125.64102564 , 4120.0 , 4121.53846154 , 4116.41025641 , 4121.53846154 , 4122.05128205 , 4130.76923077 , 4179.48717949 , 4906.15384615 , 4117.43589744 , 4132.82051282 , 2042.0 , 2034.0 , 94.218 , 0.0 , 0.0 , 0.0 , 0.0 , 

95.0 , 4123.58974359 , 4127.17948718 , 4124.1025641 , 4127.17948718 , 4121.53846154 , 4124.1025641 , 4121.02564103 , 4123.58974359 , 4124.61538462 , 4132.82051282 , 4181.02564103 , 4905.12820513 , 4128.20512821 , 4130.76923077 , 2044.0 , 2034.0 , 94.23 , 0.0 , 0.0 , 0.0 , 0.0 , 

96.0 , 4126.66666667 , 4123.07692308 , 4123.58974359 , 4125.64102564 , 4124.1025641 , 4121.02564103 , 4120.51282051 , 4119.48717949 , 4123.58974359 , 4134.35897436 , 4178.97435897 , 4906.66666667 , 4129.23076923 , 4129.23076923 , 2043.0 , 2034.0 , 94.234 , 0.0 , 0.0 , 0.0 , 0.0 , 

97.0 , 4125.12820513 , 4123.58974359 , 4122.56410256 , 4131.28205128 , 4125.64102564 , 4124.1025641 , 4121.02564103 , 4124.1025641 , 4127.17948718 , 4133.84615385 , 4182.05128205 , 4903.58974359 , 4130.76923077 , 4133.84615385 , 2042.0 , 2034.0 , 94.243 , 0.0 , 0.0 , 0.0 , 0.0 , 

98.0 , 4123.07692308 , 4120.51282051 , 4125.64102564 , 4129.23076923 , 4125.12820513 , 4122.05128205 , 4116.92307692 , 4112.30769231 , 4123.58974359 , 4131.28205128 , 4181.02564103 , 4903.58974359 , 4125.64102564 , 4134.35897436 , 2043.0 , 2034.0 , 94.25 , 0.0 , 0.0 , 0.0 , 0.0 , 

99.0 , 4125.12820513 , 4124.61538462 , 4120.51282051 , 4126.15384615 , 4124.61538462 , 4121.53846154 , 4116.92307692 , 4116.92307692 , 4123.58974359 , 4132.82051282 , 4181.02564103 , 4902.05128205 , 4129.23076923 , 4131.79487179 , 2043.0 , 2035.0 , 94.262 , 0.0 , 0.0 , 0.0 , 0.0 , 

100.0 , 4124.61538462 , 4123.07692308 , 4124.1025641 , 4121.02564103 , 4123.07692308 , 4120.0 , 4110.25641026 , 4126.66666667 , 4123.58974359 , 4131.28205128 , 4180.51282051 , 4903.07692308 , 4125.64102564 , 4131.79487179 , 2045.0 , 2034.0 , 94.266 , 0.0 , 0.0 , 0.0 , 0.0 , 

101.0 , 4124.1025641 , 4120.51282051 , 4130.25641026 , 4122.56410256 , 4123.07692308 , 4121.02564103 , 4112.82051282 , 4125.64102564 , 4126.15384615 , 4129.74358974 , 4183.58974359 , 4904.1025641 , 4123.58974359 , 4133.33333333 , 2045.0 , 2035.0 , 94.274 , 0.0 , 0.0 , 0.0 , 0.0 , 

102.0 , 4123.58974359 , 4120.0 , 4128.71794872 , 4124.1025641 , 4122.05128205 , 4122.56410256 , 4117.94871795 , 4122.05128205 , 4131.79487179 , 4131.79487179 , 4183.58974359 , 4905.64102564 , 4127.69230769 , 4134.35897436 , 2044.0 , 2034.0 , 94.282 , 0.0 , 0.0 , 0.0 , 0.0 , 

103.0 , 4126.15384615 , 4122.05128205 , 4125.64102564 , 4124.1025641 , 4121.53846154 , 4122.05128205 , 4116.41025641 , 4124.61538462 , 4129.23076923 , 4134.87179487 , 4181.02564103 , 4904.61538462 , 4124.1025641 , 4136.92307692 , 2045.0 , 2033.0 , 94.293 , 0.0 , 0.0 , 0.0 , 0.0 , 

