['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
120.0 , 4130.76923077 , 4131.28205128 , 4132.82051282 , 4138.46153846 , 4134.35897436 , 4135.8974359 , 4132.30769231 , 4137.94871795 , 4136.41025641 , 4142.05128205 , 4189.74358974 , 4913.84615385 , 4135.38461538 , 4138.97435897 , 2045.0 , 2028.0 , 300.714 , 0.0 , 0.0 , 0.0 , 0.0 , 

121.0 , 4130.76923077 , 4133.33333333 , 4134.87179487 , 4135.38461538 , 4134.35897436 , 4135.8974359 , 4130.76923077 , 4136.92307692 , 4137.43589744 , 4144.1025641 , 4193.33333333 , 4915.38461538 , 4135.8974359 , 4141.02564103 , 2044.0 , 2030.0 , 300.727 , 0.0 , 0.0 , 0.0 , 0.0 , 

122.0 , 4129.74358974 , 4132.82051282 , 4135.8974359 , 4134.35897436 , 4134.35897436 , 4135.8974359 , 4134.87179487 , 4136.41025641 , 4137.43589744 , 4140.51282051 , 4195.8974359 , 4912.30769231 , 4136.41025641 , 4142.56410256 , 2043.0 , 2032.0 , 300.73 , 0.0 , 0.0 , 0.0 , 0.0 , 

123.0 , 4132.30769231 , 4131.28205128 , 4131.79487179 , 4137.94871795 , 4134.35897436 , 4135.8974359 , 4136.92307692 , 4135.8974359 , 4135.8974359 , 4140.51282051 , 4193.33333333 , 4909.23076923 , 4134.87179487 , 4143.58974359 , 2043.0 , 2035.0 , 300.738 , 0.0 , 0.0 , 0.0 , 0.0 , 

124.0 , 4132.82051282 , 4132.30769231 , 4130.76923077 , 4138.46153846 , 4134.35897436 , 4135.8974359 , 4131.28205128 , 4135.8974359 , 4135.38461538 , 4139.48717949 , 4191.79487179 , 4911.79487179 , 4132.82051282 , 4138.46153846 , 2040.0 , 2035.0 , 300.746 , 0.0 , 0.0 , 0.0 , 0.0 , 

125.0 , 4132.82051282 , 4132.82051282 , 4134.87179487 , 4136.92307692 , 4134.35897436 , 4135.8974359 , 4128.20512821 , 4135.8974359 , 4135.8974359 , 4145.12820513 , 4192.82051282 , 4914.35897436 , 4133.84615385 , 4134.87179487 , 2039.0 , 2036.0 , 300.758 , 0.0 , 0.0 , 0.0 , 0.0 , 

126.0 , 4133.33333333 , 4131.79487179 , 4134.35897436 , 4137.43589744 , 4134.35897436 , 4135.8974359 , 4129.74358974 , 4133.33333333 , 4135.8974359 , 4153.84615385 , 4191.79487179 , 4915.8974359 , 4136.41025641 , 4143.07692308 , 2038.0 , 2038.0 , 300.761 , 0.0 , 0.0 , 0.0 , 0.0 , 

127.0 , 4133.33333333 , 4131.28205128 , 4133.33333333 , 4134.87179487 , 4134.35897436 , 4136.41025641 , 4127.69230769 , 4133.33333333 , 4136.41025641 , 4146.15384615 , 4187.17948718 , 4915.38461538 , 4135.8974359 , 4147.17948718 , 2039.0 , 2038.0 , 300.769 , 0.0 , 0.0 , 0.0 , 0.0 , 

128.0 , 4132.82051282 , 4131.28205128 , 4133.84615385 , 4131.79487179 , 4133.84615385 , 4135.38461538 , 4127.69230769 , 4136.92307692 , 4136.92307692 , 4135.8974359 , 4188.71794872 , 4910.25641026 , 4136.92307692 , 4136.92307692 , 2038.0 , 2037.0 , 300.777 , 0.0 , 0.0 , 0.0 , 0.0 , 

0.0 , 4134.87179487 , 4130.76923077 , 4133.84615385 , 4134.35897436 , 4136.41025641 , 4135.8974359 , 4131.79487179 , 4136.41025641 , 4137.43589744 , 4143.58974359 , 4193.84615385 , 4909.74358974 , 4139.48717949 , 4133.33333333 , 2039.0 , 2036.0 , 300.79 , 0.0 , 0.0 , 0.0 , 0.0 , 

1.0 , 4135.38461538 , 4132.82051282 , 4135.38461538 , 4136.41025641 , 4137.94871795 , 4138.46153846 , 4131.28205128 , 4134.35897436 , 4136.92307692 , 4156.41025641 , 4192.30769231 , 4915.8974359 , 4140.51282051 , 4141.53846154 , 2039.0 , 2033.0 , 300.793 , 0.0 , 0.0 , 0.0 , 0.0 , 

2.0 , 4135.38461538 , 4133.33333333 , 4135.8974359 , 4136.92307692 , 4135.38461538 , 4132.82051282 , 4123.07692308 , 4136.41025641 , 4136.41025641 , 4152.30769231 , 4190.76923077 , 4913.33333333 , 4138.97435897 , 4143.58974359 , 2041.0 , 2029.0 , 300.801 , 0.0 , 0.0 , 0.0 , 0.0 , 

