['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
10.0 , 4091.28205128 , 4148.71794872 , 4136.41025641 , 4121.53846154 , 4128.71794872 , 4132.30769231 , 4137.94871795 , 4124.61538462 , 4135.38461538 , 4135.8974359 , 4143.07692308 , 4122.05128205 , 4135.8974359 , 4153.84615385 , 2044.0 , 2037.0 , 278.61 , 0.0 , 0.0 , 0.0 , 0.0 , 

11.0 , 4093.33333333 , 4151.79487179 , 4137.43589744 , 4132.82051282 , 4130.25641026 , 4134.87179487 , 4137.94871795 , 4134.35897436 , 4135.38461538 , 4135.8974359 , 4143.07692308 , 4120.51282051 , 4140.0 , 4152.30769231 , 2044.0 , 2037.0 , 278.617 , 0.0 , 0.0 , 0.0 , 0.0 , 

12.0 , 4101.53846154 , 4158.97435897 , 4136.41025641 , 4138.46153846 , 4130.25641026 , 4132.30769231 , 4137.43589744 , 4140.0 , 4135.38461538 , 4135.8974359 , 4144.61538462 , 4124.61538462 , 4145.12820513 , 4156.41025641 , 2044.0 , 2038.0 , 278.626 , 0.0 , 0.0 , 0.0 , 0.0 , 

13.0 , 4100.0 , 4157.94871795 , 4135.8974359 , 4125.64102564 , 4129.23076923 , 4129.74358974 , 4137.94871795 , 4134.87179487 , 4135.38461538 , 4135.8974359 , 4142.05128205 , 4125.64102564 , 4139.48717949 , 4158.97435897 , 2044.0 , 2039.0 , 278.633 , 0.0 , 0.0 , 0.0 , 0.0 , 

14.0 , 4096.41025641 , 4155.8974359 , 4137.94871795 , 4125.64102564 , 4130.76923077 , 4129.74358974 , 4137.94871795 , 4134.35897436 , 4135.38461538 , 4135.8974359 , 4142.56410256 , 4124.1025641 , 4139.48717949 , 4157.94871795 , 2044.0 , 2038.0 , 278.641 , 0.0 , 0.0 , 0.0 , 0.0 , 

15.0 , 4097.43589744 , 4157.94871795 , 4139.48717949 , 4139.48717949 , 4134.35897436 , 4130.25641026 , 4137.43589744 , 4132.30769231 , 4135.38461538 , 4135.8974359 , 4145.12820513 , 4124.1025641 , 4145.12820513 , 4153.33333333 , 2044.0 , 2039.0 , 278.65 , 0.0 , 0.0 , 0.0 , 0.0 , 

16.0 , 4097.43589744 , 4155.8974359 , 4137.43589744 , 4135.38461538 , 4134.87179487 , 4131.79487179 , 4138.97435897 , 4129.74358974 , 4135.38461538 , 4135.8974359 , 4141.53846154 , 4124.1025641 , 4138.46153846 , 4148.71794872 , 2044.0 , 2040.0 , 278.656 , 0.0 , 0.0 , 0.0 , 0.0 , 

17.0 , 4096.92307692 , 4153.33333333 , 4136.41025641 , 4124.1025641 , 4133.33333333 , 4131.28205128 , 4138.46153846 , 4129.74358974 , 4135.38461538 , 4135.8974359 , 4135.8974359 , 4123.58974359 , 4132.82051282 , 4152.82051282 , 2042.0 , 2037.0 , 278.665 , 0.0 , 0.0 , 0.0 , 0.0 , 

18.0 , 4097.43589744 , 4154.87179487 , 4136.92307692 , 4126.15384615 , 4132.30769231 , 4131.79487179 , 4136.41025641 , 4128.20512821 , 4135.38461538 , 4136.41025641 , 4137.43589744 , 4125.12820513 , 4135.38461538 , 4155.8974359 , 2041.0 , 2035.0 , 278.672 , 0.0 , 0.0 , 0.0 , 0.0 , 

19.0 , 4095.8974359 , 4157.43589744 , 4137.43589744 , 4127.69230769 , 4134.35897436 , 4128.20512821 , 4135.8974359 , 4129.74358974 , 4135.38461538 , 4135.8974359 , 4144.1025641 , 4127.69230769 , 4135.38461538 , 4152.30769231 , 2041.0 , 2032.0 , 278.681 , 0.0 , 0.0 , 0.0 , 0.0 , 

20.0 , 4093.84615385 , 4157.94871795 , 4136.92307692 , 4127.17948718 , 4135.38461538 , 4128.71794872 , 4136.41025641 , 4135.38461538 , 4135.38461538 , 4135.8974359 , 4148.71794872 , 4126.15384615 , 4133.33333333 , 4152.82051282 , 2041.0 , 2033.0 , 278.688 , 0.0 , 0.0 , 0.0 , 0.0 , 

