['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
64.0 , 4125.64102564 , 4129.23076923 , 3762.05128205 , 3986.66666667 , 4137.94871795 , 4120.51282051 , 4105.12820513 , 4134.87179487 , 4177.94871795 , 4135.8974359 , 4134.35897436 , 4118.46153846 , 4251.79487179 , 4257.43589744 , 2046.0 , 2057.0 , 64.774 , 0.0 , 0.0 , 0.0 , 0.0 , 

65.0 , 4130.25641026 , 4257.94871795 , 3881.53846154 , 4075.38461538 , 4135.38461538 , 4124.61538462 , 4110.76923077 , 4137.43589744 , 4240.51282051 , 4135.8974359 , 4194.87179487 , 4151.79487179 , 4345.64102564 , 4332.30769231 , 2047.0 , 2061.0 , 64.779 , 0.0 , 0.0 , 0.0 , 0.0 , 

66.0 , 4137.43589744 , 4406.66666667 , 4030.25641026 , 4164.61538462 , 4136.92307692 , 4127.17948718 , 4111.28205128 , 4139.48717949 , 4285.12820513 , 4135.8974359 , 4261.53846154 , 4183.58974359 , 4438.97435897 , 4426.15384615 , 2044.0 , 2068.0 , 64.79 , 0.0 , 0.0 , 0.0 , 0.0 , 

67.0 , 4131.79487179 , 4229.74358974 , 3887.69230769 , 4060.51282051 , 4137.43589744 , 4125.12820513 , 4099.48717949 , 4136.92307692 , 4203.58974359 , 4135.8974359 , 4180.51282051 , 4141.53846154 , 4308.71794872 , 4324.61538462 , 2044.0 , 2069.0 , 64.793 , 0.0 , 0.0 , 0.0 , 0.0 , 

68.0 , 4128.20512821 , 4094.35897436 , 3773.84615385 , 3990.76923077 , 4136.92307692 , 4123.58974359 , 4097.94871795 , 4135.8974359 , 4170.25641026 , 4135.8974359 , 4121.53846154 , 4113.84615385 , 4220.51282051 , 4236.92307692 , 2045.0 , 2069.0 , 64.803 , 0.0 , 0.0 , 0.0 , 0.0 , 

69.0 , 4133.84615385 , 4213.33333333 , 3877.94871795 , 4063.07692308 , 4140.0 , 4125.64102564 , 4104.61538462 , 4136.41025641 , 4225.12820513 , 4135.8974359 , 4173.33333333 , 4141.02564103 , 4297.43589744 , 4295.8974359 , 2043.0 , 2060.0 , 64.809 , 0.0 , 0.0 , 0.0 , 0.0 , 

70.0 , 4133.33333333 , 4257.43589744 , 3921.53846154 , 4082.56410256 , 4140.0 , 4126.15384615 , 4102.56410256 , 4136.41025641 , 4228.71794872 , 4135.8974359 , 4189.74358974 , 4146.15384615 , 4318.46153846 , 4318.97435897 , 2043.0 , 2053.0 , 64.819 , 0.0 , 0.0 , 0.0 , 0.0 , 

71.0 , 4130.76923077 , 4150.25641026 , 3846.15384615 , 4027.69230769 , 4140.0 , 4124.61538462 , 4101.53846154 , 4137.43589744 , 4185.12820513 , 4135.8974359 , 4145.64102564 , 4122.56410256 , 4249.23076923 , 4257.43589744 , 2038.0 , 2038.0 , 64.825 , 0.0 , 0.0 , 0.0 , 0.0 , 

72.0 , 4134.35897436 , 4106.15384615 , 3820.51282051 , 4014.35897436 , 4141.53846154 , 4125.12820513 , 4106.15384615 , 4138.46153846 , 4174.87179487 , 4135.8974359 , 4127.17948718 , 4113.33333333 , 4219.48717949 , 4227.17948718 , 2036.0 , 2033.0 , 64.835 , 0.0 , 0.0 , 0.0 , 0.0 , 

73.0 , 4137.94871795 , 4098.46153846 , 3812.82051282 , 4008.20512821 , 4144.61538462 , 4129.23076923 , 4109.74358974 , 4137.94871795 , 4172.82051282 , 4135.8974359 , 4120.0 , 4112.30769231 , 4202.05128205 , 4216.92307692 , 2041.0 , 2026.0 , 64.841 , 0.0 , 0.0 , 0.0 , 0.0 , 

74.0 , 4135.38461538 , 4117.94871795 , 3836.41025641 , 4014.35897436 , 4144.1025641 , 4130.25641026 , 4114.35897436 , 4137.43589744 , 4186.15384615 , 4135.8974359 , 4128.71794872 , 4122.56410256 , 4217.43589744 , 4226.66666667 , 2045.0 , 2026.0 , 64.851 , 0.0 , 0.0 , 0.0 , 0.0 , 

75.0 , 4136.92307692 , 4207.17948718 , 3928.71794872 , 4070.25641026 , 4144.61538462 , 4130.76923077 , 4120.0 , 4138.46153846 , 4223.07692308 , 4135.8974359 , 4174.87179487 , 4148.20512821 , 4290.25641026 , 4283.07692308 , 2047.0 , 2028.0 , 64.857 , 0.0 , 0.0 , 0.0 , 0.0 , 

76.0 , 4144.1025641 , 4247.69230769 , 3975.8974359 , 4100.51282051 , 4145.64102564 , 4131.79487179 , 4118.97435897 , 4138.97435897 , 4232.82051282 , 4135.8974359 , 4194.87179487 , 4158.46153846 , 4321.53846154 , 4315.38461538 , 2051.0 , 2029.0 , 64.864 , 0.0 , 0.0 , 0.0 , 0.0 , 

77.0 , 4145.64102564 , 4203.07692308 , 3942.05128205 , 4071.28205128 , 4145.64102564 , 4130.76923077 , 4116.41025641 , 4138.46153846 , 4211.79487179 , 4135.8974359 , 4168.20512821 , 4152.30769231 , 4285.64102564 , 4291.79487179 , 2053.0 , 2027.0 , 64.875 , 0.0 , 0.0 , 0.0 , 0.0 , 

78.0 , 4141.53846154 , 4226.15384615 , 3961.53846154 , 4085.64102564 , 4145.64102564 , 4128.20512821 , 4118.46153846 , 4135.8974359 , 4225.12820513 , 4134.87179487 , 4180.0 , 4160.51282051 , 4299.48717949 , 4303.07692308 , 2056.0 , 2026.0 , 64.88 , 0.0 , 0.0 , 0.0 , 0.0 , 

79.0 , 4143.07692308 , 4293.84615385 , 4020.51282051 , 4138.97435897 , 4143.58974359 , 4130.25641026 , 4117.43589744 , 4135.38461538 , 4250.25641026 , 4133.84615385 , 4219.48717949 , 4175.8974359 , 4348.71794872 , 4346.66666667 , 2060.0 , 2027.0 , 64.891 , 0.0 , 0.0 , 0.0 , 0.0 , 

80.0 , 4141.53846154 , 4208.20512821 , 3942.05128205 , 4098.46153846 , 4139.48717949 , 4131.79487179 , 4110.76923077 , 4137.94871795 , 4203.07692308 , 4134.87179487 , 4171.28205128 , 4155.8974359 , 4281.53846154 , 4294.35897436 , 2066.0 , 2027.0 , 64.896 , 0.0 , 0.0 , 0.0 , 0.0 , 

81.0 , 4141.02564103 , 4186.66666667 , 3925.12820513 , 4088.20512821 , 4141.53846154 , 4132.82051282 , 4116.41025641 , 4140.51282051 , 4191.28205128 , 4135.8974359 , 4145.64102564 , 4149.74358974 , 4254.87179487 , 4273.84615385 , 2065.0 , 2027.0 , 64.907 , 0.0 , 0.0 , 0.0 , 0.0 , 

82.0 , 4144.61538462 , 4292.30769231 , 4045.64102564 , 4155.8974359 , 4147.69230769 , 4134.35897436 , 4123.58974359 , 4139.48717949 , 4241.02564103 , 4136.41025641 , 4201.53846154 , 4171.28205128 , 4334.35897436 , 4340.51282051 , 2065.0 , 2028.0 , 64.912 , 0.0 , 0.0 , 0.0 , 0.0 , 

83.0 , 4144.1025641 , 4215.8974359 , 3998.97435897 , 4113.33333333 , 4147.69230769 , 4133.84615385 , 4109.74358974 , 4135.8974359 , 4217.94871795 , 4135.8974359 , 4179.48717949 , 4156.92307692 , 4290.76923077 , 4301.53846154 , 2064.0 , 2028.0 , 64.923 , 0.0 , 0.0 , 0.0 , 0.0 , 

84.0 , 4141.53846154 , 4187.69230769 , 3966.66666667 , 4093.84615385 , 4142.56410256 , 4128.20512821 , 4099.48717949 , 4135.8974359 , 4213.33333333 , 4134.87179487 , 4162.56410256 , 4151.28205128 , 4270.76923077 , 4283.07692308 , 2062.0 , 2028.0 , 64.928 , 0.0 , 0.0 , 0.0 , 0.0 , 

85.0 , 4141.53846154 , 4360.0 , 4124.1025641 , 4200.51282051 , 4141.02564103 , 4124.61538462 , 4106.15384615 , 4136.92307692 , 4276.92307692 , 4133.84615385 , 4240.0 , 4187.17948718 , 4395.38461538 , 4389.23076923 , 2061.0 , 2026.0 , 64.937 , 0.0 , 0.0 , 0.0 , 0.0 , 

86.0 , 4135.8974359 , 4245.12820513 , 4038.97435897 , 4151.28205128 , 4142.05128205 , 4124.1025641 , 4101.53846154 , 4136.41025641 , 4217.43589744 , 4134.35897436 , 4192.82051282 , 4164.1025641 , 4322.05128205 , 4324.61538462 , 2059.0 , 2024.0 , 64.943 , 0.0 , 0.0 , 0.0 , 0.0 , 

