COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL
70.0 , 4132.82051282 , 4137.43589744 , 4132.30769231 , 4138.46153846 , 4136.41025641 , 4130.76923077 , 4137.43589744 , 4135.38461538 , 4138.46153846 , 4141.53846154 , 4084.1025641 , 3399.48717949 , 4137.43589744 , 4134.35897436 , 2047.0 , 2038.0 , 3.028 , 0.0 , 0.0 , 0.0 , 0.0 , 

71.0 , 4135.8974359 , 4137.94871795 , 4137.43589744 , 4134.35897436 , 4135.8974359 , 4129.23076923 , 4130.76923077 , 4136.41025641 , 4139.48717949 , 4144.1025641 , 4083.07692308 , 3406.15384615 , 4135.38461538 , 4134.35897436 , 2047.0 , 2040.0 , 3.028 , 0.0 , 0.0 , 0.0 , 0.0 , 

72.0 , 4133.33333333 , 4134.87179487 , 4135.8974359 , 4137.94871795 , 4136.41025641 , 4135.38461538 , 4136.41025641 , 4137.43589744 , 4142.05128205 , 4143.58974359 , 4081.53846154 , 3405.12820513 , 4134.87179487 , 4131.28205128 , 2045.0 , 2041.0 , 3.044 , 0.0 , 0.0 , 0.0 , 0.0 , 

73.0 , 4132.30769231 , 4134.87179487 , 4131.79487179 , 4137.94871795 , 4135.8974359 , 4133.84615385 , 4137.94871795 , 4135.38461538 , 4138.97435897 , 4142.56410256 , 4082.56410256 , 3406.15384615 , 4136.92307692 , 4136.41025641 , 2045.0 , 2043.0 , 3.044 , 0.0 , 0.0 , 0.0 , 0.0 , 

74.0 , 4132.82051282 , 4134.87179487 , 4132.82051282 , 4134.35897436 , 4136.41025641 , 4129.74358974 , 4143.07692308 , 4136.92307692 , 4137.94871795 , 4142.56410256 , 4084.1025641 , 3405.64102564 , 4136.41025641 , 4134.87179487 , 2042.0 , 2046.0 , 3.06 , 0.0 , 0.0 , 0.0 , 0.0 , 

75.0 , 4137.43589744 , 4132.82051282 , 4135.8974359 , 4134.87179487 , 4135.8974359 , 4130.25641026 , 4138.97435897 , 4135.38461538 , 4140.0 , 4141.02564103 , 4087.17948718 , 3405.64102564 , 4134.87179487 , 4136.41025641 , 2041.0 , 2047.0 , 3.06 , 0.0 , 0.0 , 0.0 , 0.0 , 

76.0 , 4137.43589744 , 4133.33333333 , 4133.33333333 , 4137.43589744 , 4135.38461538 , 4133.33333333 , 4138.97435897 , 4133.84615385 , 4138.97435897 , 4141.02564103 , 4086.15384615 , 3403.58974359 , 4135.8974359 , 4134.35897436 , 2039.0 , 2047.0 , 3.081 , 0.0 , 0.0 , 0.0 , 0.0 , 

77.0 , 4134.87179487 , 4133.84615385 , 4136.92307692 , 4135.8974359 , 4133.84615385 , 4132.30769231 , 4136.92307692 , 4133.33333333 , 4136.92307692 , 4142.05128205 , 4083.58974359 , 3404.61538462 , 4136.41025641 , 4133.84615385 , 2039.0 , 2047.0 , 3.081 , 0.0 , 0.0 , 0.0 , 0.0 , 

78.0 , 4134.87179487 , 4133.84615385 , 4137.94871795 , 4134.87179487 , 4132.82051282 , 4130.25641026 , 4135.38461538 , 4133.33333333 , 4138.46153846 , 4141.53846154 , 4085.12820513 , 3407.17948718 , 4134.87179487 , 4135.8974359 , 2038.0 , 2047.0 , 3.096 , 0.0 , 0.0 , 0.0 , 0.0 , 

79.0 , 4135.38461538 , 4134.87179487 , 4133.84615385 , 4135.38461538 , 4135.8974359 , 4131.79487179 , 4140.0 , 4135.38461538 , 4140.51282051 , 4141.02564103 , 4084.61538462 , 3404.1025641 , 4135.38461538 , 4132.30769231 , 2037.0 , 2047.0 , 3.096 , 0.0 , 0.0 , 0.0 , 0.0 , 

80.0 , 4134.87179487 , 4134.35897436 , 4135.38461538 , 4133.33333333 , 4135.8974359 , 4132.82051282 , 4140.51282051 , 4135.8974359 , 4139.48717949 , 4141.53846154 , 4083.58974359 , 3404.61538462 , 4137.43589744 , 4130.76923077 , 2036.0 , 2046.0 , 3.112 , 0.0 , 0.0 , 0.0 , 0.0 , 

81.0 , 4133.33333333 , 4136.41025641 , 4139.48717949 , 4135.38461538 , 4134.35897436 , 4135.38461538 , 4138.46153846 , 4135.8974359 , 4138.46153846 , 4142.05128205 , 4082.56410256 , 3402.56410256 , 4135.8974359 , 4129.74358974 , 2035.0 , 2047.0 , 3.112 , 0.0 , 0.0 , 0.0 , 0.0 , 

82.0 , 4135.38461538 , 4131.28205128 , 4138.46153846 , 4134.35897436 , 4131.79487179 , 4130.76923077 , 4123.58974359 , 4134.87179487 , 4134.35897436 , 4139.48717949 , 4084.61538462 , 3410.25641026 , 4138.46153846 , 4144.61538462 , 2036.0 , 2063.0 , 3.128 , 0.0 , 0.0 , 0.0 , 0.0 , 

83.0 , 4132.82051282 , 4131.79487179 , 4135.8974359 , 4138.97435897 , 4138.97435897 , 4133.84615385 , 4147.69230769 , 4140.0 , 4138.97435897 , 4141.53846154 , 4081.53846154 , 3400.0 , 4136.41025641 , 4125.12820513 , 2036.0 , 2049.0 , 3.128 , 0.0 , 0.0 , 0.0 , 0.0 , 

84.0 , 4130.76923077 , 4136.41025641 , 4137.94871795 , 4141.53846154 , 4142.56410256 , 4136.41025641 , 4163.58974359 , 4141.53846154 , 4147.17948718 , 4145.12820513 , 4080.51282051 , 3391.28205128 , 4132.82051282 , 4109.74358974 , 2035.0 , 2050.0 , 3.143 , 0.0 , 0.0 , 0.0 , 0.0 , 

85.0 , 4136.92307692 , 4124.61538462 , 4141.02564103 , 4123.58974359 , 4123.07692308 , 4117.94871795 , 4096.92307692 , 4128.20512821 , 4131.79487179 , 4138.46153846 , 4096.41025641 , 3434.87179487 , 4141.53846154 , 4170.25641026 , 2036.0 , 2054.0 , 3.143 , 0.0 , 0.0 , 0.0 , 0.0 , 

86.0 , 4132.82051282 , 4141.53846154 , 4131.79487179 , 4151.28205128 , 4140.51282051 , 4139.48717949 , 4177.94871795 , 4139.48717949 , 4140.0 , 4140.51282051 , 4074.35897436 , 3383.58974359 , 4127.17948718 , 4103.58974359 , 2035.0 , 2056.0 , 3.159 , 0.0 , 0.0 , 0.0 , 0.0 , 

87.0 , 4118.97435897 , 4160.51282051 , 4125.64102564 , 4181.53846154 , 4166.66666667 , 4164.61538462 , 4274.87179487 , 4158.46153846 , 4165.64102564 , 4153.33333333 , 4049.23076923 , 3317.43589744 , 4116.92307692 , 4018.46153846 , 2034.0 , 2058.0 , 3.159 , 0.0 , 0.0 , 0.0 , 0.0 , 

88.0 , 4127.17948718 , 4138.97435897 , 4135.8974359 , 4147.17948718 , 4145.64102564 , 4140.0 , 4180.51282051 , 4143.07692308 , 4151.28205128 , 4151.28205128 , 4072.30769231 , 3374.35897436 , 4135.38461538 , 4101.02564103 , 2033.0 , 2063.0 , 3.176 , 0.0 , 0.0 , 0.0 , 0.0 , 

89.0 , 4139.48717949 , 4120.0 , 4138.46153846 , 4114.87179487 , 4124.1025641 , 4117.43589744 , 4094.35897436 , 4125.64102564 , 4126.66666667 , 4142.05128205 , 4094.35897436 , 3434.87179487 , 4148.20512821 , 4179.48717949 , 2033.0 , 2068.0 , 3.181 , 0.0 , 0.0 , 0.0 , 0.0 , 

90.0 , 4134.87179487 , 4134.87179487 , 4136.41025641 , 4131.28205128 , 4134.87179487 , 4130.25641026 , 4147.17948718 , 4134.35897436 , 4131.28205128 , 4142.56410256 , 4082.56410256 , 3407.69230769 , 4135.8974359 , 4134.35897436 , 2029.0 , 2071.0 , 3.181 , 0.0 , 0.0 , 0.0 , 0.0 , 

91.0 , 4127.69230769 , 4137.43589744 , 4140.51282051 , 4137.94871795 , 4139.48717949 , 4134.35897436 , 4166.15384615 , 4141.02564103 , 4143.07692308 , 4146.66666667 , 4078.46153846 , 3392.30769231 , 4133.33333333 , 4115.8974359 , 2027.0 , 2072.0 , 3.197 , 0.0 , 0.0 , 0.0 , 0.0 , 

92.0 , 4135.8974359 , 4124.61538462 , 4144.1025641 , 4121.53846154 , 4128.71794872 , 4120.0 , 4117.94871795 , 4131.79487179 , 4133.33333333 , 4142.05128205 , 4091.79487179 , 3421.53846154 , 4141.53846154 , 4156.92307692 , 2025.0 , 2076.0 , 3.197 , 0.0 , 0.0 , 0.0 , 0.0 , 

93.0 , 4134.35897436 , 4132.82051282 , 4135.38461538 , 4132.82051282 , 4136.41025641 , 4127.69230769 , 4151.28205128 , 4136.41025641 , 4134.87179487 , 4142.56410256 , 4084.1025641 , 3401.02564103 , 4138.97435897 , 4129.23076923 , 2025.0 , 2078.0 , 3.212 , 0.0 , 0.0 , 0.0 , 0.0 , 

94.0 , 4132.30769231 , 4132.30769231 , 4138.46153846 , 4130.76923077 , 4133.33333333 , 4127.69230769 , 4141.53846154 , 4134.87179487 , 4132.30769231 , 4142.05128205 , 4085.12820513 , 3412.30769231 , 4143.07692308 , 4138.46153846 , 2021.0 , 2080.0 , 3.212 , 0.0 , 0.0 , 0.0 , 0.0 , 

