['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
36.0 , 4112.82051282 , 4106.66666667 , 4118.97435897 , 4110.25641026 , 4120.0 , 4113.33333333 , 4117.94871795 , 4199.48717949 , 4119.48717949 , 4125.12820513 , 4175.38461538 , 4895.38461538 , 4105.12820513 , 4121.53846154 , 2032.0 , 2036.0 , 14.358 , 0.0 , 0.0 , 0.0 , 0.0 , 

37.0 , 4115.38461538 , 4110.25641026 , 4117.94871795 , 4113.84615385 , 4119.48717949 , 4115.38461538 , 4118.46153846 , 4197.94871795 , 4120.0 , 4127.17948718 , 4172.30769231 , 4897.43589744 , 4106.66666667 , 4121.53846154 , 2033.0 , 2035.0 , 14.366 , 0.0 , 0.0 , 0.0 , 0.0 , 

38.0 , 4115.38461538 , 4112.30769231 , 4118.46153846 , 4114.35897436 , 4116.41025641 , 4116.41025641 , 4112.30769231 , 4194.35897436 , 4120.0 , 4123.07692308 , 4170.76923077 , 4901.02564103 , 4105.64102564 , 4117.94871795 , 2033.0 , 2036.0 , 14.374 , 0.0 , 0.0 , 0.0 , 0.0 , 

39.0 , 4116.92307692 , 4117.94871795 , 4118.46153846 , 4117.43589744 , 4117.43589744 , 4116.41025641 , 4113.33333333 , 4182.56410256 , 4117.94871795 , 4121.53846154 , 4171.28205128 , 4903.07692308 , 4110.25641026 , 4121.53846154 , 2035.0 , 2034.0 , 14.382 , 0.0 , 0.0 , 0.0 , 0.0 , 

40.0 , 4115.8974359 , 4120.0 , 4118.97435897 , 4122.05128205 , 4116.92307692 , 4114.35897436 , 4112.82051282 , 4177.94871795 , 4117.43589744 , 4124.1025641 , 4173.33333333 , 4901.53846154 , 4117.94871795 , 4127.69230769 , 2036.0 , 2034.0 , 14.389 , 0.0 , 0.0 , 0.0 , 0.0 , 

41.0 , 4124.61538462 , 4119.48717949 , 4116.41025641 , 4122.56410256 , 4116.41025641 , 4115.38461538 , 4107.17948718 , 4168.20512821 , 4109.23076923 , 4124.61538462 , 4172.82051282 , 4896.92307692 , 4118.46153846 , 4125.64102564 , 2036.0 , 2035.0 , 14.397 , 0.0 , 0.0 , 0.0 , 0.0 , 

