['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
12.0 , 4128.20512821 , 4131.79487179 , 4114.87179487 , 4131.28205128 , 4127.69230769 , 4132.30769231 , 4126.66666667 , 4130.76923077 , 4135.38461538 , 4141.02564103 , 4173.84615385 , 4704.1025641 , 4129.74358974 , 4131.79487179 , 2044.0 , 2045.0 , 6.03 , 0.0 , 0.0 , 0.0 , 0.0 , 

13.0 , 4130.25641026 , 4130.25641026 , 4105.12820513 , 4132.82051282 , 4128.20512821 , 4127.69230769 , 4126.15384615 , 4132.82051282 , 4135.8974359 , 4140.0 , 4174.35897436 , 4704.61538462 , 4130.76923077 , 4132.82051282 , 2045.0 , 2045.0 , 6.038 , 0.0 , 0.0 , 0.0 , 0.0 , 

14.0 , 4131.79487179 , 4130.76923077 , 4109.23076923 , 4131.28205128 , 4131.28205128 , 4125.64102564 , 4128.71794872 , 4131.79487179 , 4135.38461538 , 4138.97435897 , 4171.79487179 , 4700.0 , 4128.20512821 , 4136.41025641 , 2044.0 , 2045.0 , 6.046 , 0.0 , 0.0 , 0.0 , 0.0 , 

15.0 , 4131.79487179 , 4132.30769231 , 4120.51282051 , 4130.25641026 , 4130.25641026 , 4129.23076923 , 4129.74358974 , 4132.82051282 , 4136.92307692 , 4138.46153846 , 4172.30769231 , 4698.97435897 , 4130.76923077 , 4138.97435897 , 2043.0 , 2047.0 , 6.054 , 0.0 , 0.0 , 0.0 , 0.0 , 

16.0 , 4130.25641026 , 4130.25641026 , 4120.51282051 , 4131.28205128 , 4128.20512821 , 4128.71794872 , 4127.69230769 , 4132.82051282 , 4137.94871795 , 4137.94871795 , 4174.35897436 , 4698.97435897 , 4131.28205128 , 4134.35897436 , 2043.0 , 2048.0 , 6.062 , 0.0 , 0.0 , 0.0 , 0.0 , 

17.0 , 4131.79487179 , 4130.76923077 , 4112.82051282 , 4130.76923077 , 4130.25641026 , 4131.79487179 , 4129.23076923 , 4133.84615385 , 4135.8974359 , 4142.05128205 , 4174.35897436 , 4701.53846154 , 4130.25641026 , 4132.82051282 , 2042.0 , 2047.0 , 6.07 , 0.0 , 0.0 , 0.0 , 0.0 , 

18.0 , 4132.30769231 , 4131.28205128 , 4114.87179487 , 4127.17948718 , 4130.25641026 , 4136.41025641 , 4129.23076923 , 4135.38461538 , 4134.87179487 , 4142.05128205 , 4172.82051282 , 4701.53846154 , 4129.74358974 , 4136.41025641 , 2042.0 , 2046.0 , 6.078 , 0.0 , 0.0 , 0.0 , 0.0 , 

