['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
4.0 , 4134.35897436 , 4130.76923077 , 4132.82051282 , 4133.33333333 , 4133.33333333 , 4131.28205128 , 4129.23076923 , 4129.74358974 , 4133.84615385 , 4135.8974359 , 4193.84615385 , 4912.30769231 , 4136.41025641 , 4137.94871795 , 2042.0 , 2034.0 , 11.468 , 0.0 , 0.0 , 0.0 , 0.0 , 

5.0 , 4135.38461538 , 4130.76923077 , 4136.41025641 , 4134.35897436 , 4133.33333333 , 4131.79487179 , 4128.71794872 , 4134.87179487 , 4135.8974359 , 4136.41025641 , 4194.35897436 , 4909.74358974 , 4136.41025641 , 4137.94871795 , 2041.0 , 2034.0 , 11.476 , 0.0 , 0.0 , 0.0 , 0.0 , 

6.0 , 4132.30769231 , 4130.76923077 , 4138.46153846 , 4133.33333333 , 4133.33333333 , 4132.82051282 , 4126.66666667 , 4140.51282051 , 4135.38461538 , 4137.43589744 , 4192.30769231 , 4908.20512821 , 4135.8974359 , 4140.0 , 2042.0 , 2034.0 , 11.484 , 0.0 , 0.0 , 0.0 , 0.0 , 

7.0 , 4130.25641026 , 4129.74358974 , 4134.87179487 , 4131.79487179 , 4133.33333333 , 4130.76923077 , 4128.71794872 , 4134.87179487 , 4131.79487179 , 4137.94871795 , 4191.79487179 , 4910.25641026 , 4135.8974359 , 4141.02564103 , 2041.0 , 2036.0 , 11.491 , 0.0 , 0.0 , 0.0 , 0.0 , 

8.0 , 4132.30769231 , 4131.28205128 , 4133.84615385 , 4130.76923077 , 4133.33333333 , 4130.25641026 , 4130.76923077 , 4132.82051282 , 4130.76923077 , 4137.43589744 , 4191.79487179 , 4910.76923077 , 4135.8974359 , 4138.97435897 , 2042.0 , 2037.0 , 11.499 , 0.0 , 0.0 , 0.0 , 0.0 , 

