['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
52.0 , 4137.43589744 , 4128.20512821 , 4221.02564103 , 4136.92307692 , 4134.35897436 , 4134.87179487 , 4135.8974359 , 4137.94871795 , 4136.41025641 , 4139.48717949 , 4154.87179487 , 4546.15384615 , 4137.43589744 , 4136.41025641 , 2037.0 , 2035.0 , 6.03 , 0.0 , 0.0 , 0.0 , 0.0 , 

53.0 , 4137.94871795 , 4132.30769231 , 4215.8974359 , 4136.41025641 , 4134.35897436 , 4134.87179487 , 4135.8974359 , 4132.30769231 , 4136.92307692 , 4138.46153846 , 4155.8974359 , 4552.82051282 , 4134.35897436 , 4135.38461538 , 2038.0 , 2032.0 , 6.038 , 0.0 , 0.0 , 0.0 , 0.0 , 

54.0 , 4136.92307692 , 4135.8974359 , 4218.46153846 , 4136.92307692 , 4134.35897436 , 4134.87179487 , 4131.28205128 , 4132.30769231 , 4136.92307692 , 4139.48717949 , 4157.94871795 , 4554.87179487 , 4133.84615385 , 4137.43589744 , 2038.0 , 2030.0 , 6.046 , 0.0 , 0.0 , 0.0 , 0.0 , 

55.0 , 4135.8974359 , 4132.30769231 , 4211.28205128 , 4138.46153846 , 4134.35897436 , 4135.8974359 , 4130.76923077 , 4133.84615385 , 4136.41025641 , 4138.46153846 , 4156.92307692 , 4551.79487179 , 4134.35897436 , 4137.94871795 , 2040.0 , 2028.0 , 6.054 , 0.0 , 0.0 , 0.0 , 0.0 , 

56.0 , 4135.8974359 , 4131.28205128 , 4215.38461538 , 4137.43589744 , 4134.35897436 , 4134.87179487 , 4126.66666667 , 4133.84615385 , 4138.46153846 , 4140.51282051 , 4155.38461538 , 4557.94871795 , 4137.94871795 , 4138.97435897 , 2039.0 , 2029.0 , 6.062 , 0.0 , 0.0 , 0.0 , 0.0 , 

