['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
16.0 , 4136.92307692 , 4137.43589744 , 4153.84615385 , 4134.35897436 , 4135.8974359 , 4133.84615385 , 4137.43589744 , 4135.38461538 , 4141.02564103 , 4143.58974359 , 4173.84615385 , 4667.69230769 , 4133.33333333 , 4137.43589744 , 2025.0 , 2040.0 , 6.039 , 0.0 , 0.0 , 0.0 , 0.0 , 

17.0 , 4134.35897436 , 4135.8974359 , 4147.17948718 , 4135.38461538 , 4135.8974359 , 4134.35897436 , 4137.43589744 , 4133.84615385 , 4137.43589744 , 4144.61538462 , 4175.38461538 , 4668.20512821 , 4132.82051282 , 4133.33333333 , 2026.0 , 2040.0 , 6.047 , 0.0 , 0.0 , 0.0 , 0.0 , 

18.0 , 4131.28205128 , 4134.35897436 , 4144.1025641 , 4136.41025641 , 4135.8974359 , 4134.35897436 , 4137.43589744 , 4135.38461538 , 4135.38461538 , 4143.58974359 , 4175.38461538 , 4666.66666667 , 4128.71794872 , 4132.82051282 , 2027.0 , 2040.0 , 6.055 , 0.0 , 0.0 , 0.0 , 0.0 , 

19.0 , 4134.87179487 , 4133.84615385 , 4141.53846154 , 4135.38461538 , 4135.8974359 , 4133.84615385 , 4137.43589744 , 4137.43589744 , 4136.92307692 , 4144.61538462 , 4175.38461538 , 4666.66666667 , 4127.17948718 , 4136.41025641 , 2026.0 , 2039.0 , 6.063 , 0.0 , 0.0 , 0.0 , 0.0 , 

20.0 , 4138.46153846 , 4137.43589744 , 4138.46153846 , 4134.87179487 , 4135.8974359 , 4134.35897436 , 4137.43589744 , 4133.84615385 , 4136.92307692 , 4144.1025641 , 4174.87179487 , 4668.71794872 , 4131.79487179 , 4135.38461538 , 2029.0 , 2039.0 , 6.071 , 0.0 , 0.0 , 0.0 , 0.0 , 

21.0 , 4135.38461538 , 4135.8974359 , 4150.76923077 , 4135.8974359 , 4135.8974359 , 4133.84615385 , 4137.43589744 , 4133.33333333 , 4134.35897436 , 4144.61538462 , 4175.38461538 , 4670.76923077 , 4133.33333333 , 4133.33333333 , 2030.0 , 2037.0 , 6.079 , 0.0 , 0.0 , 0.0 , 0.0 , 

22.0 , 4132.82051282 , 4132.30769231 , 4161.02564103 , 4136.41025641 , 4135.8974359 , 4133.84615385 , 4137.43589744 , 4135.38461538 , 4132.30769231 , 4143.07692308 , 4174.87179487 , 4669.74358974 , 4129.74358974 , 4134.87179487 , 2030.0 , 2036.0 , 6.087 , 0.0 , 0.0 , 0.0 , 0.0 , 

23.0 , 4134.35897436 , 4131.79487179 , 4157.94871795 , 4135.38461538 , 4135.8974359 , 4133.84615385 , 4137.94871795 , 4134.35897436 , 4135.38461538 , 4143.58974359 , 4173.84615385 , 4667.69230769 , 4129.23076923 , 4136.41025641 , 2030.0 , 2035.0 , 6.095 , 0.0 , 0.0 , 0.0 , 0.0 , 

24.0 , 4134.87179487 , 4130.25641026 , 4155.38461538 , 4135.8974359 , 4135.8974359 , 4134.35897436 , 4135.8974359 , 4135.8974359 , 4137.43589744 , 4145.12820513 , 4175.38461538 , 4666.66666667 , 4132.30769231 , 4134.87179487 , 2031.0 , 2034.0 , 6.102 , 0.0 , 0.0 , 0.0 , 0.0 , 

25.0 , 4132.30769231 , 4130.25641026 , 4165.12820513 , 4135.8974359 , 4135.8974359 , 4133.84615385 , 4133.84615385 , 4137.94871795 , 4136.41025641 , 4144.61538462 , 4177.43589744 , 4668.71794872 , 4132.82051282 , 4136.92307692 , 2031.0 , 2034.0 , 6.11 , 0.0 , 0.0 , 0.0 , 0.0 , 

26.0 , 4131.28205128 , 4130.25641026 , 4178.46153846 , 4135.38461538 , 4135.8974359 , 4134.35897436 , 4134.35897436 , 4137.94871795 , 4135.8974359 , 4143.58974359 , 4175.8974359 , 4670.25641026 , 4130.76923077 , 4138.46153846 , 2032.0 , 2033.0 , 6.118 , 0.0 , 0.0 , 0.0 , 0.0 , 

27.0 , 4132.82051282 , 4129.74358974 , 4178.97435897 , 4136.92307692 , 4135.8974359 , 4135.38461538 , 4133.84615385 , 4139.48717949 , 4136.92307692 , 4145.12820513 , 4174.87179487 , 4669.23076923 , 4131.28205128 , 4135.8974359 , 2031.0 , 2034.0 , 6.126 , 0.0 , 0.0 , 0.0 , 0.0 , 

28.0 , 4135.38461538 , 4133.84615385 , 4175.38461538 , 4136.92307692 , 4135.8974359 , 4133.33333333 , 4132.82051282 , 4138.97435897 , 4137.94871795 , 4145.12820513 , 4176.41025641 , 4667.69230769 , 4132.82051282 , 4135.38461538 , 2032.0 , 2032.0 , 6.134 , 0.0 , 0.0 , 0.0 , 0.0 , 

29.0 , 4135.8974359 , 4137.43589744 , 4172.30769231 , 4134.35897436 , 4135.8974359 , 4132.30769231 , 4133.84615385 , 4134.87179487 , 4134.35897436 , 4145.12820513 , 4175.8974359 , 4668.71794872 , 4130.25641026 , 4137.94871795 , 2030.0 , 2033.0 , 6.142 , 0.0 , 0.0 , 0.0 , 0.0 , 

30.0 , 4134.87179487 , 4134.35897436 , 4178.46153846 , 4134.35897436 , 4135.8974359 , 4134.87179487 , 4134.87179487 , 4135.8974359 , 4133.33333333 , 4146.66666667 , 4174.35897436 , 4671.79487179 , 4130.76923077 , 4137.43589744 , 2029.0 , 2033.0 , 6.151 , 0.0 , 0.0 , 0.0 , 0.0 , 

31.0 , 4134.87179487 , 4132.30769231 , 4181.02564103 , 4134.87179487 , 4135.8974359 , 4135.38461538 , 4133.84615385 , 4137.43589744 , 4140.0 , 4145.64102564 , 4174.35897436 , 4672.30769231 , 4135.38461538 , 4133.33333333 , 2028.0 , 2034.0 , 6.158 , 0.0 , 0.0 , 0.0 , 0.0 , 

32.0 , 4136.92307692 , 4134.35897436 , 4187.17948718 , 4133.33333333 , 4135.8974359 , 4134.35897436 , 4133.84615385 , 4136.92307692 , 4143.58974359 , 4146.15384615 , 4174.87179487 , 4672.82051282 , 4135.38461538 , 4133.33333333 , 2029.0 , 2035.0 , 6.166 , 0.0 , 0.0 , 0.0 , 0.0 , 

33.0 , 4136.41025641 , 4132.82051282 , 4191.28205128 , 4134.35897436 , 4135.8974359 , 4134.87179487 , 4134.35897436 , 4135.8974359 , 4135.38461538 , 4147.69230769 , 4174.87179487 , 4673.84615385 , 4130.25641026 , 4134.35897436 , 2028.0 , 2037.0 , 6.174 , 0.0 , 0.0 , 0.0 , 0.0 , 

34.0 , 4135.38461538 , 4133.84615385 , 4197.94871795 , 4136.92307692 , 4135.8974359 , 4135.8974359 , 4134.35897436 , 4135.38461538 , 4132.30769231 , 4147.17948718 , 4175.38461538 , 4678.46153846 , 4131.79487179 , 4133.84615385 , 2027.0 , 2037.0 , 6.181 , 0.0 , 0.0 , 0.0 , 0.0 , 

35.0 , 4134.35897436 , 4135.8974359 , 4198.46153846 , 4136.92307692 , 4135.8974359 , 4135.8974359 , 4133.84615385 , 4134.87179487 , 4138.97435897 , 4144.1025641 , 4174.87179487 , 4677.94871795 , 4135.38461538 , 4135.38461538 , 2028.0 , 2036.0 , 6.189 , 0.0 , 0.0 , 0.0 , 0.0 , 

36.0 , 4135.38461538 , 4130.76923077 , 4195.38461538 , 4136.41025641 , 4135.8974359 , 4133.33333333 , 4134.87179487 , 4136.41025641 , 4139.48717949 , 4144.1025641 , 4174.35897436 , 4675.8974359 , 4132.30769231 , 4137.43589744 , 2029.0 , 2031.0 , 6.197 , 0.0 , 0.0 , 0.0 , 0.0 , 

37.0 , 4135.8974359 , 4128.71794872 , 4187.69230769 , 4135.8974359 , 4135.8974359 , 4131.79487179 , 4135.8974359 , 4136.92307692 , 4135.38461538 , 4143.58974359 , 4174.87179487 , 4677.94871795 , 4128.71794872 , 4136.92307692 , 2030.0 , 2033.0 , 6.205 , 0.0 , 0.0 , 0.0 , 0.0 , 

38.0 , 4133.84615385 , 4132.30769231 , 4197.43589744 , 4135.8974359 , 4135.8974359 , 4134.35897436 , 4134.35897436 , 4137.94871795 , 4137.94871795 , 4144.1025641 , 4175.38461538 , 4683.07692308 , 4131.28205128 , 4133.84615385 , 2031.0 , 2035.0 , 6.213 , 0.0 , 0.0 , 0.0 , 0.0 , 

39.0 , 4134.35897436 , 4134.87179487 , 4197.94871795 , 4135.8974359 , 4135.8974359 , 4135.38461538 , 4134.35897436 , 4134.87179487 , 4136.92307692 , 4144.1025641 , 4172.82051282 , 4683.07692308 , 4130.25641026 , 4132.82051282 , 2032.0 , 2037.0 , 6.221 , 0.0 , 0.0 , 0.0 , 0.0 , 

40.0 , 4136.41025641 , 4132.82051282 , 4193.84615385 , 4135.8974359 , 4135.8974359 , 4133.84615385 , 4135.38461538 , 4133.33333333 , 4134.35897436 , 4145.12820513 , 4174.35897436 , 4682.56410256 , 4130.76923077 , 4138.46153846 , 2033.0 , 2039.0 , 6.228 , 0.0 , 0.0 , 0.0 , 0.0 , 

41.0 , 4133.84615385 , 4131.79487179 , 4189.23076923 , 4136.41025641 , 4135.8974359 , 4133.84615385 , 4134.87179487 , 4135.38461538 , 4136.92307692 , 4145.12820513 , 4175.8974359 , 4682.56410256 , 4131.79487179 , 4139.48717949 , 2032.0 , 2037.0 , 6.236 , 0.0 , 0.0 , 0.0 , 0.0 , 

42.0 , 4133.33333333 , 4132.82051282 , 4180.51282051 , 4135.38461538 , 4135.8974359 , 4134.35897436 , 4133.84615385 , 4134.35897436 , 4138.97435897 , 4144.1025641 , 4174.35897436 , 4682.56410256 , 4129.74358974 , 4133.84615385 , 2030.0 , 2037.0 , 6.244 , 0.0 , 0.0 , 0.0 , 0.0 , 

43.0 , 4135.8974359 , 4128.71794872 , 4169.74358974 , 4135.8974359 , 4135.8974359 , 4132.82051282 , 4134.35897436 , 4130.76923077 , 4135.38461538 , 4142.05128205 , 4173.84615385 , 4681.53846154 , 4128.71794872 , 4132.82051282 , 2030.0 , 2040.0 , 6.253 , 0.0 , 0.0 , 0.0 , 0.0 , 

44.0 , 4136.41025641 , 4128.71794872 , 4172.30769231 , 4136.41025641 , 4135.8974359 , 4132.82051282 , 4136.41025641 , 4133.33333333 , 4136.41025641 , 4140.51282051 , 4176.41025641 , 4682.05128205 , 4130.25641026 , 4138.46153846 , 2030.0 , 2039.0 , 6.26 , 0.0 , 0.0 , 0.0 , 0.0 , 

45.0 , 4135.8974359 , 4135.8974359 , 4181.02564103 , 4134.35897436 , 4135.8974359 , 4133.33333333 , 4133.84615385 , 4135.8974359 , 4138.97435897 , 4140.51282051 , 4175.38461538 , 4682.56410256 , 4128.20512821 , 4136.92307692 , 2029.0 , 2040.0 , 6.268 , 0.0 , 0.0 , 0.0 , 0.0 , 

46.0 , 4134.87179487 , 4137.94871795 , 4172.30769231 , 4132.82051282 , 4135.8974359 , 4132.82051282 , 4127.69230769 , 4134.87179487 , 4136.41025641 , 4141.02564103 , 4172.30769231 , 4683.58974359 , 4127.17948718 , 4132.82051282 , 2031.0 , 2038.0 , 6.275 , 0.0 , 0.0 , 0.0 , 0.0 , 

47.0 , 4134.35897436 , 4134.35897436 , 4170.76923077 , 4133.84615385 , 4135.8974359 , 4133.33333333 , 4128.71794872 , 4134.87179487 , 4134.87179487 , 4144.1025641 , 4173.84615385 , 4687.17948718 , 4131.28205128 , 4135.8974359 , 2031.0 , 2036.0 , 6.284 , 0.0 , 0.0 , 0.0 , 0.0 , 

