['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
59.0 , 4126.15384615 , 4128.20512821 , 4135.8974359 , 4138.97435897 , 4135.8974359 , 4123.07692308 , 4133.84615385 , 4129.74358974 , 4129.74358974 , 4140.0 , 4152.82051282 , 4427.17948718 , 4130.25641026 , 4130.76923077 , 2039.0 , 2035.0 , 6.032 , 0.0 , 0.0 , 0.0 , 0.0 , 

60.0 , 4129.23076923 , 4129.23076923 , 4131.79487179 , 4130.25641026 , 4135.8974359 , 4130.76923077 , 4126.15384615 , 4131.79487179 , 4132.30769231 , 4140.0 , 4155.38461538 , 4430.76923077 , 4131.28205128 , 4128.20512821 , 2039.0 , 2034.0 , 6.04 , 0.0 , 0.0 , 0.0 , 0.0 , 

61.0 , 4126.66666667 , 4126.15384615 , 4137.94871795 , 4123.07692308 , 4135.8974359 , 4133.33333333 , 4121.53846154 , 4132.82051282 , 4132.82051282 , 4140.51282051 , 4153.84615385 , 4433.84615385 , 4127.17948718 , 4131.79487179 , 2039.0 , 2032.0 , 6.047 , 0.0 , 0.0 , 0.0 , 0.0 , 

62.0 , 4123.07692308 , 4123.07692308 , 4137.94871795 , 4129.74358974 , 4135.8974359 , 4129.23076923 , 4124.61538462 , 4130.76923077 , 4130.25641026 , 4138.97435897 , 4149.23076923 , 4428.71794872 , 4125.64102564 , 4132.82051282 , 2040.0 , 2031.0 , 6.055 , 0.0 , 0.0 , 0.0 , 0.0 , 

63.0 , 4125.64102564 , 4127.17948718 , 4125.12820513 , 4137.43589744 , 4135.8974359 , 4129.23076923 , 4121.02564103 , 4128.71794872 , 4127.17948718 , 4136.92307692 , 4149.74358974 , 4427.17948718 , 4129.23076923 , 4131.79487179 , 2042.0 , 2031.0 , 6.063 , 0.0 , 0.0 , 0.0 , 0.0 , 

64.0 , 4130.25641026 , 4130.25641026 , 4124.61538462 , 4129.23076923 , 4135.8974359 , 4130.25641026 , 4126.66666667 , 4130.25641026 , 4127.69230769 , 4136.92307692 , 4153.33333333 , 4428.20512821 , 4131.28205128 , 4132.82051282 , 2042.0 , 2028.0 , 6.072 , 0.0 , 0.0 , 0.0 , 0.0 , 

65.0 , 4128.71794872 , 4125.12820513 , 4131.79487179 , 4123.58974359 , 4135.8974359 , 4128.71794872 , 4138.97435897 , 4129.74358974 , 4130.25641026 , 4137.94871795 , 4154.87179487 , 4426.15384615 , 4129.74358974 , 4132.82051282 , 2042.0 , 2029.0 , 6.079 , 0.0 , 0.0 , 0.0 , 0.0 , 

66.0 , 4124.1025641 , 4123.07692308 , 4137.94871795 , 4130.25641026 , 4135.8974359 , 4129.23076923 , 4129.23076923 , 4128.71794872 , 4132.30769231 , 4138.46153846 , 4154.87179487 , 4427.17948718 , 4129.74358974 , 4130.76923077 , 2041.0 , 2031.0 , 6.088 , 0.0 , 0.0 , 0.0 , 0.0 , 

67.0 , 4125.64102564 , 4126.66666667 , 4136.41025641 , 4135.8974359 , 4135.8974359 , 4130.76923077 , 4117.43589744 , 4129.74358974 , 4131.28205128 , 4138.97435897 , 4154.35897436 , 4428.71794872 , 4130.76923077 , 4130.25641026 , 2042.0 , 2030.0 , 6.095 , 0.0 , 0.0 , 0.0 , 0.0 , 

